'러빙 빈센트' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-11-09,241,4.10%,429,2.40%,"59,095",2.00%,11.70%,"52,621,500",52349500 ( 19246.1% ),"6,918",6884 ( 20247.1% ),"81,917,300","10,246",8
2017-11-10,260,4.30%,458,2.50%,"63,457",2.10%,14.20%,"75,455,100",22833600 ( 43.4% ),"9,042",2124 ( 30.7% ),"157,372,400","19,288",8
2017-11-11,257,3.90%,444,2.20%,"60,431",1.90%,26.10%,"132,613,600",57158500 ( 75.8% ),"15,766",6724 ( 74.4% ),"289,986,000","35,054",9
2017-11-12,271,4.10%,464,2.40%,"63,442",2.00%,24.60%,"130,354,500",-2259100 ( -1.7% ),"15,600",-166 ( -1.1% ),"420,340,500","50,654",9
2017-11-13,261,4.50%,512,3.00%,"71,065",2.50%,11.60%,"61,416,400",-68938100 ( -52.9% ),"8,270",-7330 ( -47.0% ),"481,756,900","58,924",7
2017-11-14,272,4.60%,525,3.10%,"73,036",2.60%,12.70%,"69,264,800",7848400 ( 12.8% ),"9,308",1038 ( 12.6% ),"551,021,700","68,232",8
2017-11-15,208,3.10%,366,2.10%,"50,602",1.80%,14.60%,"53,640,000",-15624800 ( -22.6% ),"7,390",-1918 ( -20.6% ),"604,661,700","75,622",8
2017-11-16,126,2.20%,226,1.30%,"28,667",1.00%,25.10%,"53,278,900",-361100 ( -0.7% ),"7,207",-183 ( -2.5% ),"657,940,600","82,829",8
2017-11-17,140,2.30%,261,1.40%,"33,479",1.10%,24.20%,"67,718,100",14439200 ( 27.1% ),"8,087",880 ( 12.2% ),"725,658,700","90,916",7
2017-11-18,192,3.10%,345,1.80%,"44,013",1.40%,34.90%,"128,383,200",60665100 ( 89.6% ),"15,374",7287 ( 90.1% ),"854,041,900","106,290",7
2017-11-19,201,3.30%,366,2.00%,"47,357",1.60%,32.70%,"127,662,600",-720600 ( -0.6% ),"15,471",97 ( 0.6% ),"981,704,500","121,761",7
