'넛잡 2' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
10/3/2017,454,7.7%,754,4.1%,"94,837",3.2%,28.7%,"205,463,700",205463700 ( 100.0% ),"27,229",27229 ( 100.0% ),"235,906,700","31,289",5
10/4/2017,449,7.6%,721,3.9%,"89,557",3.1%,25.4%,"178,591,100",-26872600 ( -13.1% ),"22,722",-4507 ( -16.6% ),"414,497,800","54,011",5
10/5/2017,453,7.4%,766,4.1%,"94,741",3.2%,44.0%,"318,327,200",139736100 ( 78.2% ),"41,723",19001 ( 83.6% ),"732,825,000","95,734",5
10/6/2017,476,7.5%,785,4.2%,"97,874",3.3%,59.4%,"434,294,300",115967100 ( 36.4% ),"58,114",16391 ( 39.3% ),"1,167,119,300","153,848",5
10/7/2017,485,7.5%,808,4.3%,"99,151",3.3%,49.4%,"366,651,300",-67643000 ( -15.6% ),"49,030",-9084 ( -15.6% ),"1,533,770,600","202,878",5
10/8/2017,506,7.8%,853,4.6%,"105,739",3.5%,44.5%,"356,621,600",-10029700 ( -2.7% ),"47,061",-1969 ( -4.0% ),"1,890,392,200","249,939",5
10/9/2017,526,8.6%,880,4.9%,"113,420",3.9%,54.7%,"459,940,900",103319300 ( 29.0% ),"62,056",14995 ( 31.9% ),"2,350,333,100","311,995",5
10/10/2017,236,5.1%,293,1.9%,"37,661",1.5%,3.9%,"9,811,900",-450129000 ( -97.9% ),"1,454",-60602 ( -97.7% ),"2,360,145,000","313,449",7
10/11/2017,223,4.8%,272,1.7%,"36,155",1.4%,5.6%,"12,742,500",2930600 ( 29.9% ),"2,026",572 ( 39.3% ),"2,372,887,500","315,475",5
10/12/2017,144,2.8%,165,1.0%,"20,195",0.7%,5.6%,"7,374,000",-5368500 ( -42.1% ),"1,136",-890 ( -43.9% ),"2,380,261,500","316,611",9
10/13/2017,150,2.9%,167,1.0%,"20,511",0.7%,9.5%,"12,591,500",5217500 ( 70.8% ),"1,957",821 ( 72.3% ),"2,392,853,000","318,568",8
10/14/2017,386,6.7%,572,3.2%,"75,288",2.6%,22.8%,"127,135,000",114543500 ( 909.7% ),"17,149",15192 ( 776.3% ),"2,519,988,000","335,717",7
10/15/2017,388,6.8%,587,3.3%,"76,758",2.7%,27.3%,"159,241,700",32106700 ( 25.3% ),"20,989",3840 ( 22.4% ),"2,679,229,700","356,706",7
10/16/2017,135,2.8%,148,0.9%,"19,201",0.7%,4.6%,"5,633,400",-153608300 ( -96.5% ),879,-20110 ( -95.8% ),"2,684,863,100","357,585",9
10/17/2017,126,2.5%,141,0.9%,"17,806",0.7%,5.5%,"5,993,300",359900 ( 6.4% ),983,104 ( 11.8% ),"2,690,856,400","358,568",11
10/18/2017,131,2.6%,148,0.9%,"19,268",0.7%,6.3%,"7,591,000",1597700 ( 26.7% ),"1,205",222 ( 22.6% ),"2,698,447,400","359,773",10
10/19/2017,60,1.0%,76,0.5%,"8,376",0.3%,12.2%,"5,668,700",-1922300 ( -25.3% ),"1,023",-182 ( -15.1% ),"2,704,116,100","360,796",17
10/20/2017,60,1.0%,75,0.4%,"8,178",0.3%,13.0%,"6,651,000",982300 ( 17.3% ),"1,061",38 ( 3.7% ),"2,710,767,100","361,857",16
10/21/2017,260,4.0%,383,2.1%,"46,317",1.5%,21.8%,"73,946,300",67295300 ( 1011.8% ),"10,074",9013 ( 849.5% ),"2,784,713,400","371,931",9
10/22/2017,265,4.2%,391,2.2%,"48,728",1.6%,25.6%,"95,691,200",21744900 ( 29.4% ),"12,463",2389 ( 23.7% ),"2,880,404,600","384,394",7
10/23/2017,52,0.9%,62,0.4%,"7,260",0.3%,9.1%,"3,906,500",-91784700 ( -95.9% ),660,-11803 ( -94.7% ),"2,884,311,100","385,054",18
10/24/2017,57,1.0%,68,0.4%,"8,206",0.3%,6.4%,"3,115,500",-791000 ( -20.2% ),526,-134 ( -20.3% ),"2,887,426,600","385,580",21
10/25/2017,47,0.9%,62,0.4%,"6,846",0.3%,13.8%,"5,093,500",1978000 ( 63.5% ),944,418 ( 79.5% ),"2,892,520,100","386,524",15
10/26/2017,34,0.6%,40,0.2%,"4,441",0.2%,13.5%,"3,365,000",-1728500 ( -33.9% ),601,-343 ( -36.3% ),"2,895,885,100","387,125",22
