'공조' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-01-18,900,16.4%,"4,126",24.2%,"704,909",25.3%,21.5%,"1,145,130,100",1136429100 ( 13060.9% ),"151,845",150731 ( 13530.6% ),"1,271,631,400","166,451",2
2017-01-19,918,16.2%,"4,157",24.3%,"704,107",25.2%,20.1%,"1,063,411,600",-81718500 ( -7.1% ),"141,569",-10276 ( -6.8% ),"2,335,043,000","308,020",2
2017-01-20,938,16.7%,"4,217",24.3%,"708,332",25.1%,22.6%,"1,350,950,693",287539093 ( 27.0% ),"160,116",18547 ( 13.1% ),"3,685,993,693","468,136",2
2017-01-21,976,16.5%,"4,221",23.5%,"691,500",23.6%,48.2%,"2,810,573,092",1459622399 ( 108.0% ),"333,625",173509 ( 108.4% ),"6,496,566,785","801,761",2
2017-01-22,972,16.7%,"4,120",23.5%,"673,909",23.6%,52.3%,"2,967,913,800",157340708 ( 5.6% ),"352,228",18603 ( 5.6% ),"9,464,480,585","1,153,989",2
2017-01-23,928,17.3%,"4,117",24.7%,"682,245",25.1%,20.3%,"1,051,594,800",-1916319000 ( -64.6% ),"138,338",-213890 ( -60.7% ),"10,516,075,385","1,292,327",2
2017-01-24,955,17.4%,"4,177",24.8%,"693,835",25.3%,19.6%,"1,022,534,750",-29060050 ( -2.8% ),"135,694",-2644 ( -1.9% ),"11,538,610,135","1,428,021",2
2017-01-25,987,16.4%,"4,227",24.5%,"758,179",27.0%,25.5%,"1,172,426,200",149891450 ( 14.7% ),"193,551",57857 ( 42.6% ),"12,711,036,335","1,621,572",2
2017-01-26,991,16.4%,"4,491",25.1%,"814,192",28.1%,29.3%,"1,830,307,900",657881700 ( 56.1% ),"238,425",44874 ( 23.2% ),"14,541,344,235","1,859,997",1
2017-01-27,"1,177",18.2%,"5,360",29.0%,"985,813",32.9%,47.9%,"4,057,287,634",2226979734 ( 121.7% ),"472,221",233796 ( 98.1% ),"18,598,631,869","2,332,218",1
2017-01-28,"1,279",20.2%,"5,806",31.8%,"1,062,909",35.8%,62.5%,"5,774,705,700",1717418066 ( 42.3% ),"664,830",192609 ( 40.8% ),"24,373,337,569","2,997,048",1
2017-01-29,"1,383",21.0%,"6,249",33.4%,"1,143,640",37.7%,69.8%,"6,821,569,400",1046863700 ( 18.1% ),"797,994",133164 ( 20.0% ),"31,194,906,969","3,795,042",1
2017-01-30,"1,392",21.5%,"6,123",33.8%,"1,130,619",38.4%,67.3%,"6,399,470,500",-422098900 ( -6.2% ),"761,071",-36923 ( -4.6% ),"37,594,377,469","4,556,113",1
2017-01-31,"1,094",18.6%,"5,160",29.8%,"993,625",35.4%,30.6%,"2,269,168,100",-4130302400 ( -64.5% ),"304,003",-457068 ( -60.1% ),"39,863,545,569","4,860,116",1
2017-02-01,"1,075",20.0%,"5,290",31.6%,"1,047,557",38.3%,18.1%,"1,416,506,700",-852661400 ( -37.6% ),"189,579",-114424 ( -37.6% ),"41,280,052,269","5,049,695",1
2017-02-02,998,18.5%,"5,011",29.9%,"1,005,587",36.6%,17.3%,"1,306,151,800",-110354900 ( -7.8% ),"174,342",-15237 ( -8.0% ),"42,586,204,069","5,224,037",1
2017-02-03,"1,022",18.7%,"5,198",30.4%,"1,043,279",37.3%,19.4%,"1,698,784,568",392632768 ( 30.1% ),"202,908",28566 ( 16.4% ),"44,284,988,637","5,426,945",1
2017-02-04,"1,099",18.4%,"5,616",31.4%,"1,129,676",38.8%,39.2%,"3,758,373,250",2059588682 ( 121.2% ),"442,556",239648 ( 118.1% ),"48,043,361,887","5,869,501",1
2017-02-05,"1,094",18.4%,"5,456",31.3%,"1,098,515",38.6%,36.7%,"3,407,131,600",-351241650 ( -9.3% ),"402,889",-39667 ( -9.0% ),"51,450,493,487","6,272,390",1
