'강철비' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-12-14,"1,259",20.6%,"5,247",32.6%,"944,982",36.7%,25.1%,"1,711,379,500",1683016500 ( 5933.8% ),"236,952",233200 ( 6215.4% ),"1,844,448,200","253,064",1
2017-12-15,"1,276",20.9%,"5,455",33.3%,"980,362",37.4%,29.5%,"2,318,547,610",607168110 ( 35.5% ),"288,951",51999 ( 21.9% ),"4,162,995,810","542,015",1
2017-12-16,"1,419",22.4%,"6,102",35.0%,"1,104,218",39.9%,48.8%,"4,481,554,006",2163006396 ( 93.3% ),"539,301",250350 ( 86.6% ),"8,644,549,816","1,081,316",1
2017-12-17,"1,426",23.0%,"6,152",36.2%,"1,109,113",41.0%,50.8%,"4,689,844,200",208290194 ( 4.6% ),"563,824",24523 ( 4.5% ),"13,334,394,016","1,645,140",1
2017-12-18,"1,332",23.4%,"5,841",37.6%,"1,068,482",42.7%,22.1%,"1,744,647,900",-2945196300 ( -62.8% ),"235,668",-328156 ( -58.2% ),"15,079,041,916","1,880,808",1
2017-12-19,"1,390",23.5%,"5,934",38.0%,"1,080,332",43.2%,21.3%,"1,695,385,850",-49262050 ( -2.8% ),"230,227",-5441 ( -2.3% ),"16,774,427,766","2,111,035",1
2017-12-20,988,19.1%,"3,643",22.2%,"567,634",21.4%,25.0%,"1,055,543,000",-639842850 ( -37.7% ),"142,017",-88210 ( -38.3% ),"17,829,970,766","2,253,052",2
2017-12-21,944,16.7%,"3,477",20.9%,"540,209",20.1%,22.6%,"902,201,700",-153341300 ( -14.5% ),"122,170",-19847 ( -14.0% ),"18,732,172,466","2,375,222",2
2017-12-22,"1,005",17.6%,"3,689",21.5%,"566,126",20.5%,25.8%,"1,195,700,446",293498746 ( 32.5% ),"146,049",23879 ( 19.5% ),"19,927,872,912","2,521,271",2
2017-12-23,970,15.4%,"3,564",19.1%,"546,647",18.4%,50.0%,"2,279,807,110",1084106664 ( 90.7% ),"273,400",127351 ( 87.2% ),"22,207,680,022","2,794,671",2
2017-12-24,925,14.7%,"3,399",18.0%,"519,770",17.3%,69.7%,"3,032,771,600",752964490 ( 33.0% ),"362,188",88788 ( 32.5% ),"25,240,451,622","3,156,859",2
2017-12-25,901,14.3%,"3,197",17.4%,"485,133",16.6%,67.9%,"2,715,803,400",-316968200 ( -10.5% ),"329,396",-32792 ( -9.1% ),"27,956,255,022","3,486,255",2
2017-12-26,909,16.2%,"3,388",20.0%,"504,345",18.6%,20.5%,"767,703,000",-1948100400 ( -71.7% ),"103,605",-225791 ( -68.5% ),"28,723,958,022","3,589,860",2
2017-12-27,610,11.3%,"1,599",9.4%,"202,311",7.4%,37.6%,"457,801,400",-309901600 ( -40.4% ),"76,078",-27527 ( -26.6% ),"29,181,759,422","3,665,938",3
2017-12-28,579,10.5%,"1,512",8.8%,"191,267",6.9%,29.8%,"420,062,500",-37738900 ( -8.2% ),"56,930",-19148 ( -25.2% ),"29,601,821,922","3,722,868",3
2017-12-29,599,10.7%,"1,532",8.6%,"191,010",6.7%,37.0%,"579,655,990",159593490 ( 38.0% ),"70,645",13715 ( 24.1% ),"30,181,477,912","3,793,513",3
