'남한산성' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
10/3/2017,"1,125",19.1%,"5,284",28.7%,"1,006,315",34.1%,44.2%,"3,669,119,900",3591479900 ( 4625.8% ),"444,585",434863 ( 4473.0% ),"3,904,521,700","473,503",1
10/4/2017,"1,165",19.8%,"5,390",29.5%,"1,030,277",35.2%,53.6%,"4,655,991,000",986871100 ( 26.9% ),"552,722",108137 ( 24.3% ),"8,560,512,700","1,026,225",1
10/5/2017,"1,205",19.8%,"5,528",29.6%,"1,060,520",35.6%,56.6%,"4,940,801,300",284810300 ( 6.1% ),"599,797",47075 ( 8.5% ),"13,501,314,000","1,626,022",1
10/6/2017,"1,221",19.2%,"5,466",29.2%,"1,054,964",35.3%,55.2%,"4,731,723,954",-209077346 ( -4.2% ),"582,294",-17503 ( -2.9% ),"18,233,037,954","2,208,316",1
10/7/2017,"1,229",19.1%,"5,439",29.0%,"1,047,525",34.9%,40.5%,"3,471,456,338",-1260267616 ( -26.6% ),"424,767",-157527 ( -27.1% ),"21,704,494,292","2,633,083",1
10/8/2017,"1,203",18.5%,"5,212",27.9%,"1,004,809",33.5%,36.4%,"3,004,716,900",-466739438 ( -13.4% ),"365,976",-58791 ( -13.8% ),"24,709,211,192","2,999,059",2
10/9/2017,"1,152",18.9%,"4,835",26.8%,"930,666",32.2%,27.6%,"2,050,060,400",-954656500 ( -31.8% ),"256,815",-109161 ( -29.8% ),"26,759,271,592","3,255,874",2
10/10/2017,"1,011",21.7%,"4,332",27.4%,"786,784",30.5%,7.2%,"400,933,000",-1649127400 ( -80.4% ),"56,673",-200142 ( -77.9% ),"27,160,204,592","3,312,547",2
10/11/2017,"1,005",21.7%,"4,235",26.8%,"760,343",29.5%,7.6%,"407,708,900",6775900 ( 1.7% ),"57,962",1289 ( 2.3% ),"27,567,913,492","3,370,509",2
10/12/2017,702,13.7%,"2,370",14.1%,"372,655",13.6%,11.2%,"293,178,900",-114530000 ( -28.1% ),"41,895",-16067 ( -27.7% ),"27,861,092,392","3,412,404",3
10/13/2017,692,13.2%,"2,343",13.8%,"364,114",13.2%,13.1%,"369,514,200",76335300 ( 26.0% ),"47,562",5667 ( 13.5% ),"28,230,606,592","3,459,966",3
10/14/2017,668,11.5%,"2,311",12.8%,"360,954",12.4%,22.3%,"660,539,400",291025200 ( 78.8% ),"80,501",32939 ( 69.3% ),"28,891,145,992","3,540,467",2
10/15/2017,646,11.3%,"2,259",12.8%,"353,050",12.4%,21.9%,"632,397,900",-28141500 ( -4.3% ),"77,188",-3313 ( -4.1% ),"29,523,543,892","3,617,655",2
10/16/2017,643,13.1%,"2,191",13.8%,"333,231",12.9%,8.0%,"189,482,700",-442915200 ( -70.0% ),"26,676",-50512 ( -65.4% ),"29,713,026,592","3,644,331",2
10/17/2017,674,13.2%,"2,180",13.7%,"326,754",12.6%,8.1%,"183,531,000",-5951700 ( -3.1% ),"26,446",-230 ( -0.9% ),"29,896,557,592","3,670,777",2
10/18/2017,653,12.8%,"2,137",13.4%,"323,232",12.5%,8.1%,"185,601,200",2070200 ( 1.1% ),"26,315",-131 ( -0.5% ),"30,082,158,792","3,697,092",2
10/19/2017,436,7.5%,"1,020",6.1%,"129,815",4.7%,10.1%,"90,976,400",-94624800 ( -51.0% ),"13,110",-13205 ( -50.2% ),"30,173,135,192","3,710,202",4
10/20/2017,451,7.4%,"1,033",6.0%,"131,861",4.7%,11.9%,"120,194,000",29217600 ( 32.1% ),"15,706",2596 ( 19.8% ),"30,293,329,192","3,725,908",4
10/21/2017,476,7.4%,"1,076",5.8%,"137,614",4.6%,17.8%,"199,143,600",78949600 ( 65.7% ),"24,432",8726 ( 55.6% ),"30,492,472,792","3,750,340",4
10/22/2017,450,7.1%,"1,019",5.6%,"132,902",4.5%,18.3%,"200,085,700",942100 ( 0.5% ),"24,339",-93 ( -0.4% ),"30,692,558,492","3,774,679",4
