'보통사람' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-03-23,621,12.6%,"2,604",16.5%,"388,324",14.9%,9.2%,"248,145,500",239355500 ( 2723.0% ),"35,583",34494 ( 3167.5% ),"296,281,500","41,979",3
2017-03-24,620,12.3%,"2,617",16.1%,"385,649",14.4%,11.3%,"343,195,434",95049934 ( 38.3% ),"43,460",7877 ( 22.1% ),"639,476,934","85,439",3
2017-03-25,619,11.2%,"2,402",13.9%,"352,884",12.5%,24.7%,"708,074,189",364878755 ( 106.3% ),"86,992",43532 ( 100.2% ),"1,347,551,123","172,431",3
2017-03-26,598,10.8%,"2,236",13.3%,"327,688",11.9%,25.3%,"679,910,200",-28163989 ( -4.0% ),"82,796",-4196 ( -4.8% ),"2,027,461,323","255,227",3
2017-03-27,557,11.5%,"2,252",14.5%,"316,927",12.4%,8.3%,"189,136,800",-490773400 ( -72.2% ),"26,302",-56494 ( -68.2% ),"2,216,598,123","281,529",3
2017-03-28,567,11.3%,"2,225",14.3%,"314,536",12.3%,7.7%,"173,810,700",-15326100 ( -8.1% ),"24,083",-2219 ( -8.4% ),"2,390,408,823","305,612",3
2017-03-29,437,8.4%,893,5.5%,"111,973",4.2%,14.0%,"95,416,800",-78393900 ( -45.1% ),"15,679",-8404 ( -34.9% ),"2,485,825,623","321,291",6
2017-03-30,393,7.7%,780,4.8%,"96,047",3.6%,8.7%,"58,168,900",-37247900 ( -39.0% ),"8,311",-7368 ( -47.0% ),"2,543,994,523","329,602",6
2017-03-31,391,7.5%,755,4.5%,"92,497",3.4%,10.7%,"77,861,500",19692600 ( 33.9% ),"9,908",1597 ( 19.2% ),"2,621,856,023","339,510",6
2017-04-01,362,6.3%,604,3.5%,"73,699",2.6%,20.0%,"117,118,300",39256800 ( 50.4% ),"14,710",4802 ( 48.5% ),"2,738,974,323","354,220",6
2017-04-02,365,6.6%,592,3.5%,"75,311",2.7%,16.6%,"100,369,500",-16748800 ( -14.3% ),"12,477",-2233 ( -15.2% ),"2,839,343,823","366,697",6
2017-04-03,366,7.0%,667,4.3%,"84,500",3.3%,6.2%,"36,624,700",-63744800 ( -63.5% ),"5,215",-7262 ( -58.2% ),"2,875,968,523","371,912",7
2017-04-04,368,6.9%,661,4.3%,"84,289",3.3%,6.3%,"37,550,500",925800 ( 2.5% ),"5,329",114 ( 2.2% ),"2,913,519,023","377,241",7
2017-04-05,116,2.5%,187,1.1%,"22,917",0.8%,7.8%,"12,324,500",-25226000 ( -67.2% ),"1,782",-3547 ( -66.6% ),"2,925,843,523","379,023",9
2017-04-06,51,1.0%,71,0.4%,"7,787",0.3%,9.5%,"4,735,000",-7589500 ( -61.6% ),737,-1045 ( -58.6% ),"2,930,578,523","379,760",17
2017-04-07,50,0.9%,67,0.4%,"7,641",0.3%,11.7%,"6,361,000",1626000 ( 34.3% ),895,158 ( 21.4% ),"2,936,939,523","380,655",16
2017-04-08,44,0.7%,66,0.4%,"7,919",0.3%,8.2%,"4,942,100",-1418900 ( -22.3% ),647,-248 ( -27.7% ),"2,941,881,623","381,302",21
2017-04-09,43,0.7%,64,0.4%,"7,531",0.3%,12.0%,"6,846,500",1904400 ( 38.5% ),900,253 ( 39.1% ),"2,948,728,123","382,202",20
2017-04-10,40,0.8%,58,0.4%,"6,507",0.3%,4.0%,"1,821,500",-5025000 ( -73.4% ),258,-642 ( -71.3% ),"2,950,549,623","382,460",29
2017-04-11,44,0.8%,66,0.4%,"7,763",0.3%,6.1%,"3,207,000",1385500 ( 76.1% ),470,212 ( 82.2% ),"2,953,756,623","382,930",22
2017-04-12,5,0.1%,6,0.0%,430,0.0%,27.0%,"849,000",-2358000 ( -73.5% ),116,-354 ( -75.3% ),"2,954,605,623","383,046",39
2017-04-13,1,0.0%,1,0.0%,54,0.0%,3.7%,"10,000",-839000 ( -98.8% ),2,-114 ( -98.3% ),"2,954,615,623","383,048",98
2017-04-14,1,0.0%,1,0.0%,132,0.0%,33.3%,"454,000",444000 ( 4440.0% ),44,42 ( 2100.0% ),"2,955,069,623","383,092",54
2017-04-15,2,0.0%,3,0.0%,494,0.0%,1.2%,"44,000",-410000 ( -90.3% ),6,-38 ( -86.4% ),"2,955,113,623","383,098",97
2017-04-17,1,0.0%,2,0.0%,412,0.0%,5.3%,"158,000",158000 ( 100.0% ),22,22 ( 100.0% ),"2,955,271,623","383,120",59
2017-04-18,2,0.0%,3,0.0%,393,0.0%,29.3%,"617,000",459000 ( 290.5% ),115,93 ( 422.7% ),"2,955,888,623","383,235",48
2017-04-20,1,0.0%,1,0.0%,129,0.0%,77.5%,"500,000",500000 ( 100.0% ),100,100 ( 100.0% ),"2,956,388,623","383,335",51
2017-04-24,1,0.0%,1,0.0%,134,0.0%,0.7%,"9,000",9000 ( 100.0% ),1,1 ( 100.0% ),"2,956,397,623","383,336",113
2017-04-28,1,0.0%,1,0.0%,332,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),"2,956,397,623","383,336",108
2017-05-11,1,0.0%,1,0.0%,332,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),"2,956,397,623","383,336",108
2017-05-29,1,0.0%,1,0.0%,332,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),"2,956,397,623","383,336",103
