'너의 이름은.' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
1/4/2017,555,9.3%,"2,176",12.6%,"365,202",13.0%,37.8%,"1,032,712,400",1032712400 ( 100.0% ),"138,028",138028 ( 100.0% ),"1,674,169,900","212,267",1
1/5/2017,780,12.6%,"2,771",16.1%,"467,852",16.6%,28.3%,"1,003,477,000",-29235400 ( -2.8% ),"132,463",-5565 ( -4.0% ),"2,677,646,900","344,730",1
1/6/2017,907,14.3%,"3,320",18.8%,"586,910",20.4%,28.9%,"1,430,176,183",426699183 ( 42.5% ),"169,402",36939 ( 27.9% ),"4,107,823,083","514,132",1
1/7/2017,933,14.4%,"4,061",22.2%,"765,972",25.5%,43.8%,"2,828,380,459",1398204276 ( 97.8% ),"335,325",165923 ( 97.9% ),"6,936,203,542","849,457",1
1/8/2017,947,14.6%,"4,101",23.0%,"772,320",26.4%,43.1%,"2,809,088,900",-19291559 ( -0.7% ),"333,008",-2317 ( -0.7% ),"9,745,292,442","1,182,465",1
1/9/2017,801,13.7%,"3,882",22.9%,"760,815",27.2%,20.3%,"1,178,187,800",-1630901100 ( -58.1% ),"154,781",-178227 ( -53.5% ),"10,923,480,242","1,337,246",1
1/10/2017,805,13.3%,"3,901",22.9%,"762,439",27.2%,19.8%,"1,141,877,500",-36310300 ( -3.1% ),"150,777",-4004 ( -2.6% ),"12,065,357,742","1,488,023",1
1/11/2017,740,13.3%,"3,782",22.2%,"767,725",27.3%,18.3%,"1,062,600,700",-79276800 ( -6.9% ),"140,350",-10427 ( -6.9% ),"13,127,958,442","1,628,373",1
1/12/2017,714,12.5%,"3,356",19.7%,"663,242",23.5%,18.3%,"921,887,800",-140712900 ( -13.2% ),"121,478",-18872 ( -13.4% ),"14,049,846,242","1,749,851",1
1/13/2017,759,12.9%,"3,585",20.5%,"718,832",24.9%,20.7%,"1,246,387,707",324499907 ( 35.2% ),"148,996",27518 ( 22.7% ),"15,296,233,949","1,898,847",1
1/14/2017,845,13.7%,"4,049",22.3%,"814,852",27.2%,35.9%,"2,462,539,601",1216151894 ( 97.6% ),"292,247",143251 ( 96.1% ),"17,758,773,550","2,191,094",1
1/15/2017,842,13.8%,"3,983",22.6%,"803,681",27.5%,37.1%,"2,472,059,900",9520299 ( 0.4% ),"298,280",6033 ( 2.1% ),"20,230,833,450","2,489,374",1
1/16/2017,759,13.4%,"3,685",22.1%,"757,398",27.5%,12.9%,"740,590,900",-1731469000 ( -70.0% ),"97,566",-200714 ( -67.3% ),"20,971,424,350","2,586,940",1
1/17/2017,788,13.5%,"3,687",22.1%,"752,917",27.2%,12.4%,"700,870,000",-39720900 ( -5.4% ),"93,300",-4266 ( -4.4% ),"21,672,294,350","2,680,240",1
1/18/2017,573,10.4%,"2,060",12.1%,"297,065",10.7%,19.5%,"435,316,300",-265553700 ( -37.9% ),"58,068",-35232 ( -37.8% ),"22,107,610,650","2,738,308",3
1/19/2017,601,10.6%,"2,067",12.1%,"291,528",10.4%,18.3%,"400,685,000",-34631300 ( -8.0% ),"53,380",-4688 ( -8.1% ),"22,508,295,650","2,791,688",3
1/20/2017,578,10.3%,"2,063",11.9%,"291,259",10.3%,19.2%,"467,773,193",67088193 ( 16.7% ),"55,958",2578 ( 4.8% ),"22,976,068,843","2,847,646",3
1/21/2017,605,10.2%,"1,947",10.8%,"268,599",9.2%,39.9%,"888,981,713",421208520 ( 90.0% ),"107,103",51145 ( 91.4% ),"23,865,050,556","2,954,749",4
1/22/2017,593,10.2%,"1,866",10.6%,"258,179",9.0%,37.8%,"810,785,300",-78196413 ( -8.8% ),"97,603",-9500 ( -8.9% ),"24,675,835,856","3,052,352",4
1/23/2017,558,10.4%,"1,906",11.4%,"268,139",9.9%,15.0%,"302,182,700",-508602600 ( -62.7% ),"40,227",-57376 ( -58.8% ),"24,978,018,556","3,092,579",4
1/24/2017,553,10.0%,"1,913",11.4%,"268,878",9.8%,15.4%,"308,879,700",6697000 ( 2.2% ),"41,488",1261 ( 3.1% ),"25,286,898,256","3,134,067",4
1/25/2017,478,7.9%,"1,110",6.4%,"149,015",5.3%,26.3%,"239,371,500",-69508200 ( -22.5% ),"39,161",-2327 ( -5.6% ),"25,526,269,756","3,173,228",5
1/26/2017,495,8.2%,"1,131",6.3%,"150,349",5.2%,26.2%,"299,673,600",60302100 ( 25.2% ),"39,450",289 ( 0.7% ),"25,825,943,356","3,212,678",5
1/27/2017,529,8.2%,"1,094",5.9%,"145,986",4.9%,36.9%,"449,140,500",149466900 ( 49.9% ),"53,932",14482 ( 36.7% ),"26,275,083,856","3,266,610",5
1/28/2017,499,7.9%,"1,032",5.7%,"132,356",4.5%,34.5%,"394,476,500",-54664000 ( -12.2% ),"45,660",-8272 ( -15.3% ),"26,669,560,356","3,312,270",5
1/29/2017,492,7.5%,"1,012",5.4%,"130,503",4.3%,42.2%,"464,872,400",70395900 ( 17.8% ),"55,061",9401 ( 20.6% ),"27,134,432,756","3,367,331",5
1/30/2017,470,7.2%,956,5.3%,"123,568",4.2%,47.4%,"479,910,200",15037800 ( 3.2% ),"58,556",3495 ( 6.3% ),"27,614,342,956","3,425,887",5
1/31/2017,459,7.8%,"1,080",6.2%,"140,480",5.0%,20.4%,"212,287,300",-267622900 ( -55.8% ),"28,695",-29861 ( -51.0% ),"27,826,630,256","3,454,582",5
2/1/2017,425,7.9%,998,6.0%,"131,603",4.8%,13.5%,"132,712,800",-79574500 ( -37.5% ),"17,774",-10921 ( -38.1% ),"27,959,343,056","3,472,356",5
2/2/2017,363,6.7%,770,4.6%,"97,411",3.5%,13.6%,"99,014,000",-33698800 ( -25.4% ),"13,249",-4525 ( -25.5% ),"28,058,357,056","3,485,605",6
2/3/2017,379,6.9%,796,4.7%,"99,908",3.6%,15.1%,"124,687,400",25673400 ( 25.9% ),"15,053",1804 ( 13.6% ),"28,183,044,456","3,500,658",6
2/4/2017,383,6.4%,743,4.2%,"92,392",3.2%,30.8%,"234,927,500",110240100 ( 88.4% ),"28,466",13413 ( 89.1% ),"28,417,971,956","3,529,124",6
2/5/2017,383,6.5%,737,4.2%,"89,768",3.2%,28.4%,"210,425,700",-24501800 ( -10.4% ),"25,533",-2933 ( -10.3% ),"28,628,397,656","3,554,657",6
2/6/2017,378,7.4%,765,4.8%,"96,466",3.7%,9.2%,"67,759,100",-142666600 ( -67.8% ),"8,883",-16650 ( -65.2% ),"28,696,156,756","3,563,540",6
2/7/2017,376,7.1%,798,4.9%,"101,293",3.8%,10.0%,"74,844,800",7085700 ( 10.5% ),"10,175",1292 ( 14.5% ),"28,771,001,556","3,573,715",6
2/8/2017,327,6.5%,632,3.8%,"80,583",2.9%,11.3%,"68,245,500",-6599300 ( -8.8% ),"9,140",-1035 ( -10.2% ),"28,839,247,056","3,582,855",8
2/9/2017,149,2.5%,223,1.3%,"29,767",1.1%,19.2%,"43,802,400",-24443100 ( -35.8% ),"5,711",-3429 ( -37.5% ),"28,883,049,456","3,588,566",11
2/10/2017,149,2.4%,226,1.3%,"28,400",1.0%,16.6%,"38,998,100",-4804300 ( -11.0% ),"4,704",-1007 ( -17.6% ),"28,922,047,556","3,593,270",12
2/11/2017,161,2.4%,228,1.3%,"29,000",1.0%,41.7%,"98,820,500",59822400 ( 153.4% ),"12,081",7377 ( 156.8% ),"29,020,868,056","3,605,351",11
2/12/2017,162,2.4%,235,1.3%,"29,574",1.0%,32.7%,"80,978,200",-17842300 ( -18.1% ),"9,670",-2411 ( -20.0% ),"29,101,846,256","3,615,021",11
2/13/2017,154,2.6%,228,1.4%,"29,300",1.1%,12.4%,"27,091,500",-53886700 ( -66.5% ),"3,639",-6031 ( -62.4% ),"29,128,937,756","3,618,660",12
2/14/2017,151,2.4%,225,1.3%,"29,255",1.1%,14.0%,"30,279,000",3187500 ( 11.8% ),"4,106",467 ( 12.8% ),"29,159,216,756","3,622,766",12
2/15/2017,71,1.3%,111,0.7%,"14,098",0.5%,14.0%,"14,438,000",-15841000 ( -52.3% ),"1,967",-2139 ( -52.1% ),"29,173,654,756","3,624,733",17
2/16/2017,58,1.0%,82,0.5%,"10,244",0.4%,14.8%,"11,304,700",-3133300 ( -21.7% ),"1,520",-447 ( -22.7% ),"29,184,959,456","3,626,253",19
2/17/2017,66,1.1%,94,0.5%,"12,274",0.4%,17.5%,"17,917,300",6612600 ( 58.5% ),"2,144",624 ( 41.1% ),"29,202,876,756","3,628,397",17
2/18/2017,68,1.1%,95,0.5%,"11,412",0.4%,32.8%,"31,470,800",13553500 ( 75.6% ),"3,743",1599 ( 74.6% ),"29,234,347,556","3,632,140",18
2/19/2017,71,1.1%,102,0.6%,"13,066",0.4%,26.8%,"29,732,000",-1738800 ( -5.5% ),"3,507",-236 ( -6.3% ),"29,264,079,556","3,635,647",18
2/20/2017,53,0.9%,81,0.5%,"11,362",0.4%,13.6%,"11,503,500",-18228500 ( -61.3% ),"1,547",-1960 ( -55.9% ),"29,275,583,056","3,637,194",18
2/21/2017,54,0.9%,81,0.5%,"11,039",0.4%,15.2%,"12,262,100",758600 ( 6.6% ),"1,674",127 ( 8.2% ),"29,287,845,156","3,638,868",19
2/22/2017,27,0.4%,34,0.2%,"5,461",0.2%,16.5%,"5,546,000",-6716100 ( -54.8% ),903,-771 ( -46.1% ),"29,293,391,156","3,639,771",21
2/23/2017,25,0.4%,31,0.2%,"4,156",0.1%,14.7%,"4,548,000",-998000 ( -18.0% ),613,-290 ( -32.1% ),"29,297,939,156","3,640,384",28
2/24/2017,23,0.4%,32,0.2%,"4,466",0.2%,14.3%,"5,278,000",730000 ( 16.1% ),640,27 ( 4.4% ),"29,303,217,156","3,641,024",27
2/25/2017,23,0.3%,31,0.2%,"4,416",0.1%,23.8%,"8,388,500",3110500 ( 58.9% ),"1,051",411 ( 64.2% ),"29,311,605,656","3,642,075",28
2/26/2017,26,0.4%,32,0.2%,"4,603",0.2%,25.0%,"9,292,000",903500 ( 10.8% ),"1,149",98 ( 9.3% ),"29,320,897,656","3,643,224",26
2/27/2017,21,0.3%,28,0.2%,"3,944",0.1%,17.3%,"4,954,500",-4337500 ( -46.7% ),682,-467 ( -40.6% ),"29,325,852,156","3,643,906",28
2/28/2017,22,0.3%,29,0.2%,"4,843",0.2%,17.4%,"5,799,500",845000 ( 17.1% ),841,159 ( 23.3% ),"29,331,651,656","3,644,747",26
3/1/2017,14,0.2%,17,0.1%,"2,410",0.1%,34.4%,"6,743,000",943500 ( 16.3% ),830,-11 ( -1.3% ),"29,338,394,656","3,645,577",27
3/2/2017,9,0.2%,11,0.1%,"1,206",0.0%,15.0%,"1,375,000",-5368000 ( -79.6% ),181,-649 ( -78.2% ),"29,339,769,656","3,645,758",37
3/3/2017,11,0.2%,13,0.1%,"1,598",0.1%,20.5%,"2,067,000",692000 ( 50.3% ),327,146 ( 80.7% ),"29,341,836,656","3,646,085",27
3/4/2017,15,0.2%,18,0.1%,"2,518",0.1%,27.1%,"5,106,700",3039700 ( 147.1% ),683,356 ( 108.9% ),"29,346,943,356","3,646,768",26
3/5/2017,14,0.2%,18,0.1%,"2,500",0.1%,27.1%,"5,431,500",324800 ( 6.4% ),677,-6 ( -0.9% ),"29,352,374,856","3,647,445",26
3/6/2017,11,0.2%,14,0.1%,"1,677",0.1%,6.6%,"832,000",-4599500 ( -84.7% ),110,-567 ( -83.8% ),"29,353,206,856","3,647,555",38
3/7/2017,11,0.2%,13,0.1%,"1,502",0.1%,8.1%,"927,500",95500 ( 11.5% ),122,12 ( 10.9% ),"29,354,134,356","3,647,677",44
3/8/2017,7,0.1%,10,0.1%,"1,283",0.0%,8.0%,"763,000",-164500 ( -17.7% ),102,-20 ( -16.4% ),"29,354,897,356","3,647,779",48
3/9/2017,6,0.1%,7,0.0%,933,0.0%,8.7%,"583,000",-180000 ( -23.6% ),81,-21 ( -20.6% ),"29,355,480,356","3,647,860",51
3/10/2017,7,0.1%,8,0.1%,"1,085",0.0%,11.3%,"1,019,000",436000 ( 74.8% ),123,42 ( 51.9% ),"29,356,499,356","3,647,983",40
3/11/2017,7,0.1%,10,0.1%,"1,429",0.1%,26.2%,"3,137,000",2118000 ( 207.9% ),375,252 ( 204.9% ),"29,359,636,356","3,648,358",32
3/12/2017,8,0.1%,11,0.1%,"1,551",0.1%,22.6%,"2,970,000",-167000 ( -5.3% ),351,-24 ( -6.4% ),"29,362,606,356","3,648,709",31
3/13/2017,7,0.1%,7,0.0%,870,0.0%,10.5%,"665,000",-2305000 ( -77.6% ),91,-260 ( -74.1% ),"29,363,271,356","3,648,800",39
3/14/2017,7,0.1%,7,0.0%,924,0.0%,7.9%,"525,000",-140000 ( -21.1% ),73,-18 ( -19.8% ),"29,363,796,356","3,648,873",55
3/15/2017,7,0.1%,9,0.1%,"1,243",0.1%,8.4%,"794,500",269500 ( 51.3% ),105,32 ( 43.8% ),"29,364,590,856","3,648,978",47
3/16/2017,4,0.1%,5,0.0%,623,0.0%,5.6%,"215,000",-579500 ( -72.9% ),35,-70 ( -66.7% ),"29,364,805,856","3,649,013",59
3/17/2017,4,0.1%,4,0.0%,518,0.0%,9.1%,"279,000",64000 ( 29.8% ),47,12 ( 34.3% ),"29,365,084,856","3,649,060",50
3/18/2017,8,0.1%,9,0.1%,"1,306",0.0%,21.1%,"2,076,500",1797500 ( 644.3% ),276,229 ( 487.2% ),"29,367,161,356","3,649,336",29
3/19/2017,7,0.1%,9,0.1%,"1,656",0.1%,14.9%,"1,764,000",-312500 ( -15.0% ),246,-30 ( -10.9% ),"29,368,925,356","3,649,582",30
3/20/2017,4,0.1%,4,0.0%,538,0.0%,7.1%,"244,000",-1520000 ( -86.2% ),38,-208 ( -84.6% ),"29,369,169,356","3,649,620",54
3/21/2017,5,0.1%,6,0.0%,804,0.0%,10.3%,"502,500",258500 ( 105.9% ),83,45 ( 118.4% ),"29,369,671,856","3,649,703",57
