'아이 캔 스피크' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
9/21/2017,"1,004",18.5%,"5,100",31.2%,"960,608",35.6%,9.1%,"634,048,900",630292900 ( 16781.0% ),"87,136",86633 ( 17223.3% ),"892,779,300","118,648",1
9/22/2017,"1,026",18.5%,"5,342",31.7%,"1,002,851",36.2%,12.1%,"977,151,436",343102536 ( 54.1% ),"121,355",34219 ( 39.3% ),"1,869,930,736","240,003",1
9/23/2017,"1,140",18.6%,"6,123",33.7%,"1,184,235",39.9%,20.5%,"1,998,688,724",1021537288 ( 104.5% ),"242,986",121631 ( 100.2% ),"3,868,619,460","482,989",1
9/24/2017,"1,122",18.6%,"5,987",33.7%,"1,160,791",39.9%,21.0%,"1,999,592,600",903876 ( 0.0% ),"243,340",354 ( 0.1% ),"5,868,212,060","726,329",1
9/25/2017,"1,039",19.8%,"5,388",34.0%,"1,010,464",38.4%,8.6%,"634,330,300",-1365262300 ( -68.3% ),"87,182",-156158 ( -64.2% ),"6,502,542,360","813,511",1
9/26/2017,"1,075",19.8%,"5,411",34.0%,"1,007,226",38.5%,8.7%,"627,873,600",-6456700 ( -1.0% ),"87,456",274 ( 0.3% ),"7,130,415,960","900,967",1
9/27/2017,934,17.5%,"3,952",24.7%,"588,401",22.7%,21.5%,"728,527,400",100653800 ( 16.0% ),"126,570",39114 ( 44.7% ),"7,858,943,360","1,027,537",2
9/28/2017,887,16.9%,"3,969",24.7%,"586,382",22.4%,12.3%,"518,518,100",-210009300 ( -28.8% ),"72,396",-54174 ( -42.8% ),"8,377,461,460","1,099,933",2
9/29/2017,937,17.7%,"4,219",25.3%,"626,592",23.3%,19.1%,"928,975,874",410457774 ( 79.2% ),"119,762",47366 ( 65.4% ),"9,306,437,334","1,219,695",2
9/30/2017,901,15.7%,"4,303",23.6%,"641,297",22.0%,31.6%,"1,614,206,780",685230906 ( 73.8% ),"202,900",83138 ( 69.4% ),"10,920,644,114","1,422,595",2
10/1/2017,897,15.7%,"4,262",23.5%,"636,641",21.9%,35.6%,"1,848,068,600",233861820 ( 14.5% ),"226,757",23857 ( 11.8% ),"12,768,712,714","1,649,352",2
10/2/2017,921,16.0%,"4,352",23.9%,"649,214",22.3%,33.7%,"1,596,664,100",-251404500 ( -13.6% ),"219,081",-7676 ( -3.4% ),"14,365,376,814","1,868,433",2
10/3/2017,717,12.2%,"2,592",14.1%,"351,701",11.9%,39.8%,"1,155,429,400",-441234700 ( -27.6% ),"139,816",-79265 ( -36.2% ),"15,520,806,214","2,008,249",4
10/4/2017,774,13.1%,"2,691",14.7%,"374,814",12.8%,51.9%,"1,622,726,150",467296750 ( 40.4% ),"194,624",54808 ( 39.2% ),"17,143,532,364","2,202,873",4
10/5/2017,806,13.3%,"2,806",15.0%,"397,739",13.4%,51.1%,"1,656,946,500",34220350 ( 2.1% ),"203,407",8783 ( 4.5% ),"18,800,478,864","2,406,280",4
10/6/2017,790,12.4%,"2,658",14.2%,"375,931",12.6%,51.5%,"1,551,230,679",-105715821 ( -6.4% ),"193,628",-9779 ( -4.8% ),"20,351,709,543","2,599,908",4
10/7/2017,783,12.2%,"2,566",13.7%,"358,883",12.0%,39.8%,"1,147,597,343",-403633336 ( -26.0% ),"142,788",-50840 ( -26.3% ),"21,499,306,886","2,742,696",4
10/8/2017,756,11.6%,"2,457",13.1%,"337,210",11.3%,37.6%,"1,027,218,200",-120379143 ( -10.5% ),"126,906",-15882 ( -11.1% ),"22,526,525,086","2,869,602",4
10/9/2017,717,11.8%,"2,349",13.0%,"320,049",11.1%,35.0%,"879,636,800",-147581400 ( -14.4% ),"111,997",-14909 ( -11.7% ),"23,406,161,886","2,981,599",4
10/10/2017,614,13.2%,"2,166",13.7%,"281,482",10.9%,7.4%,"147,187,300",-732449500 ( -83.3% ),"20,777",-91220 ( -81.4% ),"23,553,349,186","3,002,376",4
10/11/2017,593,12.8%,"2,168",13.7%,"279,566",10.8%,9.2%,"180,454,900",33267600 ( 22.6% ),"25,723",4946 ( 23.8% ),"23,733,804,086","3,028,099",4
10/12/2017,475,9.3%,"1,189",7.1%,"145,337",5.3%,11.5%,"114,015,300",-66439600 ( -36.8% ),"16,737",-8986 ( -34.9% ),"23,847,819,386","3,044,836",6
10/13/2017,517,9.8%,"1,234",7.3%,"150,924",5.5%,15.6%,"175,094,400",61079100 ( 53.6% ),"23,524",6787 ( 40.6% ),"24,022,913,786","3,068,360",6
10/14/2017,489,8.4%,"1,201",6.7%,"151,508",5.2%,25.2%,"308,027,600",132933200 ( 75.9% ),"38,123",14599 ( 62.1% ),"24,330,941,386","3,106,483",6
10/15/2017,482,8.5%,"1,159",6.6%,"145,253",5.1%,23.9%,"280,653,900",-27373700 ( -8.9% ),"34,703",-3420 ( -9.0% ),"24,611,595,286","3,141,186",6
10/16/2017,475,9.7%,"1,220",7.7%,"152,663",5.9%,8.5%,"90,413,900",-190240000 ( -67.8% ),"12,953",-21750 ( -62.7% ),"24,702,009,186","3,154,139",6
10/17/2017,492,9.7%,"1,206",7.6%,"152,753",5.9%,9.4%,"98,103,700",7689800 ( 8.5% ),"14,416",1463 ( 11.3% ),"24,800,112,886","3,168,555",6
10/18/2017,498,9.7%,"1,232",7.7%,"157,294",6.1%,10.5%,"111,743,900",13640200 ( 13.9% ),"16,538",2122 ( 14.7% ),"24,911,856,786","3,185,093",5
10/19/2017,242,4.2%,380,2.3%,"48,811",1.8%,16.2%,"51,945,700",-59798200 ( -53.5% ),"7,925",-8613 ( -52.1% ),"24,963,802,486","3,193,018",7
10/20/2017,238,3.9%,385,2.2%,"48,939",1.7%,16.4%,"58,002,100",6056400 ( 11.7% ),"8,040",115 ( 1.5% ),"25,021,804,586","3,201,058",7
10/21/2017,248,3.8%,400,2.2%,"50,279",1.7%,22.6%,"90,341,000",32338900 ( 55.8% ),"11,360",3320 ( 41.3% ),"25,112,145,586","3,212,418",8
10/22/2017,258,4.1%,400,2.2%,"51,057",1.7%,21.3%,"86,936,200",-3404800 ( -3.8% ),"10,882",-478 ( -4.2% ),"25,199,081,786","3,223,300",9
10/23/2017,249,4.5%,409,2.5%,"53,279",2.0%,9.8%,"34,311,000",-52625200 ( -60.5% ),"5,215",-5667 ( -52.1% ),"25,233,392,786","3,228,515",7
10/24/2017,247,4.3%,412,2.5%,"52,272",1.9%,8.8%,"31,535,800",-2775200 ( -8.1% ),"4,623",-592 ( -11.4% ),"25,264,928,586","3,233,138",7
10/25/2017,140,2.6%,162,1.0%,"24,629",0.9%,56.9%,"61,819,000",30283200 ( 96.0% ),"14,017",9394 ( 203.2% ),"25,326,747,586","3,247,155",6
10/26/2017,98,1.8%,122,0.7%,"16,407",0.6%,26.9%,"25,795,800",-36023200 ( -58.3% ),"4,406",-9611 ( -68.6% ),"25,352,543,386","3,251,561",8
10/27/2017,82,1.5%,107,0.6%,"13,837",0.5%,16.9%,"17,164,700",-8631100 ( -33.5% ),"2,336",-2070 ( -47.0% ),"25,369,708,086","3,253,897",10
10/28/2017,66,1.2%,83,0.5%,"10,733",0.4%,20.1%,"16,793,700",-371000 ( -2.2% ),"2,157",-179 ( -7.7% ),"25,386,501,786","3,256,054",13
10/29/2017,63,1.1%,80,0.5%,"10,640",0.4%,20.7%,"17,079,600",285900 ( 1.7% ),"2,206",49 ( 2.3% ),"25,403,581,386","3,258,260",13
10/30/2017,89,1.8%,120,0.7%,"16,218",0.6%,14.4%,"13,354,600",-3725000 ( -21.8% ),"2,335",129 ( 5.8% ),"25,416,935,986","3,260,595",9
10/31/2017,87,1.7%,112,0.7%,"14,983",0.6%,12.5%,"12,263,800",-1090800 ( -8.2% ),"1,876",-459 ( -19.7% ),"25,429,199,786","3,262,471",13
11/1/2017,80,1.6%,112,0.7%,"15,284",0.6%,15.5%,"15,255,900",2992100 ( 24.4% ),"2,365",489 ( 26.1% ),"25,444,455,686","3,264,836",9
