'캐리비안의 해적: 죽은 자는 말이 없다' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
5/24/2017,"1,357",27.7%,"6,955",42.9%,"1,349,813",50.8%,15.3%,"1,614,550,800",1595255800 ( 8267.7% ),"206,541",204682 ( 11010.3% ),"1,633,845,800","208,400",1
5/25/2017,"1,309",25.9%,"6,665",39.7%,"1,301,845",47.6%,12.5%,"1,270,927,600",-343623200 ( -21.3% ),"162,826",-43715 ( -21.2% ),"2,904,773,400","371,226",1
5/26/2017,"1,329",25.8%,"6,798",39.7%,"1,325,749",47.6%,16.7%,"1,908,727,515",637799915 ( 50.2% ),"220,949",58123 ( 35.7% ),"4,813,500,915","592,175",1
5/27/2017,"1,324",24.1%,"7,040",38.9%,"1,353,125",46.2%,36.1%,"4,239,776,605",2331049090 ( 122.1% ),"488,214",267265 ( 121.0% ),"9,053,277,520","1,080,389",1
5/28/2017,"1,314",24.1%,"6,820",38.6%,"1,315,260",45.9%,33.9%,"3,849,478,200",-390298405 ( -9.2% ),"446,266",-41948 ( -8.6% ),"12,902,755,720","1,526,655",1
5/29/2017,"1,204",24.8%,"6,138",37.4%,"1,202,716",44.8%,9.6%,"897,045,000",-2952433200 ( -76.7% ),"116,006",-330260 ( -74.0% ),"13,799,800,720","1,642,661",1
5/30/2017,"1,212",24.5%,"6,086",37.1%,"1,197,664",44.7%,8.4%,"766,646,100",-130398900 ( -14.5% ),"100,048",-15958 ( -13.8% ),"14,566,446,820","1,742,709",1
5/31/2017,761,15.9%,"3,157",19.4%,"520,105",19.7%,23.5%,"753,212,300",-13433800 ( -1.8% ),"122,409",22361 ( 22.4% ),"15,319,659,120","1,865,118",3
6/1/2017,710,14.3%,"3,040",18.6%,"503,563",19.0%,13.3%,"507,501,000",-245711300 ( -32.6% ),"67,078",-55331 ( -45.2% ),"15,827,160,120","1,932,196",3
6/2/2017,722,14.4%,"3,106",18.7%,"510,944",19.1%,17.6%,"753,973,405",246472405 ( 48.6% ),"89,719",22641 ( 33.8% ),"16,581,133,525","2,021,915",2
6/3/2017,756,13.8%,"3,220",18.2%,"524,219",18.5%,41.0%,"1,819,417,797",1065444392 ( 141.3% ),"215,180",125461 ( 139.8% ),"18,400,551,322","2,237,095",2
6/4/2017,776,14.2%,"3,184",18.4%,"517,124",18.6%,37.4%,"1,626,367,900",-193049897 ( -10.6% ),"193,400",-21780 ( -10.1% ),"20,026,919,222","2,430,495",2
6/5/2017,732,14.5%,"3,209",19.0%,"527,898",19.4%,21.9%,"859,232,700",-767135200 ( -47.2% ),"115,760",-77640 ( -40.1% ),"20,886,151,922","2,546,255",2
