'덩케르크' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
7/20/2017,"1,252",22.2%,"7,554",41.1%,"1,464,501",48.4%,15.3%,"1,776,036,300",1749078500 ( 6488.2% ),"224,242",221261 ( 7422.4% ),"1,840,263,500","230,263",1
7/21/2017,"1,245",21.7%,"7,569",40.1%,"1,473,859",47.6%,16.8%,"2,173,063,468",397027168 ( 22.4% ),"248,042",23800 ( 10.6% ),"4,013,326,968","478,305",1
7/22/2017,"1,207",19.7%,"7,330",36.9%,"1,436,406",44.3%,32.0%,"4,031,277,775",1858214307 ( 85.5% ),"460,182",212140 ( 85.5% ),"8,044,604,743","938,487",1
7/23/2017,"1,181",19.3%,"7,026",36.3%,"1,382,237",43.7%,29.7%,"3,602,600,500",-428677275 ( -10.6% ),"411,132",-49050 ( -10.7% ),"11,647,205,243","1,349,619",1
7/24/2017,"1,135",20.5%,"6,783",36.8%,"1,334,284",44.2%,11.6%,"1,229,508,100",-2373092400 ( -65.9% ),"154,426",-256706 ( -62.4% ),"12,876,713,343","1,504,045",1
7/25/2017,"1,153",20.2%,"6,680",36.2%,"1,316,122",43.6%,10.8%,"1,130,024,850",-99483250 ( -8.1% ),"141,556",-12870 ( -8.3% ),"14,006,738,193","1,645,601",1
7/26/2017,628,11.5%,"2,181",11.8%,"335,378",11.2%,28.9%,"698,540,000",-431484850 ( -38.2% ),"97,068",-44488 ( -31.4% ),"14,705,278,193","1,742,669",3
7/27/2017,619,11.6%,"2,125",11.5%,"321,334",10.7%,22.0%,"598,773,500",-99766500 ( -14.3% ),"70,612",-26456 ( -27.3% ),"15,304,051,693","1,813,281",3
7/28/2017,602,11.4%,"2,049",10.9%,"308,467",10.1%,28.8%,"833,928,326",235154826 ( 39.3% ),"88,910",18298 ( 25.9% ),"16,137,980,019","1,902,191",3
7/29/2017,634,11.5%,"1,824",9.4%,"270,575",8.6%,52.5%,"1,322,267,914",488339588 ( 58.6% ),"142,131",53221 ( 59.9% ),"17,460,247,933","2,044,322",3
7/30/2017,664,12.1%,"1,874",9.8%,"275,215",8.9%,49.1%,"1,254,698,200",-67569714 ( -5.1% ),"135,170",-6961 ( -4.9% ),"18,714,946,133","2,179,492",3
7/31/2017,669,12.6%,"2,067",11.0%,"307,213",10.1%,31.4%,"810,512,700",-444185500 ( -35.4% ),"96,408",-38762 ( -28.7% ),"19,525,458,833","2,275,900",3
8/1/2017,691,12.6%,"2,122",11.3%,"318,161",10.5%,28.2%,"755,057,300",-55455400 ( -6.8% ),"89,585",-6823 ( -7.1% ),"20,280,516,133","2,365,485",3
8/2/2017,438,8.3%,951,5.2%,"150,826",5.1%,26.9%,"371,246,800",-383810500 ( -50.8% ),"40,643",-48942 ( -54.6% ),"20,651,762,933","2,406,128",5
8/3/2017,432,7.8%,909,4.9%,"145,292",4.9%,25.6%,"344,822,200",-26424600 ( -7.1% ),"37,230",-3413 ( -8.4% ),"20,996,585,133","2,443,358",5
8/4/2017,430,7.8%,916,4.9%,"146,615",4.9%,28.6%,"421,078,720",76256520 ( 22.1% ),"41,859",4629 ( 12.4% ),"21,417,663,853","2,485,217",5
8/5/2017,416,7.4%,865,4.6%,"135,663",4.4%,43.1%,"580,765,395",159686675 ( 37.9% ),"58,495",16636 ( 39.7% ),"21,998,429,248","2,543,712",5
8/6/2017,412,7.3%,834,4.5%,"133,021",4.4%,37.7%,"502,487,800",-78277595 ( -13.5% ),"50,096",-8399 ( -14.4% ),"22,500,917,048","2,593,808",5
8/7/2017,413,7.9%,891,5.0%,"140,317",4.8%,19.5%,"254,057,200",-248430600 ( -49.4% ),"27,298",-22798 ( -45.5% ),"22,754,974,248","2,621,106",4
8/8/2017,433,8.2%,934,5.2%,"146,399",5.1%,19.2%,"260,676,100",6618900 ( 2.6% ),"28,156",858 ( 3.1% ),"23,015,650,348","2,649,262",4
8/9/2017,163,2.9%,305,1.6%,"52,370",1.7%,23.5%,"123,854,100",-136822000 ( -52.5% ),"12,309",-15847 ( -56.3% ),"23,139,504,448","2,661,571",8
8/10/2017,112,2.0%,206,1.1%,"39,880",1.3%,25.4%,"107,952,500",-15901600 ( -12.8% ),"10,111",-2198 ( -17.9% ),"23,247,456,948","2,671,682",8
8/11/2017,113,2.0%,220,1.2%,"39,305",1.3%,28.9%,"128,042,200",20089700 ( 18.6% ),"11,369",1258 ( 12.4% ),"23,375,499,148","2,683,051",8
8/12/2017,117,1.9%,211,1.1%,"38,734",1.2%,46.6%,"203,458,300",75416100 ( 58.9% ),"18,052",6683 ( 58.8% ),"23,578,957,448","2,701,103",8
8/13/2017,106,1.7%,194,1.0%,"37,240",1.2%,42.2%,"181,369,100",-22089200 ( -10.9% ),"15,704",-2348 ( -13.0% ),"23,760,326,548","2,716,807",8
8/14/2017,113,2.0%,217,1.1%,"40,470",1.3%,39.9%,"171,920,900",-9448200 ( -5.2% ),"16,150",446 ( 2.8% ),"23,932,247,448","2,732,957",7
8/15/2017,62,1.1%,86,0.5%,"12,078",0.4%,38.0%,"38,509,400",-133411500 ( -77.6% ),"4,592",-11558 ( -71.6% ),"23,970,756,848","2,737,549",12
8/16/2017,57,1.1%,90,0.5%,"12,577",0.4%,21.7%,"20,768,700",-17740700 ( -46.1% ),"2,734",-1858 ( -40.5% ),"23,991,525,548","2,740,283",12
8/17/2017,34,0.6%,52,0.3%,"7,727",0.3%,25.5%,"15,007,000",-5761700 ( -27.7% ),"1,971",-763 ( -27.9% ),"24,006,532,548","2,742,254",15
8/18/2017,37,0.6%,56,0.3%,"7,516",0.2%,24.3%,"16,089,600",1082600 ( 7.2% ),"1,825",-146 ( -7.4% ),"24,022,622,148","2,744,079",14
8/19/2017,48,0.8%,68,0.4%,"9,547",0.3%,32.1%,"26,102,300",10012700 ( 62.2% ),"3,062",1237 ( 67.8% ),"24,048,724,448","2,747,141",15
8/20/2017,49,0.8%,68,0.4%,"9,643",0.3%,33.0%,"27,087,300",985000 ( 3.8% ),"3,181",119 ( 3.9% ),"24,075,811,748","2,750,322",14
8/21/2017,46,0.9%,67,0.4%,"9,860",0.3%,17.5%,"13,375,000",-13712300 ( -50.6% ),"1,722",-1459 ( -45.9% ),"24,089,186,748","2,752,044",13
8/22/2017,46,0.8%,73,0.4%,"10,835",0.4%,14.1%,"11,444,200",-1930800 ( -14.4% ),"1,533",-189 ( -11.0% ),"24,100,630,948","2,753,577",16
8/23/2017,24,0.4%,39,0.2%,"10,227",0.4%,22.3%,"28,205,100",16760900 ( 146.5% ),"2,285",752 ( 49.1% ),"24,128,836,048","2,755,862",12
8/24/2017,19,0.3%,28,0.2%,"8,380",0.3%,26.9%,"29,039,200",834100 ( 3.0% ),"2,255",-30 ( -1.3% ),"24,157,875,248","2,758,117",15
8/25/2017,17,0.3%,26,0.1%,"7,882",0.3%,29.6%,"32,754,500",3715300 ( 12.8% ),"2,331",76 ( 3.4% ),"24,190,629,748","2,760,448",14
8/26/2017,23,0.3%,36,0.2%,"9,000",0.3%,42.8%,"50,852,600",18098100 ( 55.3% ),"3,848",1517 ( 65.1% ),"24,241,482,348","2,764,296",14
8/27/2017,21,0.3%,33,0.2%,"7,686",0.3%,42.1%,"43,486,600",-7366000 ( -14.5% ),"3,237",-611 ( -15.9% ),"24,284,968,948","2,767,533",15
8/28/2017,23,0.4%,37,0.2%,"9,347",0.3%,23.9%,"28,615,000",-14871600 ( -34.2% ),"2,234",-1003 ( -31.0% ),"24,313,583,948","2,769,767",11
8/29/2017,23,0.4%,36,0.2%,"8,729",0.3%,24.1%,"26,273,500",-2341500 ( -8.2% ),"2,102",-132 ( -5.9% ),"24,339,857,448","2,771,869",12
8/30/2017,8,0.1%,13,0.1%,"4,344",0.2%,27.4%,"15,302,000",-10971500 ( -41.8% ),"1,189",-913 ( -43.4% ),"24,355,159,448","2,773,058",17
8/31/2017,10,0.2%,15,0.1%,"4,146",0.1%,30.0%,"17,490,000",2188000 ( 14.3% ),"1,242",53 ( 4.5% ),"24,372,649,448","2,774,300",16
9/1/2017,13,0.2%,19,0.1%,"5,022",0.2%,26.3%,"19,698,500",2208500 ( 12.6% ),"1,321",79 ( 6.4% ),"24,392,347,948","2,775,621",15
9/2/2017,13,0.2%,19,0.1%,"4,788",0.2%,35.8%,"24,618,700",4920200 ( 25.0% ),"1,713",392 ( 29.7% ),"24,416,966,648","2,777,334",19
9/3/2017,14,0.2%,19,0.1%,"4,906",0.2%,34.0%,"23,713,400",-905300 ( -3.7% ),"1,666",-47 ( -2.7% ),"24,440,680,048","2,779,000",17
9/4/2017,12,0.2%,17,0.1%,"4,334",0.2%,20.8%,"12,791,000",-10922400 ( -46.1% ),903,-763 ( -45.8% ),"24,453,471,048","2,779,903",15
9/5/2017,12,0.2%,15,0.1%,"3,653",0.1%,22.8%,"11,435,700",-1355300 ( -10.6% ),833,-70 ( -7.8% ),"24,464,906,748","2,780,736",17
9/6/2017,5,0.1%,5,0.0%,817,0.0%,44.9%,"2,022,500",-9413200 ( -82.3% ),367,-466 ( -55.9% ),"24,466,929,248","2,781,103",24
9/7/2017,5,0.1%,5,0.0%,575,0.0%,11.7%,"532,500",-1490000 ( -73.7% ),67,-300 ( -81.7% ),"24,467,461,748","2,781,170",53
9/8/2017,5,0.1%,6,0.0%,729,0.0%,16.7%,"1,129,300",596800 ( 112.1% ),122,55 ( 82.1% ),"24,468,591,048","2,781,292",43
9/9/2017,5,0.1%,8,0.0%,895,0.0%,33.2%,"2,217,000",1087700 ( 96.3% ),297,175 ( 143.4% ),"24,470,808,048","2,781,589",33
9/10/2017,6,0.1%,9,0.0%,"1,052",0.0%,20.1%,"1,964,500",-252500 ( -11.4% ),211,-86 ( -29.0% ),"24,472,772,548","2,781,800",35
9/11/2017,6,0.1%,7,0.0%,"1,417",0.1%,25.1%,"4,977,000",3012500 ( 153.3% ),356,145 ( 68.7% ),"24,477,749,548","2,782,156",21
9/12/2017,6,0.1%,7,0.0%,910,0.0%,9.6%,"696,500",-4280500 ( -86.0% ),87,-269 ( -75.6% ),"24,478,446,048","2,782,243",50
9/13/2017,5,0.1%,6,0.0%,757,0.0%,8.5%,"495,500",-201000 ( -28.9% ),64,-23 ( -26.4% ),"24,478,941,548","2,782,307",70
9/14/2017,4,0.1%,4,0.0%,512,0.0%,9.6%,"403,000",-92500 ( -18.7% ),49,-15 ( -23.4% ),"24,479,344,548","2,782,356",68
9/15/2017,4,0.1%,5,0.0%,619,0.0%,9.7%,"551,900",148900 ( 36.9% ),60,11 ( 22.4% ),"24,479,896,448","2,782,416",66
9/16/2017,3,0.0%,4,0.0%,466,0.0%,18.9%,"792,900",241000 ( 43.7% ),88,28 ( 46.7% ),"24,480,689,348","2,782,504",66
9/17/2017,3,0.0%,4,0.0%,466,0.0%,18.7%,"815,500",22600 ( 2.9% ),87,-1 ( -1.1% ),"24,481,504,848","2,782,591",56
9/18/2017,3,0.1%,3,0.0%,792,0.0%,39.6%,"4,205,000",3389500 ( 415.6% ),314,227 ( 260.9% ),"24,485,709,848","2,782,905",31
9/19/2017,3,0.1%,4,0.0%,"1,416",0.1%,31.4%,"5,449,500",1244500 ( 29.6% ),444,130 ( 41.4% ),"24,491,159,348","2,783,349",25
9/20/2017,3,0.1%,4,0.0%,"1,416",0.1%,29.7%,"5,429,000",-20500 ( -0.4% ),420,-24 ( -5.4% ),"24,496,588,348","2,783,769",31
9/21/2017,2,0.0%,4,0.0%,"1,948",0.1%,29.1%,"6,954,500",1525500 ( 28.1% ),566,146 ( 34.8% ),"24,503,542,848","2,784,335",22
9/22/2017,2,0.0%,3,0.0%,"1,324",0.0%,41.5%,"7,177,500",223000 ( 3.2% ),549,-17 ( -3.0% ),"24,510,720,348","2,784,884",22
9/23/2017,1,0.0%,2,0.0%,"1,248",0.0%,62.2%,"10,829,000",3651500 ( 50.9% ),776,227 ( 41.3% ),"24,521,549,348","2,785,660",31
9/24/2017,2,0.0%,3,0.0%,"1,324",0.0%,49.2%,"8,797,000",-2032000 ( -18.8% ),651,-125 ( -16.1% ),"24,530,346,348","2,786,311",28
9/25/2017,2,0.0%,2,0.0%,700,0.0%,54.6%,"5,026,000",-3771000 ( -42.9% ),382,-269 ( -41.3% ),"24,535,372,348","2,786,693",33
9/26/2017,2,0.0%,2,0.0%,700,0.0%,34.9%,"3,337,000",-1689000 ( -33.6% ),244,-138 ( -36.1% ),"24,538,709,348","2,786,937",37
10/23/2017,1,0.0%,2,0.0%,566,0.0%,28.3%,"304,000",304000 ( 100.0% ),160,160 ( 100.0% ),"24,539,013,348","2,787,097",34
10/24/2017,1,0.0%,2,0.0%,566,0.0%,17.5%,"188,000",-116000 ( -38.2% ),99,-61 ( -38.1% ),"24,539,201,348","2,787,196",47
10/25/2017,1,0.0%,2,0.0%,566,0.0%,16.3%,"178,000",-10000 ( -5.3% ),92,-7 ( -7.1% ),"24,539,379,348","2,787,288",47
11/1/2017,1,0.0%,1,0.0%,450,0.0%,28.9%,"1,009,000",1009000 ( 100.0% ),130,130 ( 100.0% ),"24,540,388,348","2,787,418",42
11/5/2017,1,0.0%,1,0.0%,450,0.0%,79.8%,"2,741,000",2741000 ( 100.0% ),359,359 ( 100.0% ),"24,543,129,348","2,787,777",31
11/20/2017,1,0.0%,1,0.0%,224,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),"24,543,129,348","2,787,777",146
12/2/2017,1,0.0%,1,0.0%,152,0.0%,44.1%,"536,000",536000 ( 100.0% ),67,67 ( 100.0% ),"24,543,665,348","2,787,844",74
12/10/2017,8,0.1%,8,0.0%,"1,430",0.0%,52.7%,"5,662,000",5662000 ( 100.0% ),753,753 ( 100.0% ),"24,549,327,348","2,788,597",20
12/15/2017,1,0.0%,1,0.0%,77,0.0%,37.7%,"261,000",261000 ( 100.0% ),29,29 ( 100.0% ),"24,549,588,348","2,788,626",84
12/17/2017,1,0.0%,1,0.0%,77,0.0%,72.7%,"503,000",503000 ( 100.0% ),56,56 ( 100.0% ),"24,550,091,348","2,788,682",53
12/20/2017,1,0.0%,1,0.0%,77,0.0%,64.9%,"450,000",450000 ( 100.0% ),50,50 ( 100.0% ),"24,550,541,348","2,788,732",55
1/19/2018,7,0.1%,7,0.0%,"1,204",0.0%,37.0%,"2,667,500",2667500 ( 100.0% ),446,446 ( 100.0% ),"24,553,208,848","2,789,178",23
1/20/2018,10,0.2%,11,0.1%,"1,771",0.1%,41.7%,"4,408,100",1740600 ( 65.3% ),739,293 ( 65.7% ),"24,557,616,948","2,789,917",19
1/21/2018,7,0.1%,7,0.0%,965,0.0%,52.3%,"2,999,200",-1408900 ( -32.0% ),505,-234 ( -31.7% ),"24,560,616,148","2,790,422",21
1/26/2018,8,0.1%,8,0.0%,"1,160",0.0%,22.3%,"1,543,700",1543700 ( 100.0% ),259,259 ( 100.0% ),"24,562,159,848","2,790,681",35
1/27/2018,8,0.1%,8,0.0%,"1,297",0.0%,36.0%,"2,761,100",1217400 ( 78.9% ),467,208 ( 80.3% ),"24,564,920,948","2,791,148",24
1/28/2018,7,0.1%,7,0.0%,"1,005",0.0%,34.9%,"2,102,600",-658500 ( -23.8% ),351,-116 ( -24.8% ),"24,567,023,548","2,791,499",32
2/8/2018,4,0.1%,4,0.0%,565,0.0%,20.9%,"944,500",944500 ( 100.0% ),118,118 ( 100.0% ),"24,567,968,048","2,791,617",48
2/9/2018,3,0.0%,3,0.0%,368,0.0%,19.8%,"646,000",-298500 ( -31.6% ),73,-45 ( -38.1% ),"24,568,614,048","2,791,690",58
2/12/2018,3,0.0%,3,0.0%,405,0.0%,10.4%,"334,000",334000 ( 100.0% ),42,42 ( 100.0% ),"24,568,948,048","2,791,732",56
2/13/2018,4,0.1%,4,0.0%,528,0.0%,17.0%,"684,000",350000 ( 104.8% ),90,48 ( 114.3% ),"24,569,632,048","2,791,822",51
2/14/2018,2,0.0%,3,0.0%,376,0.0%,12.2%,"397,500",-286500 ( -41.9% ),46,-44 ( -48.9% ),"24,570,029,548","2,791,868",55
2/15/2018,4,0.1%,4,0.0%,441,0.0%,19.5%,"778,500",381000 ( 95.8% ),86,40 ( 87.0% ),"24,570,808,048","2,791,954",45
2/17/2018,4,0.1%,4,0.0%,565,0.0%,29.6%,"1,548,800",1548800 ( 100.0% ),167,167 ( 100.0% ),"24,572,356,848","2,792,121",37
2/18/2018,1,0.0%,1,0.0%,160,0.0%,42.5%,"602,500",-946300 ( -61.1% ),68,-99 ( -59.3% ),"24,572,959,348","2,792,189",54
2/21/2018,2,0.0%,2,0.0%,261,0.0%,13.0%,"277,000",277000 ( 100.0% ),34,34 ( 100.0% ),"24,573,236,348","2,792,223",70
2/22/2018,1,0.0%,1,0.0%,112,0.0%,11.6%,"101,500",-175500 ( -63.4% ),13,-21 ( -61.8% ),"24,573,337,848","2,792,236",86
2/23/2018,3,0.1%,3,0.0%,278,0.0%,13.7%,"341,000",239500 ( 236.0% ),38,25 ( 192.3% ),"24,573,678,848","2,792,274",82
2/25/2018,2,0.0%,2,0.0%,183,0.0%,29.0%,"499,000",499000 ( 100.0% ),53,53 ( 100.0% ),"24,574,177,848","2,792,327",67
