'가디언즈 오브 갤럭시 VOL. 2' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
5/2/2017,"1,033",16.5%,"2,563",15.0%,"479,677",17.3%,30.9%,"1,240,607,700",1236889700 ( 33267.6% ),"148,071",147655 ( 35494.0% ),"1,244,337,700","148,489",1
5/3/2017,"1,166",18.8%,"5,365",29.2%,"1,075,636",36.2%,39.3%,"3,708,346,100",2467738400 ( 198.9% ),"422,412",274341 ( 185.3% ),"4,952,683,800","570,901",1
5/4/2017,"1,154",18.2%,"5,308",29.0%,"1,064,818",36.0%,25.3%,"2,129,890,000",-1578456100 ( -42.6% ),"269,106",-153306 ( -36.3% ),"7,082,573,800","840,007",1
5/5/2017,"1,218",17.8%,"5,221",27.7%,"1,031,281",33.7%,36.2%,"3,269,303,748",1139413748 ( 53.5% ),"373,681",104575 ( 38.9% ),"10,351,877,548","1,213,688",1
5/6/2017,"1,133",16.9%,"4,914",26.2%,"975,645",32.1%,29.4%,"2,557,936,407",-711367341 ( -21.8% ),"286,689",-86992 ( -23.3% ),"12,909,813,955","1,500,377",2
5/7/2017,"1,084",16.4%,"4,619",25.2%,"912,944",30.7%,24.5%,"1,984,075,400",-573861007 ( -22.4% ),"223,461",-63228 ( -22.1% ),"14,893,889,355","1,723,838",2
5/8/2017,999,17.9%,"4,445",25.8%,"867,482",30.7%,11.8%,"823,989,500",-1160085900 ( -58.5% ),"102,201",-121260 ( -54.3% ),"15,717,878,855","1,826,039",2
5/9/2017,748,12.2%,"2,884",15.8%,"514,837",17.3%,35.6%,"1,592,356,800",768367300 ( 93.2% ),"183,247",81046 ( 79.3% ),"17,310,235,655","2,009,286",4
5/10/2017,692,13.6%,"2,726",16.5%,"476,484",17.6%,9.8%,"378,461,900",-1213894900 ( -76.2% ),"46,708",-136539 ( -74.5% ),"17,688,697,555","2,055,994",3
5/11/2017,694,12.9%,"2,665",16.0%,"463,353",17.0%,9.5%,"354,835,700",-23626200 ( -6.2% ),"43,911",-2797 ( -6.0% ),"18,043,533,255","2,099,905",3
5/12/2017,683,12.5%,"2,715",15.9%,"472,357",16.9%,13.9%,"578,912,978",224077278 ( 63.1% ),"65,437",21526 ( 49.0% ),"18,622,446,233","2,165,342",3
5/13/2017,734,12.0%,"2,649",14.6%,"436,034",14.7%,32.1%,"1,254,581,353",675668375 ( 116.7% ),"140,079",74642 ( 114.1% ),"19,877,027,586","2,305,421",4
5/14/2017,720,11.8%,"2,552",14.4%,"421,023",14.5%,28.6%,"1,067,398,100",-187183253 ( -14.9% ),"120,264",-19815 ( -14.1% ),"20,944,425,686","2,425,685",4
5/15/2017,672,13.1%,"2,588",16.0%,"445,032",16.7%,8.5%,"301,862,100",-765536000 ( -71.7% ),"37,940",-82324 ( -68.5% ),"21,246,287,786","2,463,625",3
5/16/2017,672,13.1%,"2,578",16.2%,"443,743",16.9%,7.2%,"257,682,800",-44179300 ( -14.6% ),"31,765",-6175 ( -16.3% ),"21,503,970,586","2,495,390",3
