'살인자의 기억법' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
9/6/2017,884,16.4%,"4,340",26.1%,"803,047",29.5%,17.9%,"1,070,193,300",1066281300 ( 27256.7% ),"143,580",143091 ( 29262.0% ),"1,106,601,300","148,300",1
9/7/2017,942,15.9%,"4,421",26.3%,"820,096",29.9%,17.5%,"1,073,134,200",2940900 ( 0.3% ),"143,225",-355 ( -0.2% ),"2,179,735,500","291,525",1
9/8/2017,989,16.4%,"4,724",27.3%,"886,764",31.5%,21.2%,"1,562,505,167",489370967 ( 45.6% ),"187,986",44761 ( 31.3% ),"3,742,240,667","479,511",1
9/9/2017,"1,064",16.6%,"5,378",29.0%,"1,034,691",34.4%,35.7%,"3,105,887,567",1543382400 ( 98.8% ),"369,025",181039 ( 96.3% ),"6,848,128,234","848,536",1
9/10/2017,"1,060",16.9%,"5,324",29.5%,"1,025,320",35.0%,33.4%,"2,892,335,900",-213551667 ( -6.9% ),"342,871",-26154 ( -7.1% ),"9,740,464,134","1,191,407",1
9/11/2017,972,17.2%,"4,876",29.8%,"915,486",34.1%,13.8%,"943,302,200",-1949033700 ( -67.4% ),"126,124",-216747 ( -63.2% ),"10,683,766,334","1,317,531",1
9/12/2017,983,17.2%,"4,857",30.0%,"913,264",34.4%,10.9%,"744,052,600",-199249600 ( -21.1% ),"99,727",-26397 ( -20.9% ),"11,427,818,934","1,417,258",1
9/13/2017,"1,011",16.6%,"4,682",28.8%,"862,252",32.2%,10.6%,"679,487,100",-64565500 ( -8.7% ),"91,473",-8254 ( -8.3% ),"12,107,306,034","1,508,731",1
9/14/2017,757,13.3%,"3,491",20.5%,"623,554",22.2%,11.4%,"532,477,600",-147009500 ( -21.6% ),"71,206",-20267 ( -22.2% ),"12,639,783,634","1,579,937",1
9/15/2017,813,13.9%,"3,676",20.9%,"654,773",22.7%,15.0%,"815,284,948",282807348 ( 53.1% ),"98,154",26948 ( 37.8% ),"13,455,068,582","1,678,091",1
