'대장 김창수' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-10-19,734,12.7%,"3,091",18.4%,"521,578",18.8%,8.5%,"319,668,700",316358700 ( 9557.7% ),"44,469",43807 ( 6617.4% ),"432,174,300","58,744",3
2017-10-20,748,12.3%,"3,010",17.4%,"496,114",17.5%,10.3%,"395,222,256",75553556 ( 23.6% ),"51,214",6745 ( 15.2% ),"827,396,556","109,958",3
2017-10-21,667,10.3%,"2,851",15.4%,"465,259",15.4%,16.8%,"628,673,759",233451503 ( 59.1% ),"78,068",26854 ( 52.4% ),"1,456,070,315","188,026",3
2017-10-22,638,10.1%,"2,692",14.9%,"432,582",14.6%,16.7%,"584,959,700",-43714059 ( -7.0% ),"72,199",-5869 ( -7.5% ),"2,041,030,015","260,225",3
2017-10-23,610,11.0%,"2,523",15.3%,"382,090",14.1%,6.1%,"170,136,200",-414823500 ( -70.9% ),"23,463",-48736 ( -67.5% ),"2,211,166,215","283,688",3
2017-10-24,635,11.2%,"2,495",15.1%,"378,256",13.9%,6.6%,"176,586,900",6450700 ( 3.8% ),"24,971",1508 ( 6.4% ),"2,387,753,115","308,659",3
2017-10-25,423,7.8%,740,4.5%,"86,921",3.2%,16.4%,"83,038,200",-93548700 ( -53.0% ),"14,229",-10742 ( -43.0% ),"2,470,791,315","322,888",5
2017-10-26,353,6.6%,596,3.6%,"70,570",2.6%,11.3%,"52,712,000",-30326200 ( -36.5% ),"7,970",-6259 ( -44.0% ),"2,523,503,315","330,858",6
2017-10-27,358,6.6%,612,3.6%,"72,885",2.6%,13.1%,"66,304,300",13592300 ( 25.8% ),"9,534",1564 ( 19.6% ),"2,589,807,615","340,392",5
2017-10-28,315,5.5%,518,2.9%,"60,358",2.1%,14.5%,"66,805,000",500700 ( 0.8% ),"8,764",-770 ( -8.1% ),"2,656,612,615","349,156",5
2017-10-29,318,5.7%,511,2.9%,"60,036",2.1%,15.4%,"71,526,500",4721500 ( 7.1% ),"9,272",508 ( 5.8% ),"2,728,139,115","358,428",5
2017-10-30,338,6.7%,567,3.5%,"66,232",2.5%,7.6%,"33,404,700",-38121800 ( -53.3% ),"5,022",-4250 ( -45.8% ),"2,761,543,815","363,450",5
2017-10-31,335,6.5%,586,3.6%,"68,471",2.6%,8.0%,"35,054,200",1649500 ( 4.9% ),"5,493",471 ( 9.4% ),"2,796,598,015","368,943",5
2017-11-01,316,6.2%,546,3.4%,"63,399",2.4%,8.4%,"36,897,600",1843400 ( 5.3% ),"5,347",-146 ( -2.7% ),"2,833,495,615","374,290",5
2017-11-02,46,0.9%,53,0.3%,"5,717",0.2%,17.5%,"6,489,000",-30408600 ( -82.4% ),"1,000",-4347 ( -81.3% ),"2,839,984,615","375,290",15
2017-11-03,51,0.9%,56,0.3%,"5,990",0.2%,20.5%,"8,253,500",1764500 ( 27.2% ),"1,226",226 ( 22.6% ),"2,848,238,115","376,516",13
2017-11-04,25,0.4%,28,0.2%,"2,283",0.1%,14.7%,"2,133,000",-6120500 ( -74.2% ),336,-890 ( -72.6% ),"2,850,371,115","376,852",34
2017-11-05,21,0.4%,26,0.1%,"2,179",0.1%,10.1%,"1,521,000",-612000 ( -28.7% ),219,-117 ( -34.8% ),"2,851,892,115","377,071",36
2017-11-06,34,0.7%,42,0.3%,"4,683",0.2%,10.1%,"3,300,500",1779500 ( 117.0% ),474,255 ( 116.4% ),"2,855,192,615","377,545",19
2017-11-07,35,0.7%,41,0.2%,"4,541",0.2%,5.6%,"1,632,500",-1668000 ( -50.5% ),254,-220 ( -46.4% ),"2,856,825,115","377,799",28
2017-11-08,25,0.5%,28,0.2%,"3,506",0.1%,18.5%,"4,242,000",2609500 ( 159.8% ),647,393 ( 154.7% ),"2,861,067,115","378,446",13
2017-11-09,2,0.0%,2,0.0%,195,0.0%,45.1%,"490,000",-3752000 ( -88.4% ),88,-559 ( -86.4% ),"2,861,557,115","378,534",59
2017-11-10,5,0.1%,6,0.0%,874,0.0%,36.8%,"2,399,000",1909000 ( 389.6% ),322,234 ( 265.9% ),"2,863,956,115","378,856",32
2017-11-11,3,0.0%,3,0.0%,299,0.0%,16.7%,"244,000",-2155000 ( -89.8% ),50,-272 ( -84.5% ),"2,864,200,115","378,906",74
2017-11-12,3,0.0%,3,0.0%,329,0.0%,28.0%,"544,000",300000 ( 123.0% ),92,42 ( 84.0% ),"2,864,744,115","378,998",54
