'보안관' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
5/3/2017,669,10.8%,"2,682",14.6%,"406,320",13.7%,50.9%,"1,707,833,700",1665620700 ( 3945.8% ),"206,706",201678 ( 4011.1% ),"1,896,919,600","228,860",3
5/4/2017,758,12.0%,"2,864",15.7%,"435,977",14.7%,44.5%,"1,426,211,000",-281622700 ( -16.5% ),"193,863",-12843 ( -6.2% ),"3,323,130,600","422,723",3
5/5/2017,878,12.9%,"3,062",16.2%,"470,597",15.4%,59.8%,"2,320,947,094",894736094 ( 62.7% ),"281,401",87538 ( 45.2% ),"5,644,077,694","704,124",3
5/6/2017,"1,069",16.0%,"3,812",20.3%,"614,836",20.2%,47.8%,"2,452,801,346",131854252 ( 5.7% ),"294,102",12701 ( 4.5% ),"8,096,879,040","998,226",1
5/7/2017,"1,091",16.5%,"4,030",22.0%,"663,817",22.3%,39.5%,"2,210,941,500",-241859846 ( -9.9% ),"261,919",-32183 ( -10.9% ),"10,307,820,540","1,260,145",1
5/8/2017,947,17.0%,"4,299",24.9%,"754,678",26.7%,19.9%,"1,106,714,000",-1104227500 ( -49.9% ),"149,813",-112106 ( -42.8% ),"11,414,534,540","1,409,958",1
5/9/2017,806,13.1%,"3,366",18.4%,"621,433",20.9%,38.9%,"1,988,366,800",881652800 ( 79.7% ),"241,627",91814 ( 61.3% ),"13,402,901,340","1,651,585",3
5/10/2017,696,13.7%,"3,229",19.6%,"579,648",21.4%,11.2%,"481,728,600",-1506638200 ( -75.8% ),"65,039",-176588 ( -73.1% ),"13,884,629,940","1,716,624",2
5/11/2017,699,13.0%,"3,217",19.4%,"580,382",21.3%,11.1%,"474,274,400",-7454200 ( -1.5% ),"64,302",-737 ( -1.1% ),"14,358,904,340","1,780,926",2
5/12/2017,748,13.6%,"3,367",19.7%,"604,465",21.6%,14.3%,"709,803,222",235528822 ( 49.7% ),"86,702",22400 ( 34.8% ),"15,068,707,562","1,867,628",2
5/13/2017,758,12.4%,"3,352",18.4%,"611,257",20.6%,28.5%,"1,475,699,847",765896625 ( 107.9% ),"174,313",87611 ( 101.0% ),"16,544,407,409","2,041,941",2
5/14/2017,751,12.3%,"3,236",18.3%,"588,294",20.3%,28.0%,"1,389,646,100",-86053747 ( -5.8% ),"164,624",-9689 ( -5.6% ),"17,934,053,509","2,206,565",2
5/15/2017,714,13.9%,"3,246",20.0%,"573,743",21.5%,11.2%,"470,701,000",-918945100 ( -66.1% ),"64,447",-100177 ( -60.9% ),"18,404,754,509","2,271,012",1
5/16/2017,732,14.3%,"3,262",20.5%,"573,097",21.8%,9.1%,"380,132,700",-90568300 ( -19.2% ),"52,173",-12274 ( -19.0% ),"18,784,887,209","2,323,185",1
5/17/2017,603,12.0%,"2,136",12.8%,"326,559",11.9%,8.6%,"202,147,700",-177985000 ( -46.8% ),"28,064",-24109 ( -46.2% ),"18,987,034,909","2,351,249",4
