'조작된 도시' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2/9/2017,771,12.8%,"3,503",20.7%,"678,014",24.4%,23.3%,"1,177,376,000",1145494000 ( 3592.9% ),"157,669",153760 ( 3933.5% ),"1,325,943,200","175,872",1
2/10/2017,825,13.5%,"3,784",21.9%,"734,607",25.9%,25.4%,"1,551,046,539",373670539 ( 31.7% ),"186,738",29069 ( 18.4% ),"2,876,989,739","362,610",1
2/11/2017,"1,006",15.1%,"4,495",24.8%,"873,233",29.5%,40.4%,"2,960,746,805",1409700266 ( 90.9% ),"353,192",166454 ( 89.1% ),"5,837,736,544","715,802",1
2/12/2017,"1,019",15.3%,"4,471",25.2%,"868,911",29.9%,41.0%,"2,985,432,400",24685595 ( 0.8% ),"356,648",3456 ( 1.0% ),"8,823,168,944","1,072,450",1
2/13/2017,886,14.8%,"4,125",24.8%,"809,405",29.6%,16.1%,"978,097,300",-2007335100 ( -67.2% ),"130,484",-226164 ( -63.4% ),"9,801,266,244","1,202,934",1
2/14/2017,900,14.4%,"4,173",24.7%,"820,667",29.7%,17.6%,"1,084,946,500",106849200 ( 10.9% ),"144,305",13821 ( 10.6% ),"10,886,212,744","1,347,239",1
2/15/2017,686,12.3%,"2,878",17.1%,"528,011",19.0%,16.7%,"655,763,900",-429182600 ( -39.6% ),"88,129",-56176 ( -38.9% ),"11,541,976,644","1,435,368",2
2/16/2017,729,12.1%,"2,923",17.1%,"537,191",19.0%,14.1%,"566,544,100",-89219800 ( -13.6% ),"75,708",-12421 ( -14.1% ),"12,108,520,744","1,511,076",2
2/17/2017,773,12.6%,"3,218",18.4%,"601,451",20.8%,15.3%,"763,363,690",196819590 ( 34.7% ),"91,801",16093 ( 21.3% ),"12,871,884,434","1,602,877",2
2/18/2017,829,12.9%,"3,516",19.3%,"656,848",21.9%,29.3%,"1,620,878,074",857514384 ( 112.3% ),"192,248",100447 ( 109.4% ),"14,492,762,508","1,795,125",2
2/19/2017,821,12.8%,"3,406",19.1%,"636,875",21.8%,28.1%,"1,509,223,700",-111654374 ( -6.9% ),"179,139",-13109 ( -6.8% ),"16,001,986,208","1,974,264",2
2/20/2017,738,12.7%,"3,130",18.7%,"574,845",20.8%,11.0%,"473,420,400",-1035803300 ( -68.6% ),"63,134",-116005 ( -64.8% ),"16,475,406,608","2,037,398",2
2/21/2017,747,12.5%,"3,145",18.8%,"573,471",20.8%,10.3%,"441,554,300",-31866100 ( -6.7% ),"59,236",-3898 ( -6.2% ),"16,916,960,908","2,096,634",2
2/22/2017,520,8.5%,"1,694",9.6%,"272,762",9.5%,21.6%,"350,908,200",-90646100 ( -20.5% ),"58,961",-275 ( -0.5% ),"17,267,869,108","2,155,595",4
2/23/2017,500,8.1%,"1,661",9.4%,"260,224",9.0%,13.0%,"253,174,000",-97734200 ( -27.9% ),"33,918",-25043 ( -42.5% ),"17,521,043,108","2,189,513",4
2/24/2017,515,8.0%,"1,656",9.2%,"255,509",8.7%,14.6%,"309,739,128",56565128 ( 22.3% ),"37,363",3445 ( 10.2% ),"17,830,782,236","2,226,876",4
2/25/2017,545,7.9%,"1,691",9.1%,"257,101",8.4%,29.8%,"640,086,951",330347823 ( 106.7% ),"76,656",39293 ( 105.2% ),"18,470,869,187","2,303,532",3
2/26/2017,538,7.9%,"1,634",9.0%,"248,511",8.3%,30.6%,"636,204,600",-3882351 ( -0.6% ),"76,007",-649 ( -0.8% ),"19,107,073,787","2,379,539",3
2/27/2017,498,8.1%,"1,596",9.2%,"239,414",8.4%,12.0%,"213,595,100",-422609500 ( -66.4% ),"28,848",-47159 ( -62.0% ),"19,320,668,887","2,408,387",4
2/28/2017,516,7.2%,"1,346",7.7%,"197,195",6.9%,16.1%,"231,674,300",18079200 ( 8.5% ),"31,737",2889 ( 10.0% ),"19,552,343,187","2,440,124",5
3/1/2017,258,4.2%,409,2.4%,"51,695",1.8%,35.7%,"149,143,600",-82530700 ( -35.6% ),"18,446",-13291 ( -41.9% ),"19,701,486,787","2,458,570",7
3/2/2017,263,4.6%,405,2.5%,"54,727",2.1%,7.3%,"29,531,400",-119612200 ( -80.2% ),"3,996",-14450 ( -78.3% ),"19,731,018,187","2,462,566",10
3/3/2017,264,4.6%,429,2.6%,"58,387",2.2%,9.1%,"43,770,800",14239400 ( 48.2% ),"5,293",1297 ( 32.5% ),"19,774,788,987","2,467,859",9
3/4/2017,259,4.1%,438,2.5%,"56,494",2.0%,22.4%,"104,955,000",61184200 ( 139.8% ),"12,629",7336 ( 138.6% ),"19,879,743,987","2,480,488",8
3/5/2017,251,4.0%,431,2.5%,"56,245",2.0%,21.2%,"99,962,400",-4992600 ( -4.8% ),"11,901",-728 ( -5.8% ),"19,979,706,387","2,492,389",7
