'보스 베이비' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
5/3/2017,799,12.9%,"2,661",14.5%,"428,180",14.4%,55.5%,"1,841,294,400",1841294400 ( 100.0% ),"237,463",237463 ( 100.0% ),"1,859,070,400","239,685",2
5/4/2017,863,13.6%,"2,743",15.0%,"435,151",14.7%,46.6%,"1,410,795,500",-430498900 ( -23.4% ),"202,935",-34528 ( -14.5% ),"3,269,865,900","442,620",2
5/5/2017,"1,116",16.3%,"3,631",19.2%,"607,626",19.9%,58.0%,"2,753,672,236",1342876736 ( 95.2% ),"352,637",149702 ( 73.8% ),"6,023,538,136","795,257",2
5/6/2017,"1,033",15.4%,"3,468",18.5%,"571,994",18.8%,38.4%,"1,742,628,799",-1011043437 ( -36.7% ),"219,836",-132801 ( -37.7% ),"7,766,166,935","1,015,093",3
5/7/2017,996,15.1%,"3,356",18.3%,"557,116",18.7%,34.5%,"1,533,772,700",-208856099 ( -12.0% ),"192,172",-27664 ( -12.6% ),"9,299,939,635","1,207,265",3
5/8/2017,771,13.8%,"2,660",15.4%,"425,691",15.1%,11.4%,"364,931,400",-1168841300 ( -76.2% ),"48,542",-143630 ( -74.7% ),"9,664,871,035","1,255,807",3
5/9/2017,764,12.5%,"2,524",13.8%,"404,544",13.6%,64.6%,"1,999,922,200",1634990800 ( 448.0% ),"261,424",212882 ( 438.6% ),"11,664,793,235","1,517,231",2
5/10/2017,529,10.4%,"1,591",9.6%,"236,882",8.7%,12.1%,"214,795,800",-1785126400 ( -89.3% ),"28,623",-232801 ( -89.1% ),"11,879,589,035","1,545,854",4
5/11/2017,550,10.2%,"1,553",9.3%,"231,086",8.5%,12.1%,"207,525,900",-7269900 ( -3.4% ),"27,873",-750 ( -2.6% ),"12,087,114,935","1,573,727",4
5/12/2017,579,10.6%,"1,652",9.7%,"246,444",8.8%,17.4%,"346,819,622",139293722 ( 67.1% ),"42,863",14990 ( 53.8% ),"12,433,934,557","1,616,590",4
5/13/2017,720,11.8%,"2,363",13.0%,"376,855",12.7%,38.4%,"1,154,176,047",807356425 ( 232.8% ),"144,673",101810 ( 237.5% ),"13,588,110,604","1,761,263",3
5/14/2017,723,11.8%,"2,363",13.3%,"378,792",13.1%,42.4%,"1,289,171,600",134995553 ( 11.7% ),"160,758",16085 ( 11.1% ),"14,877,282,204","1,922,021",3
5/15/2017,558,10.9%,"1,698",10.5%,"256,304",9.6%,14.8%,"279,496,600",-1009675000 ( -78.3% ),"37,848",-122910 ( -76.5% ),"15,156,778,804","1,959,869",4
5/16/2017,544,10.6%,"1,612",10.1%,"246,255",9.4%,10.1%,"186,227,900",-93268700 ( -33.4% ),"24,749",-13099 ( -34.6% ),"15,343,006,704","1,984,618",4
5/17/2017,418,8.3%,973,5.8%,"132,895",4.8%,12.6%,"123,475,400",-62752500 ( -33.7% ),"16,783",-7966 ( -32.2% ),"15,466,482,104","2,001,401",7
5/18/2017,419,7.7%,873,5.3%,"120,889",4.4%,12.5%,"112,225,600",-11249800 ( -9.1% ),"15,057",-1726 ( -10.3% ),"15,578,707,704","2,016,458",7
5/19/2017,446,7.9%,945,5.5%,"129,844",4.6%,16.4%,"172,316,100",60090500 ( 53.5% ),"21,326",6269 ( 41.6% ),"15,751,023,804","2,037,784",7
