'박열' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
6/28/2017,917,18.7%,"4,191",26.8%,"725,192",28.5%,27.9%,"1,184,873,200",1156551400 ( 4083.6% ),"201,987",198929 ( 6505.2% ),"1,342,313,500","221,162",1
6/29/2017,995,20.1%,"4,495",28.6%,"777,379",30.3%,18.2%,"1,028,040,500",-156832700 ( -13.2% ),"141,299",-60688 ( -30.0% ),"2,370,354,000","362,461",1
6/30/2017,"1,066",20.7%,"4,954",30.8%,"874,016",33.4%,19.9%,"1,400,110,126",372069626 ( 36.2% ),"174,136",32837 ( 23.2% ),"3,770,464,126","536,597",1
7/1/2017,"1,176",21.4%,"5,812",33.9%,"1,084,105",38.8%,30.5%,"2,746,194,244",1346084118 ( 96.1% ),"330,776",156640 ( 90.0% ),"6,516,658,370","867,373",1
7/2/2017,"1,172",21.5%,"5,734",34.2%,"1,074,594",39.5%,29.1%,"2,601,598,600",-144595644 ( -5.3% ),"313,188",-17588 ( -5.3% ),"9,118,256,970","1,180,561",1
7/3/2017,"1,089",23.4%,"5,350",35.2%,"999,164",40.1%,11.3%,"836,172,000",-1765426600 ( -67.9% ),"113,352",-199836 ( -63.8% ),"9,954,428,970","1,293,913",1
7/4/2017,"1,102",23.0%,"5,343",35.1%,"995,810",39.9%,10.5%,"765,695,800",-70476200 ( -8.4% ),"104,154",-9198 ( -8.1% ),"10,720,124,770","1,398,067",1
7/5/2017,743,17.3%,"3,228",20.5%,"439,350",17.0%,13.6%,"431,482,500",-334213300 ( -43.6% ),"59,576",-44578 ( -42.8% ),"11,151,607,270","1,457,643",2
7/6/2017,756,17.0%,"3,182",20.1%,"430,581",16.6%,13.1%,"405,622,100",-25860400 ( -6.0% ),"56,290",-3286 ( -5.5% ),"11,557,229,370","1,513,933",2
7/7/2017,747,16.5%,"3,185",19.6%,"426,986",16.1%,17.3%,"586,398,568",180776468 ( 44.6% ),"73,706",17416 ( 30.9% ),"12,143,627,938","1,587,639",2
7/8/2017,708,14.8%,"2,897",16.9%,"385,492",13.8%,35.4%,"1,113,682,758",527284190 ( 89.9% ),"136,469",62763 ( 85.2% ),"13,257,310,696","1,724,108",2
7/9/2017,686,14.5%,"2,775",16.6%,"369,765",13.6%,31.9%,"958,855,700",-154827058 ( -13.9% ),"118,132",-18337 ( -13.4% ),"14,216,166,396","1,842,240",2
7/10/2017,691,16.3%,"2,941",19.1%,"382,260",15.1%,11.4%,"313,715,800",-645139900 ( -67.3% ),"43,647",-74485 ( -63.1% ),"14,529,882,196","1,885,887",2
7/11/2017,710,15.7%,"2,904",18.7%,"378,032",14.9%,11.9%,"322,814,100",9098300 ( 2.9% ),"45,160",1513 ( 3.5% ),"14,852,696,296","1,931,047",2
7/12/2017,653,14.8%,"2,601",16.7%,"335,231",13.1%,11.7%,"275,712,300",-47101800 ( -14.6% ),"39,140",-6020 ( -13.3% ),"15,128,408,596","1,970,187",2
7/13/2017,594,12.2%,"2,139",13.5%,"281,190",10.9%,12.6%,"250,446,100",-25266200 ( -9.2% ),"35,493",-3647 ( -9.3% ),"15,378,854,696","2,005,680",2
7/14/2017,630,12.4%,"2,223",13.6%,"287,619",10.8%,16.0%,"354,964,342",104518242 ( 41.7% ),"45,994",10501 ( 29.6% ),"15,733,819,038","2,051,674",2
7/15/2017,638,11.9%,"2,025",11.6%,"262,548",9.2%,32.6%,"688,937,257",333972915 ( 94.1% ),"85,482",39488 ( 85.9% ),"16,422,756,295","2,137,156",3
7/16/2017,620,11.7%,"1,948",11.5%,"254,015",9.2%,29.5%,"607,606,300",-81330957 ( -11.8% ),"75,059",-10423 ( -12.2% ),"17,030,362,595","2,212,215",3
7/17/2017,577,12.5%,"2,100",13.6%,"271,368",10.7%,10.3%,"200,598,000",-407008300 ( -67.0% ),"27,965",-47094 ( -62.7% ),"17,230,960,595","2,240,180",2
7/18/2017,602,12.4%,"2,074",13.5%,"267,613",10.6%,9.8%,"185,874,100",-14723900 ( -7.3% ),"26,207",-1758 ( -6.3% ),"17,416,834,695","2,266,387",2
