'마스터' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
12/21/2016,"1,448",29.2%,"6,617",43.1%,"1,294,473",51.5%,30.3%,"2,944,795,900",2894507700 ( 5755.8% ),"392,856",387978 ( 7953.6% ),"3,158,169,100","416,300",1
12/22/2016,"1,441",28.0%,"6,615",42.5%,"1,296,233",51.0%,26.8%,"2,616,224,500",-328571400 ( -11.2% ),"347,324",-45532 ( -11.6% ),"5,774,393,600","763,624",1
12/23/2016,"1,450",27.8%,"7,026",43.2%,"1,370,612",51.6%,30.4%,"3,495,241,400",879016900 ( 33.6% ),"417,071",69747 ( 20.1% ),"9,269,635,000","1,180,695",1
12/24/2016,"1,501",25.7%,"7,383",41.3%,"1,430,886",49.4%,64.2%,"7,874,891,609",4379650209 ( 125.3% ),"918,759",501688 ( 120.3% ),"17,144,526,609","2,099,454",1
12/25/2016,"1,495",25.5%,"7,145",41.0%,"1,382,920",48.9%,65.3%,"7,685,360,800",-189530809 ( -2.4% ),"902,734",-16025 ( -1.7% ),"24,829,887,409","3,002,188",1
12/26/2016,"1,390",27.2%,"6,634",41.9%,"1,299,988",50.3%,21.0%,"2,069,763,000",-5615597800 ( -73.1% ),"273,151",-629583 ( -69.7% ),"26,899,650,409","3,275,339",1
12/27/2016,"1,425",26.8%,"6,601",41.5%,"1,281,648",49.4%,19.5%,"1,872,795,600",-196967400 ( -9.5% ),"250,253",-22898 ( -8.4% ),"28,772,446,009","3,525,592",1
12/28/2016,"1,263",23.3%,"5,482",34.3%,"1,026,256",39.4%,30.2%,"1,880,136,850",7341250 ( 0.4% ),"310,391",60138 ( 24.0% ),"30,652,582,859","3,835,983",1
12/29/2016,"1,224",23.0%,"5,560",34.5%,"1,041,886",39.7%,22.4%,"1,769,010,700",-111126150 ( -5.9% ),"233,247",-77144 ( -24.9% ),"32,421,593,559","4,069,230",1
12/30/2016,"1,206",22.4%,"5,697",34.4%,"1,072,700",39.8%,30.6%,"2,779,549,256",1010538556 ( 57.1% ),"328,306",95059 ( 40.8% ),"35,201,142,815","4,397,536",1
12/31/2016,"1,262",21.3%,"5,897",34.0%,"1,121,237",39.8%,48.0%,"4,583,498,250",1803948994 ( 64.9% ),"537,784",209478 ( 63.8% ),"39,784,641,065","4,935,320",1
1/1/2017,"1,245",21.2%,"5,721",34.2%,"1,090,452",40.1%,46.4%,"4,399,793,100",-183705150 ( -4.0% ),"506,299",-31485 ( -5.9% ),"44,184,434,165","5,441,619",1
1/2/2017,"1,161",22.1%,"5,381",33.9%,"1,038,699",40.0%,17.7%,"1,404,122,100",-2995671000 ( -68.1% ),"183,423",-322876 ( -63.8% ),"45,588,556,265","5,625,042",1
1/3/2017,"1,173",21.5%,"5,334",33.7%,"1,024,606",39.7%,13.3%,"1,036,588,100",-367534000 ( -26.2% ),"135,859",-47564 ( -25.9% ),"46,625,144,365","5,760,901",1
1/4/2017,871,14.6%,"3,552",20.6%,"720,975",25.7%,14.2%,"784,589,300",-251998800 ( -24.3% ),"102,362",-33497 ( -24.7% ),"47,409,733,665","5,863,263",2
1/5/2017,855,13.8%,"3,321",19.3%,"670,243",23.8%,13.8%,"709,301,100",-75288200 ( -9.6% ),"92,234",-10128 ( -9.9% ),"48,119,034,765","5,955,497",2
1/6/2017,871,13.7%,"3,261",18.5%,"652,558",22.6%,16.1%,"907,001,400",197700300 ( 27.9% ),"105,235",13001 ( 14.1% ),"49,026,036,165","6,060,732",2
1/7/2017,884,13.6%,"3,315",18.1%,"633,080",21.1%,37.3%,"2,036,651,200",1129649800 ( 124.5% ),"236,394",131159 ( 124.6% ),"51,062,687,365","6,297,126",2
1/8/2017,866,13.4%,"3,186",17.9%,"605,177",20.7%,36.5%,"1,903,655,600",-132995600 ( -6.5% ),"220,974",-15420 ( -6.5% ),"52,966,342,965","6,518,100",2
1/9/2017,782,13.4%,"2,974",17.5%,"557,494",19.9%,11.7%,"499,322,500",-1404333100 ( -73.8% ),"65,323",-155651 ( -70.4% ),"53,465,665,465","6,583,423",2
1/10/2017,814,13.4%,"2,959",17.4%,"549,483",19.6%,11.4%,"472,805,800",-26516700 ( -5.3% ),"62,635",-2688 ( -4.1% ),"53,938,471,265","6,646,058",2
1/11/2017,654,11.8%,"2,305",13.6%,"407,620",14.5%,13.4%,"415,715,100",-57090700 ( -12.1% ),"54,670",-7965 ( -12.7% ),"54,354,186,365","6,700,728",3
1/12/2017,567,10.0%,"1,826",10.7%,"294,671",10.5%,15.7%,"348,123,100",-67592000 ( -16.3% ),"46,151",-8519 ( -15.6% ),"54,702,309,465","6,746,879",3
1/13/2017,577,9.8%,"1,911",10.9%,"311,959",10.8%,16.9%,"453,245,300",105122200 ( 30.2% ),"52,777",6626 ( 14.4% ),"55,155,554,765","6,799,656",3
1/14/2017,648,10.5%,"2,001",11.0%,"325,818",10.9%,37.0%,"1,038,500,200",585254900 ( 129.1% ),"120,563",67786 ( 128.4% ),"56,194,054,965","6,920,219",3
