'눈의 여왕 3: 눈과 불의 마법대결' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-01-04,458,7.7%,825,4.8%,"112,353",4.0%,31.1%,"239,802,400",239802400 ( 100.0% ),"34,965",34965 ( 100.0% ),"255,303,400","36,987",6
2017-01-05,478,7.7%,878,5.1%,"121,005",4.3%,28.5%,"238,594,000",-1208400 ( -0.5% ),"34,484",-481 ( -1.4% ),"493,897,400","71,471",6
2017-01-06,498,7.8%,956,5.4%,"134,082",4.7%,24.8%,"251,587,600",12993600 ( 5.4% ),"33,216",-1268 ( -3.7% ),"745,485,000","104,687",6
2017-01-07,526,8.1%,"1,176",6.4%,"171,556",5.7%,40.7%,"547,675,400",296087800 ( 117.7% ),"69,879",36663 ( 110.4% ),"1,293,160,400","174,566",5
2017-01-08,524,8.1%,"1,163",6.5%,"170,759",5.8%,39.6%,"535,436,000",-12239400 ( -2.2% ),"67,605",-2274 ( -3.3% ),"1,828,596,400","242,171",5
2017-01-09,433,7.4%,949,5.6%,"136,886",4.9%,12.7%,"120,724,000",-414712000 ( -77.5% ),"17,324",-50281 ( -74.4% ),"1,949,320,400","259,495",7
2017-01-10,460,7.6%,967,5.7%,"139,011",5.0%,15.7%,"149,170,200",28446200 ( 23.6% ),"21,843",4519 ( 26.1% ),"2,098,490,600","281,338",6
2017-01-11,361,6.5%,700,4.1%,"92,804",3.3%,16.6%,"102,046,800",-47123400 ( -31.6% ),"15,370",-6473 ( -29.6% ),"2,200,537,400","296,708",8
2017-01-12,296,5.2%,430,2.5%,"54,659",1.9%,16.6%,"58,752,400",-43294400 ( -42.4% ),"9,076",-6294 ( -40.9% ),"2,259,289,800","305,784",9
2017-01-13,300,5.1%,430,2.5%,"53,966",1.9%,14.6%,"55,050,000",-3702400 ( -6.3% ),"7,863",-1213 ( -13.4% ),"2,314,339,800","313,647",9
