'원더 우먼' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
5/31/2017,941,19.7%,"4,179",25.7%,"784,598",29.7%,26.4%,"1,314,211,200",1309427200 ( 27371.0% ),"206,944",206346 ( 34506.0% ),"1,346,313,200","210,260",1
6/1/2017,913,18.3%,"4,164",25.4%,"794,120",30.0%,14.7%,"918,976,500",-395234700 ( -30.1% ),"116,912",-90032 ( -43.5% ),"2,265,289,700","327,172",1
6/2/2017,958,19.2%,"4,352",26.2%,"826,525",30.8%,18.7%,"1,338,334,495",419357995 ( 45.6% ),"154,172",37260 ( 31.9% ),"3,603,624,195","481,344",1
6/3/2017,"1,030",18.8%,"4,723",26.7%,"907,730",32.0%,39.3%,"3,095,098,603",1756764108 ( 131.3% ),"356,552",202380 ( 131.3% ),"6,698,722,798","837,896",1
6/4/2017,"1,034",18.9%,"4,649",26.9%,"898,710",32.3%,35.7%,"2,760,802,900",-334295703 ( -10.8% ),"320,498",-36054 ( -10.1% ),"9,459,525,698","1,158,394",1
6/5/2017,996,19.7%,"4,623",27.3%,"896,131",32.9%,20.4%,"1,408,071,500",-1352731400 ( -49.0% ),"182,781",-137717 ( -43.0% ),"10,867,597,198","1,341,175",1
6/6/2017,750,14.1%,"2,958",16.4%,"491,853",16.7%,41.4%,"1,655,383,600",247312100 ( 17.6% ),"203,859",21078 ( 11.5% ),"12,522,980,798","1,545,034",2
6/7/2017,731,16.0%,"2,907",17.4%,"484,134",17.6%,8.8%,"314,878,400",-1340505200 ( -81.0% ),"42,680",-161179 ( -79.1% ),"12,837,859,198","1,587,714",2
6/8/2017,598,12.2%,"2,249",13.4%,"370,176",13.4%,8.6%,"234,560,300",-80318100 ( -25.5% ),"31,667",-11013 ( -25.8% ),"13,072,419,498","1,619,381",3
6/9/2017,607,12.0%,"2,267",13.1%,"369,157",12.9%,12.2%,"371,818,514",137258214 ( 58.5% ),"45,025",13358 ( 42.2% ),"13,444,238,012","1,664,406",3
