'겟 아웃' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
5/17/2017,531,10.6%,"2,641",15.9%,"449,896",16.4%,20.5%,"703,529,100",703529100 ( 100.0% ),"92,124",92124 ( 100.0% ),"705,721,100","92,398",2
5/18/2017,622,11.4%,"2,767",16.7%,"464,844",17.0%,23.4%,"831,984,300",128455200 ( 18.3% ),"108,629",16505 ( 17.9% ),"1,537,705,400","201,027",1
5/19/2017,740,13.1%,"3,240",18.9%,"555,684",19.7%,30.6%,"1,426,284,828",594300528 ( 71.4% ),"170,206",61577 ( 56.7% ),"2,963,990,228","371,233",1
5/20/2017,923,15.0%,"4,253",23.2%,"769,493",25.6%,43.4%,"2,834,691,927",1408407099 ( 98.7% ),"333,900",163694 ( 96.2% ),"5,798,682,155","705,133",1
5/21/2017,945,15.5%,"4,318",24.1%,"792,698",27.0%,37.7%,"2,551,822,000",-282869927 ( -10.0% ),"298,866",-35034 ( -10.5% ),"8,350,504,155","1,003,999",1
5/22/2017,782,15.0%,"4,012",24.5%,"773,886",28.5%,12.9%,"769,926,900",-1781895100 ( -69.8% ),"99,654",-199212 ( -66.7% ),"9,120,431,055","1,103,653",1
5/23/2017,796,15.0%,"4,003",24.6%,"772,207",28.7%,11.1%,"660,741,200",-109185700 ( -14.2% ),"85,896",-13758 ( -13.8% ),"9,781,172,255","1,189,549",1
5/24/2017,636,13.0%,"2,985",18.4%,"478,088",18.0%,15.0%,"548,389,600",-112351600 ( -17.0% ),"71,894",-14002 ( -16.3% ),"10,329,561,855","1,261,443",2
5/25/2017,567,11.2%,"2,595",15.5%,"415,391",15.2%,14.1%,"450,006,400",-98383200 ( -17.9% ),"58,759",-13135 ( -18.3% ),"10,779,568,255","1,320,202",3
5/26/2017,596,11.6%,"2,631",15.4%,"416,716",15.0%,20.3%,"711,486,315",261479915 ( 58.1% ),"84,409",25650 ( 43.7% ),"11,491,054,570","1,404,611",3
5/27/2017,602,11.0%,"2,724",15.1%,"416,142",14.2%,40.9%,"1,433,857,305",722370990 ( 101.5% ),"170,299",85890 ( 101.8% ),"12,924,911,875","1,574,910",3
5/28/2017,616,11.3%,"2,696",15.2%,"409,791",14.3%,36.1%,"1,251,707,800",-182149505 ( -12.7% ),"147,898",-22401 ( -13.2% ),"14,176,619,675","1,722,808",3
5/29/2017,563,11.6%,"2,565",15.6%,"406,322",15.1%,10.1%,"314,880,700",-936827100 ( -74.8% ),"41,046",-106852 ( -72.2% ),"14,491,500,375","1,763,854",3
5/30/2017,580,11.7%,"2,581",15.7%,"406,819",15.2%,8.8%,"270,834,500",-44046200 ( -14.0% ),"35,637",-5409 ( -13.2% ),"14,762,334,875","1,799,491",3
5/31/2017,466,9.8%,"1,381",8.5%,"185,916",7.0%,21.0%,"231,906,300",-38928200 ( -14.4% ),"39,102",3465 ( 9.7% ),"14,994,241,175","1,838,593",5
6/1/2017,434,8.7%,"1,290",7.9%,"171,237",6.5%,15.4%,"201,343,500",-30562800 ( -13.2% ),"26,331",-12771 ( -32.7% ),"15,195,584,675","1,864,924",5
6/2/2017,457,9.1%,"1,291",7.8%,"170,465",6.4%,18.7%,"269,545,800",68202300 ( 33.9% ),"31,940",5609 ( 21.3% ),"15,465,130,475","1,896,864",5
6/3/2017,475,8.7%,"1,273",7.2%,"166,400",5.9%,36.8%,"513,223,500",243677700 ( 90.4% ),"61,165",29225 ( 91.5% ),"15,978,353,975","1,958,029",5
6/4/2017,474,8.7%,"1,260",7.3%,"164,788",5.9%,30.8%,"429,273,100",-83950400 ( -16.4% ),"50,722",-10443 ( -17.1% ),"16,407,627,075","2,008,751",5
6/5/2017,469,9.3%,"1,332",7.9%,"179,654",6.6%,18.7%,"253,153,000",-176120100 ( -41.0% ),"33,622",-17100 ( -33.7% ),"16,660,780,075","2,042,373",5
6/6/2017,290,5.5%,650,3.6%,"82,301",2.8%,37.1%,"252,628,500",-524500 ( -0.2% ),"30,499",-3123 ( -9.3% ),"16,913,408,575","2,072,872",6
6/7/2017,280,6.1%,642,3.8%,"82,117",3.0%,8.6%,"54,123,400",-198505100 ( -78.6% ),"7,052",-23447 ( -76.9% ),"16,967,531,975","2,079,924",6
6/8/2017,180,3.7%,326,1.9%,"42,143",1.5%,8.8%,"28,446,400",-25677000 ( -47.4% ),"3,700",-3352 ( -47.5% ),"16,995,978,375","2,083,624",7
6/9/2017,180,3.6%,316,1.8%,"41,206",1.4%,11.6%,"39,739,700",11293300 ( 39.7% ),"4,780",1080 ( 29.2% ),"17,035,718,075","2,088,404",7
6/10/2017,180,3.2%,314,1.7%,"39,513",1.3%,25.0%,"84,076,400",44336700 ( 111.6% ),"9,887",5107 ( 106.8% ),"17,119,794,475","2,098,291",7
6/11/2017,174,3.1%,306,1.7%,"38,153",1.3%,19.9%,"64,500,600",-19575800 ( -23.3% ),"7,578",-2309 ( -23.4% ),"17,184,295,075","2,105,869",10
6/12/2017,164,3.4%,298,1.8%,"39,044",1.4%,6.8%,"20,142,900",-44357700 ( -68.8% ),"2,649",-4929 ( -65.0% ),"17,204,437,975","2,108,518",8
6/13/2017,167,3.4%,293,1.8%,"38,492",1.4%,6.1%,"17,815,500",-2327400 ( -11.6% ),"2,334",-315 ( -11.9% ),"17,222,253,475","2,110,852",9
6/14/2017,166,3.4%,293,1.8%,"38,102",1.4%,7.2%,"21,001,800",3186300 ( 17.9% ),"2,735",401 ( 17.2% ),"17,243,255,275","2,113,587",8
