'혹성탈출: 종의 전쟁' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
8/15/2017,"1,017",17.8%,"4,683",24.9%,"865,589",28.5%,65.7%,"4,728,549,700",4723995700 ( 103732.9% ),"568,300",567794 ( 112212.3% ),"4,794,903,800","574,723",2
8/16/2017,949,17.6%,"4,512",25.0%,"853,376",29.3%,18.7%,"1,221,553,900",-3506995800 ( -74.2% ),"159,615",-408685 ( -71.9% ),"6,016,457,700","734,338",3
8/17/2017,884,15.7%,"4,058",21.9%,"781,853",26.2%,15.7%,"946,566,900",-274987000 ( -22.5% ),"123,106",-36509 ( -22.9% ),"6,963,024,600","857,444",3
8/18/2017,896,15.6%,"3,942",21.1%,"760,111",25.3%,18.4%,"1,191,903,253",245336353 ( 25.9% ),"139,589",16483 ( 13.4% ),"8,154,927,853","997,033",3
8/19/2017,835,13.9%,"3,597",18.7%,"656,080",21.1%,43.2%,"2,421,038,450",1229135197 ( 103.1% ),"283,205",143616 ( 102.9% ),"10,575,966,303","1,280,238",3
8/20/2017,833,14.0%,"3,463",18.3%,"629,779",20.7%,41.4%,"2,212,571,700",-208466750 ( -8.6% ),"260,675",-22530 ( -8.0% ),"12,788,538,003","1,540,913",3
8/21/2017,755,14.2%,"3,282",18.5%,"598,436",20.8%,11.9%,"552,618,000",-1659953700 ( -75.0% ),"71,141",-189534 ( -72.7% ),"13,341,156,003","1,612,054",4
8/22/2017,764,13.8%,"3,209",18.1%,"584,725",20.4%,10.4%,"470,706,200",-81911800 ( -14.8% ),"61,048",-10093 ( -14.2% ),"13,811,862,203","1,673,102",4
8/23/2017,553,9.5%,"1,707",10.0%,"277,888",10.0%,13.2%,"280,362,800",-190343400 ( -40.4% ),"36,577",-24471 ( -40.1% ),"14,092,225,003","1,709,679",5
8/24/2017,526,8.4%,"1,609",8.9%,"264,235",9.1%,13.1%,"264,016,900",-16345900 ( -5.8% ),"34,575",-2002 ( -5.5% ),"14,356,241,903","1,744,254",5
8/25/2017,518,8.2%,"1,576",8.6%,"254,944",8.6%,15.8%,"338,149,326",74132426 ( 28.1% ),"40,216",5641 ( 16.3% ),"14,694,391,229","1,784,470",5
8/26/2017,525,7.8%,"1,480",7.7%,"218,571",7.1%,39.3%,"718,172,949",380023623 ( 112.4% ),"85,862",45646 ( 113.5% ),"15,412,564,178","1,870,332",5
8/27/2017,507,7.6%,"1,436",7.7%,"214,498",7.1%,35.6%,"640,826,200",-77346749 ( -10.8% ),"76,457",-9405 ( -11.0% ),"16,053,390,378","1,946,789",5
8/28/2017,487,8.3%,"1,430",8.2%,"231,165",8.2%,9.2%,"163,737,200",-477089000 ( -74.4% ),"21,369",-55088 ( -72.1% ),"16,217,127,578","1,968,158",5
8/29/2017,489,8.2%,"1,423",8.2%,"231,867",8.3%,8.6%,"153,309,500",-10427700 ( -6.4% ),"20,027",-1342 ( -6.3% ),"16,370,437,078","1,988,185",5
8/30/2017,242,4.2%,413,2.4%,"60,685",2.2%,17.9%,"65,962,500",-87347000 ( -57.0% ),"10,861",-9166 ( -45.8% ),"16,436,399,578","1,999,046",9
8/31/2017,204,3.6%,372,2.2%,"54,601",2.0%,10.3%,"40,112,000",-25850500 ( -39.2% ),"5,613",-5248 ( -48.3% ),"16,476,511,578","2,004,659",10
9/1/2017,202,3.5%,369,2.1%,"55,235",1.9%,11.8%,"54,176,900",14064900 ( 35.1% ),"6,537",924 ( 16.5% ),"16,530,688,478","2,011,196",9
9/2/2017,210,3.3%,360,1.9%,"51,935",1.7%,26.2%,"113,718,000",59541100 ( 109.9% ),"13,597",7060 ( 108.0% ),"16,644,406,478","2,024,793",9
9/3/2017,212,3.3%,351,1.9%,"50,312",1.7%,24.2%,"102,194,900",-11523100 ( -10.1% ),"12,154",-1443 ( -10.6% ),"16,746,601,378","2,036,947",9
9/4/2017,189,3.5%,339,2.1%,"52,962",2.0%,6.0%,"23,751,500",-78443400 ( -76.8% ),"3,185",-8969 ( -73.8% ),"16,770,352,878","2,040,132",10
9/5/2017,185,3.3%,334,2.0%,"53,240",2.0%,5.2%,"20,337,100",-3414400 ( -14.4% ),"2,752",-433 ( -13.6% ),"16,790,689,978","2,042,884",11
9/6/2017,53,1.0%,80,0.5%,"11,376",0.4%,8.6%,"7,101,000",-13236100 ( -65.1% ),982,-1770 ( -64.3% ),"16,797,790,978","2,043,866",18
9/7/2017,44,0.7%,62,0.4%,"9,204",0.3%,8.6%,"5,488,500",-1612500 ( -22.7% ),795,-187 ( -19.0% ),"16,803,279,478","2,044,661",17
9/8/2017,41,0.7%,57,0.3%,"8,708",0.3%,6.8%,"5,044,800",-443700 ( -8.1% ),592,-203 ( -25.5% ),"16,808,324,278","2,045,253",21
9/9/2017,47,0.7%,62,0.3%,"7,728",0.3%,20.1%,"11,008,100",5963300 ( 118.2% ),"1,552",960 ( 162.2% ),"16,819,332,378","2,046,805",19
9/10/2017,42,0.7%,59,0.3%,"7,941",0.3%,18.8%,"12,055,000",1046900 ( 9.5% ),"1,495",-57 ( -3.7% ),"16,831,387,378","2,048,300",18
9/11/2017,34,0.6%,50,0.3%,"7,321",0.3%,5.9%,"3,033,000",-9022000 ( -74.8% ),429,-1066 ( -71.3% ),"16,834,420,378","2,048,729",17
9/12/2017,36,0.6%,50,0.3%,"7,565",0.3%,4.4%,"2,497,500",-535500 ( -17.7% ),336,-93 ( -21.7% ),"16,836,917,878","2,049,065",26
9/13/2017,30,0.5%,39,0.2%,"5,711",0.2%,4.1%,"1,752,400",-745100 ( -29.8% ),237,-99 ( -29.5% ),"16,838,670,278","2,049,302",34
9/14/2017,2,0.0%,2,0.0%,297,0.0%,15.2%,"366,000",-1386400 ( -79.1% ),45,-192 ( -81.0% ),"16,839,036,278","2,049,347",70
9/15/2017,2,0.0%,2,0.0%,226,0.0%,19.5%,"263,000",-103000 ( -28.1% ),44,-1 ( -2.2% ),"16,839,299,278","2,049,391",76
9/16/2017,3,0.0%,4,0.0%,577,0.0%,23.4%,"1,231,500",968500 ( 368.3% ),135,91 ( 206.8% ),"16,840,530,778","2,049,526",50
9/17/2017,3,0.0%,3,0.0%,417,0.0%,23.7%,"916,000",-315500 ( -25.6% ),99,-36 ( -26.7% ),"16,841,446,778","2,049,625",50
9/18/2017,1,0.0%,1,0.0%,137,0.0%,7.3%,"80,000",-836000 ( -91.3% ),10,-89 ( -89.9% ),"16,841,526,778","2,049,635",89
9/19/2017,2,0.0%,2,0.0%,357,0.0%,3.9%,"112,000",32000 ( 40.0% ),14,4 ( 40.0% ),"16,841,638,778","2,049,649",95
9/20/2017,3,0.1%,3,0.0%,473,0.0%,24.5%,"724,000",612000 ( 546.4% ),116,102 ( 728.6% ),"16,842,362,778","2,049,765",53
9/21/2017,1,0.0%,1,0.0%,137,0.0%,7.3%,"80,000",-644000 ( -89.0% ),10,-106 ( -91.4% ),"16,842,442,778","2,049,775",108
9/22/2017,1,0.0%,1,0.0%,137,0.0%,7.3%,"80,000",0 ( 0.0% ),10,0 ( 0.0% ),"16,842,522,778","2,049,785",120
9/23/2017,1,0.0%,1,0.0%,137,0.0%,18.2%,"200,000",120000 ( 150.0% ),25,15 ( 150.0% ),"16,842,722,778","2,049,810",109
9/24/2017,1,0.0%,1,0.0%,137,0.0%,18.2%,"200,000",0 ( 0.0% ),25,0 ( 0.0% ),"16,842,922,778","2,049,835",100
9/25/2017,1,0.0%,1,0.0%,137,0.0%,7.3%,"80,000",-120000 ( -60.0% ),10,-15 ( -60.0% ),"16,843,002,778","2,049,845",88
9/26/2017,5,0.1%,5,0.0%,715,0.0%,12.6%,"700,000",620000 ( 775.0% ),90,80 ( 800.0% ),"16,843,702,778","2,049,935",64
9/27/2017,5,0.1%,5,0.0%,715,0.0%,12.6%,"700,000",0 ( 0.0% ),90,0 ( 0.0% ),"16,844,402,778","2,050,025",58
9/28/2017,5,0.1%,5,0.0%,715,0.0%,12.6%,"700,000",0 ( 0.0% ),90,0 ( 0.0% ),"16,845,102,778","2,050,115",64
9/29/2017,5,0.1%,5,0.0%,715,0.0%,12.6%,"700,000",0 ( 0.0% ),90,0 ( 0.0% ),"16,845,802,778","2,050,205",54
9/30/2017,5,0.1%,5,0.0%,715,0.0%,16.8%,"940,000",240000 ( 34.3% ),120,30 ( 33.3% ),"16,846,742,778","2,050,325",50
10/1/2017,5,0.1%,5,0.0%,715,0.0%,16.8%,"940,000",0 ( 0.0% ),120,0 ( 0.0% ),"16,847,682,778","2,050,445",41
10/2/2017,5,0.1%,5,0.0%,715,0.0%,12.6%,"700,000",-240000 ( -25.5% ),90,-30 ( -25.0% ),"16,848,382,778","2,050,535",47
10/3/2017,4,0.1%,4,0.0%,555,0.0%,10.8%,"460,000",-240000 ( -34.3% ),60,-30 ( -33.3% ),"16,848,842,778","2,050,595",53
10/4/2017,4,0.1%,4,0.0%,555,0.0%,10.8%,"460,000",0 ( 0.0% ),60,0 ( 0.0% ),"16,849,302,778","2,050,655",46
10/5/2017,4,0.1%,4,0.0%,555,0.0%,10.8%,"460,000",0 ( 0.0% ),60,0 ( 0.0% ),"16,849,762,778","2,050,715",50
10/6/2017,4,0.1%,4,0.0%,555,0.0%,10.8%,"460,000",0 ( 0.0% ),60,0 ( 0.0% ),"16,850,222,778","2,050,775",54
