'1987' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
12/27/2017,"1,299",24.0%,"6,074",35.6%,"1,070,761",39.0%,31.0%,"1,973,650,400",1909449900 ( 2974.2% ),"331,736",324568 ( 4528.0% ),"2,277,747,900","367,067",2
12/28/2017,"1,233",22.4%,"5,645",32.7%,"969,574",35.1%,22.8%,"1,655,660,700",-317989700 ( -16.1% ),"221,304",-110432 ( -33.3% ),"3,933,408,600","588,371",2
12/29/2017,"1,170",20.9%,"5,519",30.9%,"931,532",32.7%,32.9%,"2,560,147,830",904487130 ( 54.6% ),"306,562",85258 ( 38.5% ),"6,493,556,430","894,933",2
12/30/2017,"1,079",18.7%,"5,122",27.5%,"830,642",28.0%,58.6%,"4,075,364,307",1515216477 ( 59.2% ),"487,098",180536 ( 58.9% ),"10,568,920,737","1,382,031",2
12/31/2017,"1,082",18.7%,"5,089",27.2%,"819,068",27.5%,68.4%,"4,685,083,300",609718993 ( 15.0% ),"560,046",72948 ( 15.0% ),"15,254,004,037","1,942,077",2
1/1/2018,"1,097",19.4%,"4,982",27.8%,"793,990",27.8%,66.9%,"4,460,740,100",-224343200 ( -4.8% ),"531,520",-28526 ( -5.1% ),"19,714,744,137","2,473,597",2
1/2/2018,"1,063",19.9%,"5,044",29.2%,"802,143",29.1%,27.1%,"1,643,446,600",-2817293500 ( -63.2% ),"217,249",-314271 ( -59.1% ),"21,358,190,737","2,690,846",2
1/3/2018,964,18.1%,"4,231",24.3%,"693,569",24.9%,25.2%,"1,329,406,000",-314040600 ( -19.1% ),"174,991",-42258 ( -19.5% ),"22,687,596,737","2,865,837",2
1/4/2018,986,17.6%,"4,260",24.3%,"704,405",25.1%,23.2%,"1,240,967,300",-88438700 ( -6.7% ),"163,434",-11557 ( -6.6% ),"23,928,564,037","3,029,271",2
1/5/2018,"1,012",18.1%,"4,456",25.0%,"748,365",26.3%,27.0%,"1,708,118,697",467151397 ( 37.6% ),"202,194",38760 ( 23.7% ),"25,636,682,734","3,231,465",2
1/6/2018,"1,094",18.8%,"4,812",26.2%,"821,796",28.0%,53.1%,"3,672,277,298",1964158601 ( 115.0% ),"436,764",234570 ( 116.0% ),"29,308,960,032","3,668,229",2
1/7/2018,"1,067",18.6%,"4,738",26.2%,"810,005",28.0%,52.0%,"3,539,272,900",-133004398 ( -3.6% ),"421,162",-15602 ( -3.6% ),"32,848,232,932","4,089,391",2
1/8/2018,"1,012",19.3%,"4,545",26.4%,"781,718",28.3%,23.0%,"1,368,451,800",-2170821100 ( -61.3% ),"179,977",-241185 ( -57.3% ),"34,216,684,732","4,269,368",1
1/9/2018,"1,052",19.6%,"4,598",26.8%,"788,434",28.6%,22.3%,"1,333,201,300",-35250500 ( -2.6% ),"175,795",-4182 ( -2.3% ),"35,549,886,032","4,445,163",1
1/10/2018,"1,080",20.0%,"4,666",27.4%,"801,840",29.4%,20.8%,"1,264,934,200",-68267100 ( -5.1% ),"166,737",-9058 ( -5.2% ),"36,814,820,232","4,611,900",1
1/11/2018,957,16.7%,"3,840",22.1%,"692,545",24.8%,20.8%,"1,097,894,600",-167039600 ( -13.2% ),"143,893",-22844 ( -13.7% ),"37,912,714,832","4,755,793",1
1/12/2018,995,17.0%,"4,045",23.0%,"735,488",26.1%,25.3%,"1,589,846,454",491951854 ( 44.8% ),"186,221",42328 ( 29.4% ),"39,502,561,286","4,942,014",1
1/13/2018,"1,103",18.0%,"4,584",25.1%,"839,279",28.8%,51.7%,"3,681,165,059",2091318605 ( 131.5% ),"434,063",247842 ( 133.1% ),"43,183,726,345","5,376,077",1
1/14/2018,"1,122",18.3%,"4,516",25.3%,"825,132",28.9%,49.8%,"3,462,113,600",-219051459 ( -6.0% ),"410,882",-23181 ( -5.3% ),"46,645,839,945","5,786,959",1
1/15/2018,"1,015",18.0%,"4,222",25.0%,"783,673",28.9%,16.5%,"978,581,700",-2483531900 ( -71.7% ),"128,997",-281885 ( -68.6% ),"47,624,421,645","5,915,956",1
1/16/2018,"1,042",17.9%,"4,239",25.2%,"780,644",28.8%,14.9%,"877,919,500",-100662200 ( -10.3% ),"116,339",-12658 ( -9.8% ),"48,502,341,145","6,032,295",1
1/17/2018,755,13.5%,"2,901",17.1%,"490,218",17.9%,18.5%,"688,826,800",-189092700 ( -21.5% ),"90,628",-25711 ( -22.1% ),"49,191,167,945","6,122,923",3
1/18/2018,745,12.8%,"2,833",16.5%,"477,701",17.4%,16.8%,"607,847,400",-80979400 ( -11.8% ),"80,291",-10337 ( -11.4% ),"49,799,015,345","6,203,214",4
1/19/2018,745,12.9%,"2,842",16.2%,"473,519",16.9%,19.3%,"778,167,200",170319800 ( 28.0% ),"91,395",11104 ( 13.8% ),"50,577,182,545","6,294,609",4
1/20/2018,714,11.9%,"2,744",15.2%,"446,996",15.5%,44.3%,"1,684,097,000",905929800 ( 116.4% ),"198,201",106806 ( 116.9% ),"52,261,279,545","6,492,810",4
1/21/2018,708,11.9%,"2,642",15.0%,"427,024",15.1%,41.1%,"1,478,376,200",-205720800 ( -12.2% ),"175,486",-22715 ( -11.5% ),"53,739,655,745","6,668,296",4
1/22/2018,689,12.5%,"2,599",15.5%,"410,957",15.2%,12.7%,"395,319,700",-1083056500 ( -73.3% ),"52,331",-123155 ( -70.2% ),"54,134,975,445","6,720,627",4
