'노무현입니다' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
5/25/2017,580,11.5%,"2,743",16.3%,"393,083",14.4%,20.1%,"586,213,900",581119900 ( 11407.9% ),"78,816",78131 ( 11406.0% ),"653,381,800","86,144",2
5/26/2017,659,12.8%,"3,017",17.6%,"441,388",15.8%,21.5%,"792,506,705",206292805 ( 35.2% ),"94,985",16169 ( 20.5% ),"1,445,888,505","181,129",2
5/27/2017,775,14.1%,"3,578",19.8%,"560,609",19.1%,36.7%,"1,721,566,407",929059702 ( 117.2% ),"205,704",110719 ( 116.6% ),"3,167,454,912","386,833",2
5/28/2017,763,14.0%,"3,503",19.8%,"551,572",19.2%,38.0%,"1,736,580,900",15014493 ( 0.9% ),"209,858",4154 ( 2.0% ),"4,904,035,812","596,691",2
5/29/2017,685,14.1%,"3,356",20.4%,"512,602",19.1%,15.2%,"572,126,700",-1164454200 ( -67.1% ),"77,835",-132023 ( -62.9% ),"5,476,162,512","674,526",2
5/30/2017,710,14.4%,"3,380",20.6%,"513,230",19.1%,13.8%,"511,103,600",-61023100 ( -10.7% ),"70,693",-7142 ( -9.2% ),"5,987,266,112","745,219",2
5/31/2017,578,12.1%,"2,198",13.5%,"301,294",11.4%,26.1%,"464,977,600",-46126000 ( -9.0% ),"78,580",7887 ( 11.2% ),"6,452,243,712","823,799",4
6/1/2017,593,11.9%,"2,205",13.5%,"293,464",11.1%,17.1%,"365,275,400",-99702200 ( -21.4% ),"50,155",-28425 ( -36.2% ),"6,817,519,112","873,954",4
6/2/2017,598,12.0%,"2,293",13.8%,"309,374",11.5%,19.3%,"486,686,800",121411400 ( 33.2% ),"59,584",9429 ( 18.8% ),"7,304,205,912","933,538",4
6/3/2017,627,11.4%,"2,439",13.8%,"336,924",11.9%,35.5%,"992,209,200",505522400 ( 103.9% ),"119,639",60055 ( 100.8% ),"8,296,415,112","1,053,177",4
6/4/2017,614,11.2%,"2,372",13.7%,"327,587",11.8%,37.7%,"1,020,713,800",28504600 ( 2.9% ),"123,572",3933 ( 3.3% ),"9,317,128,912","1,176,749",4
6/5/2017,593,11.7%,"2,385",14.1%,"326,273",12.0%,24.0%,"571,865,100",-448848700 ( -44.0% ),"78,344",-45228 ( -36.6% ),"9,888,994,012","1,255,093",3
6/6/2017,557,10.5%,"1,751",9.7%,"225,922",7.7%,51.9%,"947,075,900",375210800 ( 65.6% ),"117,280",38936 ( 49.7% ),"10,836,069,912","1,372,373",4
6/7/2017,533,11.7%,"1,910",11.4%,"244,790",8.9%,13.6%,"237,138,900",-709937000 ( -75.0% ),"33,176",-84104 ( -71.7% ),"11,073,208,812","1,405,549",3
6/8/2017,494,10.1%,"1,431",8.5%,"182,832",6.6%,13.7%,"180,708,600",-56430300 ( -23.8% ),"24,994",-8182 ( -24.7% ),"11,253,917,412","1,430,543",4
6/9/2017,513,10.2%,"1,489",8.6%,"189,341",6.6%,14.9%,"227,095,600",46387000 ( 25.7% ),"28,285",3291 ( 13.2% ),"11,481,013,012","1,458,828",4
6/10/2017,509,9.0%,"1,440",7.8%,"185,995",6.1%,29.7%,"455,729,800",228634200 ( 100.7% ),"55,330",27045 ( 95.6% ),"11,936,742,812","1,514,158",5
6/11/2017,530,9.5%,"1,427",7.9%,"186,476",6.3%,28.8%,"438,584,200",-17145600 ( -3.8% ),"53,664",-1666 ( -3.0% ),"12,375,327,012","1,567,822",5
6/12/2017,513,10.6%,"1,510",9.2%,"192,459",7.1%,9.2%,"127,987,100",-310597100 ( -70.8% ),"17,701",-35963 ( -67.0% ),"12,503,314,112","1,585,523",4
6/13/2017,518,10.4%,"1,504",9.2%,"190,256",7.0%,8.8%,"119,798,900",-8188200 ( -6.4% ),"16,682",-1019 ( -5.8% ),"12,623,113,012","1,602,205",4
6/14/2017,518,10.7%,"1,524",9.4%,"192,742",7.2%,10.9%,"149,895,200",30096300 ( 25.1% ),"20,977",4295 ( 25.7% ),"12,773,008,212","1,623,182",4
6/15/2017,455,8.6%,"1,129",6.6%,"141,594",5.0%,11.0%,"112,364,300",-37530900 ( -25.0% ),"15,626",-5351 ( -25.5% ),"12,885,372,512","1,638,808",5
6/16/2017,445,8.1%,"1,164",6.6%,"142,512",4.9%,12.8%,"147,649,000",35284700 ( 31.4% ),"18,206",2580 ( 16.5% ),"13,033,021,512","1,657,014",5
6/17/2017,492,8.1%,"1,214",6.3%,"153,248",4.9%,22.4%,"283,217,000",135568000 ( 91.8% ),"34,301",16095 ( 88.4% ),"13,316,238,512","1,691,315",5
6/18/2017,488,8.0%,"1,163",6.2%,"148,147",4.8%,21.4%,"259,698,800",-23518200 ( -8.3% ),"31,675",-2626 ( -7.7% ),"13,575,937,312","1,722,990",5
6/19/2017,435,8.6%,"1,161",6.9%,"147,848",5.3%,7.9%,"85,313,700",-174385100 ( -67.1% ),"11,656",-20019 ( -63.2% ),"13,661,251,012","1,734,646",5
6/20/2017,463,8.8%,"1,178",7.1%,"150,895",5.5%,8.4%,"89,729,200",4415500 ( 5.2% ),"12,627",971 ( 8.3% ),"13,750,980,212","1,747,273",5
6/21/2017,330,6.6%,628,4.0%,"74,895",2.9%,10.7%,"56,862,500",-32866700 ( -36.6% ),"8,000",-4627 ( -36.6% ),"13,807,842,712","1,755,273",6
6/22/2017,287,5.6%,481,3.0%,"57,769",2.2%,11.1%,"45,418,500",-11444000 ( -20.1% ),"6,427",-1573 ( -19.7% ),"13,853,261,212","1,761,700",7
