'저스티스 리그' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
11/15/2017,"1,192",17.6%,"4,132",24.0%,"794,298",28.5%,19.3%,"1,246,482,600",1244367600 ( 58835.3% ),"153,553",153318 ( 65241.7% ),"1,263,461,600","155,646",1
11/16/2017,"1,261",21.8%,"6,761",37.7%,"1,325,052",45.6%,12.4%,"1,283,604,500",37121900 ( 3.0% ),"164,133",10580 ( 6.9% ),"2,547,066,100","319,779",1
11/17/2017,"1,308",21.8%,"6,928",38.3%,"1,357,449",46.4%,13.5%,"1,570,217,084",286612584 ( 22.3% ),"183,255",19122 ( 11.7% ),"4,117,283,184","503,034",1
11/18/2017,"1,260",20.4%,"7,107",37.1%,"1,394,406",45.2%,25.0%,"2,989,563,865",1419346781 ( 90.4% ),"347,934",164679 ( 89.9% ),"7,106,847,049","850,968",1
11/19/2017,"1,237",20.2%,"6,857",36.9%,"1,352,859",45.0%,21.5%,"2,479,858,800",-509705065 ( -17.0% ),"290,944",-56990 ( -16.4% ),"9,586,705,849","1,141,912",1
11/20/2017,"1,168",21.2%,"6,119",36.4%,"1,219,953",44.3%,6.0%,"563,461,300",-1916397500 ( -77.3% ),"72,978",-217966 ( -74.9% ),"10,150,167,149","1,214,890",1
11/21/2017,"1,174",20.7%,"5,901",35.6%,"1,183,194",43.7%,5.1%,"471,091,800",-92369500 ( -16.4% ),"60,926",-12052 ( -16.5% ),"10,621,258,949","1,275,816",1
11/22/2017,730,14.1%,"3,354",19.8%,"588,050",21.2%,7.6%,"334,680,800",-136411000 ( -29.0% ),"44,903",-16023 ( -26.3% ),"10,955,939,749","1,320,719",2
11/23/2017,718,12.6%,"3,099",18.0%,"540,029",19.2%,7.8%,"311,497,400",-23183400 ( -6.9% ),"42,378",-2525 ( -5.6% ),"11,267,437,149","1,363,097",2
11/24/2017,730,12.8%,"3,169",18.2%,"548,207",19.3%,9.1%,"410,121,873",98624473 ( 31.7% ),"49,980",7602 ( 17.9% ),"11,677,559,022","1,413,077",2
11/25/2017,747,12.1%,"3,255",17.3%,"550,096",18.2%,19.8%,"903,206,473",493084600 ( 120.2% ),"109,039",59059 ( 118.2% ),"12,580,765,495","1,522,116",2
11/26/2017,727,12.0%,"3,146",17.2%,"532,760",18.0%,18.6%,"816,339,700",-86866773 ( -9.6% ),"99,253",-9786 ( -9.0% ),"13,397,105,195","1,621,369",2
11/27/2017,656,12.1%,"2,792",16.9%,"478,020",17.6%,4.9%,"174,189,100",-642150600 ( -78.7% ),"23,350",-75903 ( -76.5% ),"13,571,294,295","1,644,719",2
11/28/2017,676,12.0%,"2,755",16.7%,"471,084",17.4%,4.8%,"167,066,900",-7122200 ( -4.1% ),"22,695",-655 ( -2.8% ),"13,738,361,195","1,667,414",2
11/29/2017,464,8.6%,"1,195",6.8%,"167,304",5.8%,12.3%,"125,437,500",-41629400 ( -24.9% ),"20,511",-2184 ( -9.6% ),"13,863,798,695","1,687,925",5
11/30/2017,423,7.7%,914,5.2%,"130,271",4.6%,8.3%,"76,947,500",-48490000 ( -38.7% ),"10,825",-9686 ( -47.2% ),"13,940,746,195","1,698,750",5
