'킬러의 보디가드' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
8/26/2017,40,0.6%,68,0.4%,"12,057",0.4%,70.3%,"73,120,800",71920800 ( 5993.4% ),"8,471",8351 ( 6959.2% ),"77,943,800","8,833",13
8/27/2017,33,0.5%,59,0.3%,"10,107",0.3%,71.7%,"64,988,500",-8132300 ( -11.1% ),"7,243",-1228 ( -14.5% ),"142,932,300","16,076",13
8/30/2017,380,6.6%,"1,739",10.0%,"344,848",12.2%,35.8%,"749,584,000",749584000 ( 100.0% ),"123,601",123601 ( 100.0% ),"892,516,300","139,677",1
8/31/2017,358,6.3%,"1,756",10.2%,"349,529",12.5%,23.2%,"642,292,600",-107291400 ( -14.3% ),"81,197",-42404 ( -34.3% ),"1,534,808,900","220,874",1
9/1/2017,401,7.0%,"1,974",11.2%,"392,864",13.7%,29.8%,"1,020,255,300",377962700 ( 58.8% ),"116,881",35684 ( 43.9% ),"2,555,064,200","337,755",1
9/2/2017,462,7.2%,"2,364",12.7%,"466,562",15.5%,48.7%,"1,975,734,600",955479300 ( 93.7% ),"227,264",110383 ( 94.4% ),"4,530,798,800","565,019",1
9/3/2017,482,7.6%,"2,375",13.1%,"465,331",15.8%,45.5%,"1,848,465,100",-127269500 ( -6.4% ),"211,918",-15346 ( -6.8% ),"6,379,263,900","776,937",1
9/4/2017,415,7.6%,"2,142",13.0%,"429,329",16.0%,16.7%,"569,316,600",-1279148500 ( -69.2% ),"71,847",-140071 ( -66.1% ),"6,948,580,500","848,784",1
9/5/2017,424,7.6%,"2,146",13.1%,"428,152",16.0%,14.4%,"488,075,300",-81241300 ( -14.3% ),"61,543",-10304 ( -14.3% ),"7,436,655,800","910,327",1
9/6/2017,320,6.0%,"1,552",9.3%,"281,048",10.3%,17.0%,"375,775,800",-112299500 ( -23.0% ),"47,739",-13804 ( -22.4% ),"7,812,431,600","958,066",3
9/7/2017,333,5.6%,"1,522",9.0%,"274,815",10.0%,14.6%,"319,312,600",-56463200 ( -15.0% ),"40,073",-7666 ( -16.1% ),"8,131,744,200","998,139",3
