'어쌔신 크리드' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-01-11,540,9.7%,"2,383",14.0%,"394,873",14.1%,15.4%,"464,968,400",464968400 ( 100.0% ),"60,851",60851 ( 100.0% ),"475,049,400","61,865",2
2017-01-12,557,9.8%,"2,228",13.1%,"358,555",12.7%,11.6%,"315,983,100",-148985300 ( -32.0% ),"41,422",-19429 ( -31.9% ),"791,032,500","103,287",5
2017-01-13,560,9.5%,"2,207",12.6%,"350,454",12.1%,12.3%,"369,295,751",53312651 ( 16.9% ),"43,164",1742 ( 4.2% ),"1,160,328,251","146,451",5
2017-01-14,566,9.2%,"2,086",11.5%,"321,432",10.7%,27.0%,"739,527,170",370231419 ( 100.3% ),"86,776",43612 ( 101.0% ),"1,899,855,421","233,227",5
2017-01-15,551,9.0%,"1,945",11.0%,"297,896",10.2%,24.2%,"611,068,500",-128458670 ( -17.4% ),"72,083",-14693 ( -16.9% ),"2,510,923,921","305,310",5
2017-01-16,546,9.7%,"1,886",11.3%,"287,527",10.4%,7.0%,"154,133,400",-456935100 ( -74.8% ),"20,210",-51873 ( -72.0% ),"2,665,057,321","325,520",5
2017-01-17,523,8.9%,"1,801",10.8%,"271,898",9.8%,6.3%,"129,974,600",-24158800 ( -15.7% ),"16,999",-3211 ( -15.9% ),"2,795,031,921","342,519",6
2017-01-18,185,3.4%,244,1.4%,"30,709",1.1%,5.8%,"13,204,100",-116770500 ( -89.8% ),"1,792",-15207 ( -89.5% ),"2,808,236,021","344,311",12
2017-01-19,172,3.0%,219,1.3%,"27,782",1.0%,5.5%,"11,368,500",-1835600 ( -13.9% ),"1,530",-262 ( -14.6% ),"2,819,604,521","345,841",13
2017-01-20,179,3.2%,229,1.3%,"29,367",1.0%,5.8%,"14,097,500",2729000 ( 24.0% ),"1,709",179 ( 11.7% ),"2,833,702,021","347,550",11
2017-01-21,168,2.8%,202,1.1%,"26,209",0.9%,9.1%,"19,426,800",5329300 ( 37.8% ),"2,398",689 ( 40.3% ),"2,853,128,821","349,948",11
2017-01-22,155,2.7%,179,1.0%,"22,967",0.8%,9.5%,"18,037,900",-1388900 ( -7.1% ),"2,191",-207 ( -8.6% ),"2,871,166,721","352,139",11
2017-01-23,148,2.8%,186,1.1%,"24,890",0.9%,4.0%,"7,372,900",-10665000 ( -59.1% ),991,-1200 ( -54.8% ),"2,878,539,621","353,130",12
2017-01-24,153,2.8%,191,1.1%,"25,660",0.9%,3.9%,"7,306,800",-66100 ( -0.9% ),"1,002",11 ( 1.1% ),"2,885,846,421","354,132",13
2017-01-25,27,0.4%,27,0.2%,"3,925",0.1%,3.3%,"934,500",-6372300 ( -87.2% ),129,-873 ( -87.1% ),"2,886,780,921","354,261",42
2017-01-26,35,0.6%,35,0.2%,"4,918",0.2%,4.0%,"1,372,500",438000 ( 46.9% ),195,66 ( 51.2% ),"2,888,153,421","354,456",26
2017-01-27,27,0.4%,27,0.1%,"3,697",0.1%,5.0%,"1,525,500",153000 ( 11.1% ),186,-9 ( -4.6% ),"2,889,678,921","354,642",28
2017-01-28,26,0.4%,26,0.1%,"3,662",0.1%,4.6%,"1,379,000",-146500 ( -9.6% ),168,-18 ( -9.7% ),"2,891,057,921","354,810",26
2017-01-29,22,0.3%,22,0.1%,"3,022",0.1%,5.1%,"1,256,000",-123000 ( -8.9% ),153,-15 ( -8.9% ),"2,892,313,921","354,963",32
2017-01-30,25,0.4%,25,0.1%,"3,454",0.1%,5.4%,"1,492,000",236000 ( 18.8% ),187,34 ( 22.2% ),"2,893,805,921","355,150",32
2017-01-31,29,0.5%,29,0.2%,"4,121",0.1%,3.0%,"881,000",-611000 ( -41.0% ),122,-65 ( -34.8% ),"2,894,686,921","355,272",38
2017-02-01,2,0.0%,3,0.0%,315,0.0%,9.8%,"218,000",-663000 ( -75.3% ),31,-91 ( -74.6% ),"2,894,904,921","355,303",58
