'23 아이덴티티' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2/22/2017,503,8.2%,"1,925",11.0%,"323,402",11.2%,42.4%,"851,225,800",851225800 ( 100.0% ),"137,005",137005 ( 100.0% ),"853,417,800","137,279",1
2/23/2017,651,10.6%,"2,347",13.3%,"399,637",13.9%,32.7%,"996,096,500",144870700 ( 17.0% ),"130,784",-6221 ( -4.5% ),"1,849,514,300","268,063",1
2/24/2017,831,12.9%,"3,019",16.8%,"532,151",18.2%,28.2%,"1,278,700,300",282603800 ( 28.4% ),"150,119",19335 ( 14.8% ),"3,128,214,600","418,182",1
2/25/2017,952,13.8%,"3,949",21.2%,"746,656",24.5%,38.0%,"2,437,020,000",1158319700 ( 90.6% ),"283,621",133502 ( 88.9% ),"5,565,234,600","701,803",1
2/26/2017,934,13.7%,"3,958",21.7%,"757,553",25.4%,35.0%,"2,282,551,100",-154468900 ( -6.3% ),"265,101",-18520 ( -6.5% ),"7,847,785,700","966,904",1
2/27/2017,799,12.9%,"3,644",21.1%,"722,571",25.4%,15.7%,"864,657,500",-1417893600 ( -62.1% ),"113,233",-151868 ( -57.3% ),"8,712,443,200","1,080,137",1
2/28/2017,841,11.8%,"3,378",19.3%,"638,328",22.3%,18.3%,"882,255,300",17597800 ( 2.0% ),"116,555",3322 ( 2.9% ),"9,594,698,500","1,196,692",1
3/1/2017,540,8.8%,"2,169",12.6%,"355,922",12.6%,33.5%,"1,018,527,000",136271700 ( 15.4% ),"119,402",2847 ( 2.4% ),"10,613,225,500","1,316,094",3
3/2/2017,505,8.9%,"1,981",12.5%,"327,662",12.5%,9.8%,"247,391,100",-771135900 ( -75.7% ),"32,123",-87279 ( -73.1% ),"10,860,616,600","1,348,217",3
3/3/2017,499,8.6%,"2,029",12.4%,"328,597",12.2%,11.0%,"312,842,052",65450952 ( 26.5% ),"36,224",4101 ( 12.8% ),"11,173,458,652","1,384,441",3
3/4/2017,539,8.5%,"1,970",11.3%,"305,514",10.7%,25.4%,"669,656,283",356814231 ( 114.1% ),"77,733",41509 ( 114.6% ),"11,843,114,935","1,462,174",3
3/5/2017,525,8.4%,"1,885",11.1%,"291,914",10.5%,22.3%,"561,934,400",-107721883 ( -16.1% ),"65,168",-12565 ( -16.2% ),"12,405,049,335","1,527,342",3
3/6/2017,469,8.7%,"1,745",11.6%,"279,605",11.2%,6.7%,"145,155,200",-416779200 ( -74.2% ),"18,765",-46403 ( -71.2% ),"12,550,204,535","1,546,107",3
3/7/2017,470,8.4%,"1,717",11.4%,"274,421",11.0%,6.0%,"127,320,400",-17834800 ( -12.3% ),"16,504",-2261 ( -12.0% ),"12,677,524,935","1,562,611",3
3/8/2017,396,7.5%,"1,132",7.3%,"162,847",6.3%,7.0%,"87,311,100",-40009300 ( -31.4% ),"11,348",-5156 ( -31.2% ),"12,764,836,035","1,573,959",5
3/9/2017,357,6.5%,955,6.2%,"137,822",5.4%,6.9%,"72,233,000",-15078100 ( -17.3% ),"9,442",-1906 ( -16.8% ),"12,837,069,035","1,583,401",5
