'임금님의 사건수첩' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
4/26/2017,934,19.4%,"4,670",29.5%,"783,110",30.1%,13.9%,"640,011,200",618360200 ( 2856.0% ),"108,463",105520 ( 3585.5% ),"772,988,300","124,843",2
4/27/2017,966,20.8%,"4,822",30.1%,"804,214",30.7%,9.9%,"562,468,200",-77543000 ( -12.1% ),"79,824",-28639 ( -26.4% ),"1,335,456,500","204,667",2
4/28/2017,979,19.3%,"4,919",29.6%,"816,643",30.0%,12.2%,"802,370,765",239902565 ( 42.7% ),"99,361",19537 ( 24.5% ),"2,137,827,265","304,028",2
4/29/2017,"1,054",19.4%,"5,254",29.4%,"901,911",31.1%,22.5%,"1,674,007,453",871636688 ( 108.6% ),"202,606",103245 ( 103.9% ),"3,811,834,718","506,634",2
4/30/2017,"1,029",19.0%,"5,155",29.1%,"896,693",31.2%,24.1%,"1,790,546,200",116538747 ( 7.0% ),"215,703",13097 ( 6.5% ),"5,602,380,918","722,337",2
5/1/2017,989,18.8%,"4,983",28.9%,"866,599",30.9%,18.2%,"1,162,464,800",-628081400 ( -35.1% ),"158,053",-57650 ( -26.7% ),"6,764,845,718","880,390",1
5/2/2017,"1,038",16.6%,"4,284",25.1%,"714,733",25.7%,14.3%,"746,988,900",-415475900 ( -35.7% ),"102,367",-55686 ( -35.2% ),"7,511,834,618","982,757",2
5/3/2017,640,10.3%,"2,177",11.8%,"330,469",11.1%,39.0%,"1,050,917,600",303928700 ( 40.7% ),"128,812",26445 ( 25.8% ),"8,562,752,218","1,111,569",4
5/4/2017,646,10.2%,"2,163",11.8%,"325,768",11.0%,26.6%,"630,301,700",-420615900 ( -40.0% ),"86,504",-42308 ( -32.8% ),"9,193,053,918","1,198,073",4
5/5/2017,663,9.7%,"1,996",10.6%,"291,902",9.6%,44.7%,"1,055,355,158",425053458 ( 67.4% ),"130,495",43991 ( 50.9% ),"10,248,409,076","1,328,568",4
5/6/2017,668,10.0%,"2,003",10.7%,"292,156",9.6%,32.8%,"787,254,247",-268100911 ( -25.4% ),"95,953",-34542 ( -26.5% ),"11,035,663,323","1,424,521",4
5/7/2017,678,10.3%,"1,961",10.7%,"283,807",9.5%,24.1%,"564,665,000",-222589247 ( -28.3% ),"68,526",-27427 ( -28.6% ),"11,600,328,323","1,493,047",4
5/8/2017,601,10.8%,"2,091",12.1%,"300,400",10.6%,10.8%,"237,734,900",-326930100 ( -57.9% ),"32,564",-35962 ( -52.5% ),"11,838,063,223","1,525,611",4
5/9/2017,433,7.1%,888,4.9%,"116,126",3.9%,30.2%,"275,732,000",37997100 ( 16.0% ),"35,102",2538 ( 7.8% ),"12,113,795,223","1,560,713",7
5/10/2017,410,8.1%,879,5.3%,"116,128",4.3%,7.5%,"62,439,200",-213292800 ( -77.4% ),"8,766",-26336 ( -75.0% ),"12,176,234,423","1,569,479",7
5/11/2017,418,7.8%,832,5.0%,"107,713",3.9%,7.6%,"55,791,700",-6647500 ( -10.6% ),"8,178",-588 ( -6.7% ),"12,232,026,123","1,577,657",7
5/12/2017,429,7.8%,837,4.9%,"108,229",3.9%,9.5%,"80,160,500",24368800 ( 43.7% ),"10,334",2156 ( 26.4% ),"12,312,186,623","1,587,991",7
5/13/2017,335,5.5%,599,3.3%,"73,575",2.5%,17.6%,"104,407,900",24247400 ( 30.2% ),"12,979",2645 ( 25.6% ),"12,416,594,523","1,600,970",8
5/14/2017,341,5.6%,582,3.3%,"72,796",2.5%,16.1%,"94,455,000",-9952900 ( -9.5% ),"11,748",-1231 ( -9.5% ),"12,511,049,523","1,612,718",8
5/15/2017,368,7.2%,697,4.3%,"89,106",3.3%,7.4%,"45,965,800",-48489200 ( -51.3% ),"6,602",-5146 ( -43.8% ),"12,557,015,323","1,619,320",7
5/16/2017,371,7.2%,677,4.2%,"86,541",3.3%,6.6%,"37,198,500",-8767300 ( -19.1% ),"5,704",-898 ( -13.6% ),"12,594,213,823","1,625,024",7
5/17/2017,58,1.2%,81,0.5%,"9,611",0.4%,19.1%,"12,419,000",-24779500 ( -66.6% ),"1,833",-3871 ( -67.9% ),"12,606,632,823","1,626,857",10
5/18/2017,64,1.2%,81,0.5%,"9,327",0.3%,24.5%,"11,101,200",-1317800 ( -10.6% ),"2,285",452 ( 24.7% ),"12,617,734,023","1,629,142",12
5/19/2017,30,0.5%,40,0.2%,"4,436",0.2%,11.7%,"3,427,500",-7673700 ( -69.1% ),519,-1766 ( -77.3% ),"12,621,161,523","1,629,661",15
5/20/2017,31,0.5%,40,0.2%,"4,813",0.2%,24.2%,"8,016,200",4588700 ( 133.9% ),"1,165",646 ( 124.5% ),"12,629,177,723","1,630,826",16
5/21/2017,19,0.3%,27,0.2%,"2,860",0.1%,13.8%,"3,056,500",-4959700 ( -61.9% ),394,-771 ( -66.2% ),"12,632,234,223","1,631,220",23
5/22/2017,20,0.4%,29,0.2%,"3,377",0.1%,5.0%,"1,052,500",-2004000 ( -65.6% ),170,-224 ( -56.9% ),"12,633,286,723","1,631,390",30
5/23/2017,22,0.4%,33,0.2%,"3,547",0.1%,7.2%,"1,430,000",377500 ( 35.9% ),256,86 ( 50.6% ),"12,634,716,723","1,631,646",21
5/24/2017,27,0.6%,27,0.2%,"4,197",0.2%,17.1%,"4,276,000",2846000 ( 199.0% ),718,462 ( 180.5% ),"12,638,992,723","1,632,364",13
5/25/2017,7,0.1%,7,0.0%,954,0.0%,23.2%,"990,000",-3286000 ( -76.8% ),221,-497 ( -69.2% ),"12,639,982,723","1,632,585",24
5/26/2017,5,0.1%,5,0.0%,724,0.0%,13.8%,"500,000",-490000 ( -49.5% ),100,-121 ( -54.8% ),"12,640,482,723","1,632,685",40
5/27/2017,5,0.1%,5,0.0%,745,0.0%,13.4%,"500,000",0 ( 0.0% ),100,0 ( 0.0% ),"12,640,982,723","1,632,785",53
5/28/2017,5,0.1%,5,0.0%,745,0.0%,13.4%,"500,000",0 ( 0.0% ),100,0 ( 0.0% ),"12,641,482,723","1,632,885",53
5/29/2017,7,0.1%,9,0.1%,"1,506",0.1%,14.7%,"1,023,000",523000 ( 104.6% ),222,122 ( 122.0% ),"12,642,505,723","1,633,107",24
5/30/2017,8,0.2%,8,0.0%,953,0.0%,29.7%,"1,415,000",392000 ( 38.3% ),283,61 ( 27.5% ),"12,643,920,723","1,633,390",23
5/31/2017,7,0.1%,7,0.0%,911,0.0%,17.8%,"783,000",-632000 ( -44.7% ),162,-121 ( -42.8% ),"12,644,703,723","1,633,552",33
6/1/2017,6,0.1%,6,0.0%,877,0.0%,21.2%,"930,000",147000 ( 18.8% ),186,24 ( 14.8% ),"12,645,633,723","1,633,738",33
6/2/2017,5,0.1%,5,0.0%,805,0.0%,12.4%,"500,000",-430000 ( -46.2% ),100,-86 ( -46.2% ),"12,646,133,723","1,633,838",41
6/3/2017,5,0.1%,5,0.0%,795,0.0%,12.6%,"500,000",0 ( 0.0% ),100,0 ( 0.0% ),"12,646,633,723","1,633,938",49
6/4/2017,5,0.1%,5,0.0%,842,0.0%,11.9%,"500,000",0 ( 0.0% ),100,0 ( 0.0% ),"12,647,133,723","1,634,038",39
6/5/2017,5,0.1%,5,0.0%,794,0.0%,12.6%,"500,000",0 ( 0.0% ),100,0 ( 0.0% ),"12,647,633,723","1,634,138",39
6/6/2017,5,0.1%,5,0.0%,919,0.0%,10.9%,"500,000",0 ( 0.0% ),100,0 ( 0.0% ),"12,648,133,723","1,634,238",40
6/7/2017,1,0.0%,1,0.0%,166,0.0%,99.4%,"660,000",160000 ( 32.0% ),165,65 ( 65.0% ),"12,648,793,723","1,634,403",28
6/9/2017,1,0.0%,1,0.0%,231,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),"12,648,793,723","1,634,403",107
9/5/2017,5,0.1%,5,0.0%,749,0.0%,80.1%,"2,400,000",2400000 ( 100.0% ),600,600 ( 100.0% ),"12,651,193,723","1,635,003",22
