'기억의 밤' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
11/29/2017,704,13.0%,"3,266",18.5%,"572,230",19.9%,17.0%,"561,258,200",545728900 ( 3514.2% ),"97,245",95012 ( 4254.9% ),"604,211,500","104,381",2
11/30/2017,714,13.0%,"3,291",18.9%,"567,046",20.0%,12.2%,"502,241,400",-59016800 ( -10.5% ),"69,328",-27917 ( -28.7% ),"1,106,452,900","173,709",2
12/1/2017,728,13.3%,"3,369",18.8%,"577,031",19.8%,15.5%,"719,096,972",216855572 ( 43.2% ),"89,649",20321 ( 29.3% ),"1,825,549,872","263,358",2
12/2/2017,747,12.8%,"3,505",18.3%,"581,526",18.8%,27.1%,"1,301,664,153",582567181 ( 81.0% ),"157,883",68234 ( 76.1% ),"3,127,214,025","421,241",2
12/3/2017,751,12.9%,"3,452",18.5%,"574,006",19.0%,25.9%,"1,231,048,800",-70615353 ( -5.4% ),"148,507",-9376 ( -5.9% ),"4,358,262,825","569,748",2
12/4/2017,720,14.0%,"3,351",19.8%,"550,220",19.8%,10.5%,"425,316,800",-805732000 ( -65.5% ),"57,770",-90737 ( -61.1% ),"4,783,579,625","627,518",2
12/5/2017,749,14.1%,"3,315",19.7%,"545,535",19.7%,10.5%,"416,432,800",-8884000 ( -2.1% ),"57,348",-422 ( -0.7% ),"5,200,012,425","684,866",2
12/6/2017,759,14.4%,"3,442",20.5%,"564,011",20.5%,10.3%,"422,807,300",6374500 ( 1.5% ),"58,373",1025 ( 1.8% ),"5,622,819,725","743,239",2
12/7/2017,648,10.5%,"2,607",15.0%,"425,646",15.0%,12.1%,"371,615,500",-51191800 ( -12.1% ),"51,614",-6759 ( -11.6% ),"5,994,435,225","794,853",2
12/8/2017,653,10.1%,"2,700",15.1%,"445,700",15.3%,15.8%,"550,422,465",178806965 ( 48.1% ),"70,332",18718 ( 36.3% ),"6,544,857,690","865,185",2
12/9/2017,740,10.6%,"2,934",15.2%,"492,586",15.8%,25.0%,"1,019,596,570",469174105 ( 85.2% ),"123,009",52677 ( 74.9% ),"7,564,454,260","988,194",3
12/10/2017,739,10.8%,"2,855",15.3%,"480,540",15.8%,24.4%,"981,702,700",-37893870 ( -3.7% ),"117,407",-5602 ( -4.6% ),"8,546,156,960","1,105,601",3
12/11/2017,707,11.7%,"2,810",16.8%,"466,587",17.0%,10.3%,"342,252,200",-639450500 ( -65.1% ),"47,965",-69442 ( -59.1% ),"8,888,409,160","1,153,566",2
12/12/2017,691,11.2%,"2,785",16.9%,"457,366",16.9%,10.0%,"331,559,000",-10693200 ( -3.1% ),"45,538",-2427 ( -5.1% ),"9,219,968,160","1,199,104",2
12/13/2017,718,11.5%,"2,852",17.2%,"476,294",17.6%,10.6%,"362,509,500",30950500 ( 9.3% ),"50,388",4850 ( 10.7% ),"9,582,477,660","1,249,492",2
12/14/2017,469,7.7%,961,6.0%,"128,442",5.0%,15.0%,"137,022,700",-225486800 ( -62.2% ),"19,228",-31160 ( -61.8% ),"9,719,500,360","1,268,720",4
12/15/2017,478,7.8%,"1,015",6.2%,"135,114",5.2%,19.4%,"198,293,900",61271200 ( 44.7% ),"26,185",6957 ( 36.2% ),"9,917,794,260","1,294,905",3
12/16/2017,465,7.3%,946,5.4%,"121,963",4.4%,26.6%,"270,361,200",72067300 ( 36.3% ),"32,385",6200 ( 23.7% ),"10,188,155,460","1,327,290",5
12/17/2017,454,7.3%,880,5.2%,"114,261",4.2%,23.0%,"218,349,800",-52011400 ( -19.2% ),"26,269",-6116 ( -18.9% ),"10,406,505,260","1,353,559",5
12/18/2017,463,8.1%,"1,024",6.6%,"133,301",5.3%,9.4%,"91,731,600",-126618200 ( -58.0% ),"12,469",-13800 ( -52.5% ),"10,498,236,860","1,366,028",3
12/19/2017,474,8.0%,"1,046",6.7%,"136,610",5.5%,10.5%,"103,138,900",11407300 ( 12.4% ),"14,309",1840 ( 14.8% ),"10,601,375,760","1,380,337",3
12/20/2017,97,1.9%,138,0.8%,"16,316",0.6%,12.6%,"13,547,500",-89591400 ( -86.9% ),"2,062",-12247 ( -85.6% ),"10,614,923,260","1,382,399",7
12/21/2017,38,0.7%,53,0.3%,"5,953",0.2%,9.8%,"4,429,000",-9118500 ( -67.3% ),586,-1476 ( -71.6% ),"10,619,352,260","1,382,985",20
12/22/2017,36,0.6%,53,0.3%,"6,043",0.2%,12.3%,"5,582,000",1153000 ( 26.0% ),746,160 ( 27.3% ),"10,624,934,260","1,383,731",19
12/23/2017,18,0.3%,24,0.1%,"2,470",0.1%,27.1%,"5,745,900",163900 ( 2.9% ),670,-76 ( -10.2% ),"10,630,680,160","1,384,401",21
12/24/2017,17,0.3%,22,0.1%,"2,392",0.1%,33.2%,"6,719,500",973600 ( 16.9% ),794,124 ( 18.5% ),"10,637,399,660","1,385,195",19
12/25/2017,17,0.3%,20,0.1%,"2,070",0.1%,27.4%,"4,606,500",-2113000 ( -31.4% ),567,-227 ( -28.6% ),"10,642,006,160","1,385,762",23
12/26/2017,37,0.7%,43,0.3%,"5,110",0.2%,7.8%,"2,264,500",-2342000 ( -50.8% ),398,-169 ( -29.8% ),"10,644,270,660","1,386,160",22
12/27/2017,25,0.5%,26,0.2%,"3,461",0.1%,7.3%,"1,384,000",-880500 ( -38.9% ),251,-147 ( -36.9% ),"10,645,654,660","1,386,411",24
12/28/2017,5,0.1%,5,0.0%,774,0.0%,6.5%,"250,000",-1134000 ( -81.9% ),50,-201 ( -80.1% ),"10,645,904,660","1,386,461",62
12/29/2017,5,0.1%,5,0.0%,774,0.0%,6.5%,"250,000",0 ( 0.0% ),50,0 ( 0.0% ),"10,646,154,660","1,386,511",47
12/30/2017,5,0.1%,5,0.0%,822,0.0%,6.1%,"250,000",0 ( 0.0% ),50,0 ( 0.0% ),"10,646,404,660","1,386,561",48
12/31/2017,5,0.1%,5,0.0%,822,0.0%,6.1%,"250,000",0 ( 0.0% ),50,0 ( 0.0% ),"10,646,654,660","1,386,611",48
1/1/2018,5,0.1%,5,0.0%,760,0.0%,6.6%,"250,000",0 ( 0.0% ),50,0 ( 0.0% ),"10,646,904,660","1,386,661",41
1/2/2018,5,0.1%,5,0.0%,822,0.0%,6.1%,"250,000",0 ( 0.0% ),50,0 ( 0.0% ),"10,647,154,660","1,386,711",41
1/3/2018,5,0.1%,5,0.0%,639,0.0%,7.8%,"250,000",0 ( 0.0% ),50,0 ( 0.0% ),"10,647,404,660","1,386,761",46
