'브이아이피' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
8/23/2017,851,14.7%,"3,587",21.0%,"676,351",24.4%,25.7%,"1,323,933,200",1275324700 ( 2623.7% ),"174,011",169170 ( 3494.5% ),"1,394,566,700","181,491",1
8/24/2017,897,14.4%,"3,857",21.4%,"721,753",24.8%,22.2%,"1,208,458,900",-115474300 ( -8.7% ),"160,139",-13872 ( -8.0% ),"2,603,025,600","341,630",1
8/25/2017,958,15.2%,"4,095",22.3%,"765,473",25.9%,19.1%,"1,234,317,352",25858452 ( 2.1% ),"146,348",-13791 ( -8.6% ),"3,837,342,952","487,978",1
8/26/2017,996,14.7%,"4,451",23.2%,"848,758",27.5%,28.8%,"2,087,752,273",853434921 ( 69.1% ),"244,541",98193 ( 67.1% ),"5,925,095,225","732,519",1
8/27/2017,951,14.3%,"4,217",22.5%,"811,126",26.8%,25.6%,"1,781,808,200",-305944073 ( -14.7% ),"207,804",-36737 ( -15.0% ),"7,706,903,425","940,323",1
8/28/2017,890,15.1%,"3,966",22.8%,"756,211",26.8%,10.3%,"585,721,500",-1196086700 ( -67.1% ),"77,647",-130157 ( -62.6% ),"8,292,624,925","1,017,970",1
8/29/2017,896,15.0%,"3,942",22.7%,"751,952",26.8%,9.1%,"506,939,700",-78781800 ( -13.5% ),"68,261",-9386 ( -12.1% ),"8,799,564,625","1,086,231",1
8/30/2017,601,10.4%,"2,054",11.8%,"344,481",12.2%,18.3%,"368,763,400",-138176300 ( -27.3% ),"63,110",-5151 ( -7.5% ),"9,168,328,025","1,149,341",5
8/31/2017,576,10.2%,"1,972",11.5%,"318,842",11.4%,9.6%,"224,512,300",-144251100 ( -39.1% ),"30,612",-32498 ( -51.5% ),"9,392,840,325","1,179,953",5
9/1/2017,582,10.2%,"2,024",11.5%,"325,437",11.4%,10.3%,"278,548,382",54036082 ( 24.1% ),"33,664",3052 ( 10.0% ),"9,671,388,707","1,213,617",5
9/2/2017,581,9.1%,"1,943",10.4%,"309,463",10.3%,17.9%,"467,332,794",188784412 ( 67.8% ),"55,358",21694 ( 64.4% ),"10,138,721,501","1,268,975",5
9/3/2017,558,8.8%,"1,865",10.3%,"294,577",10.0%,15.8%,"393,193,500",-74139294 ( -15.9% ),"46,508",-8850 ( -16.0% ),"10,531,915,001","1,315,483",5
9/4/2017,545,10.0%,"1,789",10.9%,"272,328",10.1%,6.2%,"125,113,900",-268079600 ( -68.2% ),"16,969",-29539 ( -63.5% ),"10,657,028,901","1,332,452",5
9/5/2017,542,9.7%,"1,756",10.7%,"268,324",10.0%,5.4%,"106,031,700",-19082200 ( -15.3% ),"14,494",-2475 ( -14.6% ),"10,763,060,601","1,346,946",5
9/6/2017,289,5.4%,538,3.2%,"68,034",2.5%,5.7%,"27,368,800",-78662900 ( -74.2% ),"3,849",-10645 ( -73.4% ),"10,790,429,401","1,350,795",10
9/7/2017,251,4.2%,395,2.3%,"51,946",1.9%,4.9%,"18,549,200",-8819600 ( -32.2% ),"2,537",-1312 ( -34.1% ),"10,808,978,601","1,353,332",12
9/8/2017,235,3.9%,367,2.1%,"48,641",1.7%,4.7%,"19,022,467",473267 ( 2.6% ),"2,275",-262 ( -10.3% ),"10,828,001,068","1,355,607",14
9/9/2017,225,3.5%,326,1.8%,"42,690",1.4%,10.0%,"30,170,967",11148500 ( 58.6% ),"4,289",2014 ( 88.5% ),"10,858,172,035","1,359,896",12
9/10/2017,207,3.3%,296,1.6%,"38,539",1.3%,13.1%,"41,526,500",11355533 ( 37.6% ),"5,057",768 ( 17.9% ),"10,899,698,535","1,364,953",12
9/11/2017,223,4.0%,330,2.0%,"43,343",1.6%,3.9%,"12,149,000",-29377500 ( -70.7% ),"1,689",-3368 ( -66.6% ),"10,911,847,535","1,366,642",12
9/12/2017,212,3.7%,304,1.9%,"41,358",1.6%,4.7%,"11,942,800",-206200 ( -1.7% ),"1,934",245 ( 14.5% ),"10,923,790,335","1,368,576",12
9/13/2017,168,2.8%,243,1.5%,"32,000",1.2%,3.5%,"7,722,500",-4220300 ( -35.3% ),"1,112",-822 ( -42.5% ),"10,931,512,835","1,369,688",14
9/14/2017,49,0.9%,51,0.3%,"6,710",0.2%,12.0%,"4,134,000",-3588500 ( -46.5% ),807,-305 ( -27.4% ),"10,935,646,835","1,370,495",20
9/15/2017,34,0.6%,34,0.2%,"3,970",0.1%,4.7%,"1,454,000",-2680000 ( -64.8% ),185,-622 ( -77.1% ),"10,937,100,835","1,370,680",35
9/16/2017,33,0.5%,34,0.2%,"4,097",0.1%,7.4%,"2,148,700",694700 ( 47.8% ),303,118 ( 63.8% ),"10,939,249,535","1,370,983",37
9/17/2017,26,0.4%,27,0.1%,"3,048",0.1%,4.5%,"1,138,800",-1009900 ( -47.0% ),138,-165 ( -54.5% ),"10,940,388,335","1,371,121",46
9/18/2017,43,0.8%,47,0.3%,"6,870",0.3%,24.1%,"12,705,000",11566200 ( 1015.6% ),"1,656",1518 ( 1100.0% ),"10,953,093,335","1,372,777",13
9/19/2017,32,0.6%,32,0.2%,"3,786",0.1%,5.3%,"1,458,000",-11247000 ( -88.5% ),199,-1457 ( -88.0% ),"10,954,551,335","1,372,976",43
9/20/2017,27,0.5%,29,0.2%,"3,725",0.1%,5.9%,"1,496,500",38500 ( 2.6% ),221,22 ( 11.1% ),"10,956,047,835","1,373,197",41
9/21/2017,4,0.1%,4,0.0%,650,0.0%,10.5%,"310,000",-1186500 ( -79.3% ),68,-153 ( -69.2% ),"10,956,357,835","1,373,265",69
9/22/2017,2,0.0%,2,0.0%,259,0.0%,0.8%,"11,000",-299000 ( -96.5% ),2,-66 ( -97.1% ),"10,956,368,835","1,373,267",155
9/23/2017,2,0.0%,2,0.0%,259,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,379,835","1,373,269",184
9/24/2017,2,0.0%,2,0.0%,259,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,390,835","1,373,271",168
9/25/2017,2,0.0%,2,0.0%,259,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,401,835","1,373,273",123
9/26/2017,1,0.0%,1,0.0%,150,0.0%,0.7%,"6,000",-5000 ( -45.5% ),1,-1 ( -50.0% ),"10,956,407,835","1,373,274",152
9/27/2017,2,0.0%,2,0.0%,245,0.0%,0.8%,"11,000",5000 ( 83.3% ),2,1 ( 100.0% ),"10,956,418,835","1,373,276",124
9/28/2017,2,0.0%,2,0.0%,245,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,429,835","1,373,278",137
9/29/2017,2,0.0%,2,0.0%,245,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,440,835","1,373,280",112
9/30/2017,2,0.0%,2,0.0%,245,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,451,835","1,373,282",112
10/1/2017,2,0.0%,2,0.0%,245,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,462,835","1,373,284",93
10/2/2017,2,0.0%,2,0.0%,245,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,473,835","1,373,286",79
10/3/2017,2,0.0%,2,0.0%,245,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,484,835","1,373,288",82
10/4/2017,2,0.0%,2,0.0%,245,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,495,835","1,373,290",81
10/5/2017,2,0.0%,2,0.0%,245,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,506,835","1,373,292",77
10/6/2017,2,0.0%,2,0.0%,245,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,517,835","1,373,294",86
10/7/2017,2,0.0%,2,0.0%,245,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,528,835","1,373,296",81
10/8/2017,2,0.0%,2,0.0%,245,0.0%,0.8%,"11,000",0 ( 0.0% ),2,0 ( 0.0% ),"10,956,539,835","1,373,298",81
10/9/2017,3,0.0%,3,0.0%,397,0.0%,4.5%,"82,000",71000 ( 645.5% ),18,16 ( 800.0% ),"10,956,621,835","1,373,316",63
