'특별시민' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
4/26/2017,"1,154",23.9%,"5,445",34.4%,"1,037,352",39.9%,17.9%,"1,114,329,400",1106201400 ( 13609.8% ),"186,007",184931 ( 17186.9% ),"1,187,874,000","194,638",1
4/27/2017,"1,132",24.4%,"5,565",34.8%,"1,055,865",40.3%,10.5%,"817,411,300",-296918100 ( -26.6% ),"110,872",-75135 ( -40.4% ),"2,005,285,300","305,510",1
4/28/2017,"1,150",22.7%,"5,597",33.6%,"1,067,615",39.3%,12.6%,"1,099,516,418",282105118 ( 34.5% ),"134,485",23613 ( 21.3% ),"3,104,801,718","439,995",1
4/29/2017,"1,148",21.2%,"5,675",31.8%,"1,083,252",37.3%,22.2%,"2,011,128,527",911612109 ( 82.9% ),"240,988",106503 ( 79.2% ),"5,115,930,245","680,983",1
4/30/2017,"1,113",20.6%,"5,458",30.8%,"1,036,441",36.0%,21.5%,"1,874,862,400",-136266127 ( -6.8% ),"223,261",-17727 ( -7.4% ),"6,990,792,645","904,244",1
5/1/2017,"1,087",20.7%,"5,255",30.5%,"990,925",35.3%,15.1%,"1,100,381,300",-774481100 ( -41.3% ),"149,835",-73426 ( -32.9% ),"8,091,173,945","1,054,079",2
5/2/2017,"1,134",18.1%,"4,327",25.4%,"781,058",28.1%,10.5%,"599,428,500",-500952800 ( -45.5% ),"82,119",-67716 ( -45.2% ),"8,690,602,445","1,136,198",3
5/3/2017,597,9.6%,"1,849",10.1%,"269,652",9.1%,26.8%,"597,927,800",-1500700 ( -0.3% ),"72,290",-9829 ( -12.0% ),"9,288,530,245","1,208,488",5
5/4/2017,549,8.7%,"1,565",8.6%,"225,766",7.6%,15.8%,"263,029,500",-334898300 ( -56.0% ),"35,640",-36650 ( -50.7% ),"9,551,559,745","1,244,128",6
5/5/2017,510,7.5%,"1,140",6.0%,"158,309",5.2%,28.1%,"367,265,500",104236000 ( 39.6% ),"44,484",8844 ( 24.8% ),"9,918,825,245","1,288,612",7
5/6/2017,479,7.2%,"1,019",5.4%,"135,664",4.5%,20.3%,"226,347,500",-140918000 ( -38.4% ),"27,522",-16962 ( -38.1% ),"10,145,172,745","1,316,134",6
5/7/2017,476,7.2%,947,5.2%,"124,680",4.2%,14.4%,"147,873,200",-78474300 ( -34.7% ),"17,950",-9572 ( -34.8% ),"10,293,045,945","1,334,084",6
5/8/2017,478,8.6%,"1,046",6.1%,"135,273",4.8%,8.6%,"84,389,000",-63484200 ( -42.9% ),"11,613",-6337 ( -35.3% ),"10,377,434,945","1,345,697",6
5/9/2017,165,2.7%,229,1.3%,"28,837",1.0%,14.8%,"32,560,900",-51828100 ( -61.4% ),"4,256",-7357 ( -63.4% ),"10,409,995,845","1,349,953",12
5/10/2017,142,2.8%,209,1.3%,"24,114",0.9%,7.2%,"12,156,400",-20404500 ( -62.7% ),"1,741",-2515 ( -59.1% ),"10,422,152,245","1,351,694",10
5/11/2017,124,2.3%,167,1.0%,"19,162",0.7%,7.4%,"9,819,000",-2337400 ( -19.2% ),"1,418",-323 ( -18.6% ),"10,431,971,245","1,353,112",12
5/12/2017,137,2.5%,190,1.1%,"23,026",0.8%,6.9%,"11,893,900",2074900 ( 21.1% ),"1,591",173 ( 12.2% ),"10,443,865,145","1,354,703",13
5/13/2017,93,1.5%,114,0.6%,"12,914",0.4%,12.7%,"11,659,600",-234300 ( -2.0% ),"1,636",45 ( 2.8% ),"10,455,524,745","1,356,339",15
5/14/2017,87,1.4%,108,0.6%,"12,554",0.4%,8.4%,"8,143,500",-3516100 ( -30.2% ),"1,049",-587 ( -35.9% ),"10,463,668,245","1,357,388",19
