'에이리언: 커버넌트' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
5/9/2017,841,13.7%,"3,592",19.7%,"666,012",22.4%,41.9%,"2,310,310,850",2304330850 ( 38534.0% ),"279,185",278587 ( 46586.5% ),"2,329,985,850","281,028",1
5/10/2017,769,15.1%,"3,529",21.4%,"700,935",25.8%,11.6%,"618,071,400",-1692239450 ( -73.2% ),"81,345",-197840 ( -70.9% ),"2,948,057,250","362,373",1
5/11/2017,790,14.7%,"3,541",21.3%,"705,186",25.8%,10.3%,"555,823,000",-62248400 ( -10.1% ),"72,975",-8370 ( -10.3% ),"3,503,880,250","435,348",1
5/12/2017,830,15.1%,"3,701",21.7%,"731,463",26.2%,14.8%,"916,071,355",360248355 ( 64.8% ),"107,955",34980 ( 47.9% ),"4,419,951,605","543,303",1
5/13/2017,822,13.5%,"3,634",20.0%,"718,865",24.2%,31.6%,"1,943,969,759",1027898404 ( 112.2% ),"226,810",118855 ( 110.1% ),"6,363,921,364","770,113",1
5/14/2017,836,13.7%,"3,544",20.0%,"701,582",24.2%,27.1%,"1,616,139,800",-327829959 ( -16.9% ),"189,844",-36966 ( -16.3% ),"7,980,061,164","959,957",1
5/15/2017,776,15.1%,"3,476",21.4%,"703,066",26.3%,8.4%,"443,849,600",-1172290200 ( -72.5% ),"58,773",-131071 ( -69.0% ),"8,423,910,764","1,018,730",2
5/16/2017,762,14.8%,"3,395",21.3%,"689,119",26.2%,6.5%,"338,088,500",-105761100 ( -23.8% ),"44,467",-14306 ( -24.3% ),"8,761,999,264","1,063,197",2
5/17/2017,503,10.0%,"1,867",11.2%,"312,591",11.4%,8.3%,"195,132,900",-142955600 ( -42.3% ),"25,972",-18495 ( -41.6% ),"8,957,132,164","1,089,169",5
5/18/2017,516,9.5%,"1,745",10.6%,"292,620",10.7%,7.5%,"166,551,400",-28581500 ( -14.6% ),"22,037",-3935 ( -15.2% ),"9,123,683,564","1,111,206",5
5/19/2017,525,9.3%,"1,726",10.1%,"284,554",10.1%,10.5%,"252,096,500",85545100 ( 51.4% ),"29,962",7925 ( 36.0% ),"9,375,780,064","1,141,168",4
5/20/2017,537,8.7%,"1,505",8.2%,"226,964",7.6%,25.0%,"485,211,300",233114800 ( 92.5% ),"56,816",26854 ( 89.6% ),"9,860,991,364","1,197,984",5
5/21/2017,538,8.8%,"1,450",8.1%,"219,092",7.5%,21.4%,"401,558,500",-83652800 ( -17.2% ),"46,943",-9873 ( -17.4% ),"10,262,549,864","1,244,927",7
5/22/2017,487,9.4%,"1,484",9.0%,"232,761",8.6%,6.3%,"110,147,300",-291411200 ( -72.6% ),"14,579",-32364 ( -68.9% ),"10,372,697,164","1,259,506",5
5/23/2017,489,9.2%,"1,428",8.8%,"223,221",8.3%,5.7%,"95,490,500",-14656800 ( -13.3% ),"12,672",-1907 ( -13.1% ),"10,468,187,664","1,272,178",5
5/24/2017,272,5.6%,566,3.5%,"76,424",2.9%,7.4%,"42,464,800",-53025700 ( -55.5% ),"5,667",-7005 ( -55.3% ),"10,510,652,464","1,277,845",9
5/25/2017,154,3.0%,240,1.4%,"30,864",1.1%,9.1%,"20,563,900",-21900900 ( -51.6% ),"2,795",-2872 ( -50.7% ),"10,531,216,364","1,280,640",13
5/26/2017,156,3.0%,242,1.4%,"31,353",1.1%,11.7%,"30,508,500",9944600 ( 48.4% ),"3,669",874 ( 31.3% ),"10,561,724,864","1,284,309",10
