'장산범' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
8/17/2017,621,11.1%,"2,755",14.9%,"399,858",13.4%,30.5%,"918,972,900",911778900 ( 12674.2% ),"121,834",120892 ( 12833.5% ),"1,002,004,900","132,141",4
8/18/2017,655,11.4%,"2,771",14.8%,"401,436",13.3%,31.3%,"1,025,701,874",106728974 ( 11.6% ),"125,554",3720 ( 3.1% ),"2,027,706,774","257,695",4
8/19/2017,711,11.8%,"2,731",14.2%,"399,002",12.9%,50.9%,"1,650,315,860",624613986 ( 60.9% ),"202,956",77402 ( 61.6% ),"3,678,022,634","460,651",4
8/20/2017,703,11.8%,"2,700",14.3%,"394,301",12.9%,46.5%,"1,511,647,500",-138668360 ( -8.4% ),"183,311",-19645 ( -9.7% ),"5,189,670,134","643,962",4
8/21/2017,626,11.7%,"2,689",15.1%,"394,033",13.7%,20.2%,"603,773,800",-907873700 ( -60.1% ),"79,511",-103800 ( -56.6% ),"5,793,443,934","723,473",3
8/22/2017,648,11.7%,"2,679",15.1%,"392,627",13.7%,17.7%,"527,579,800",-76194000 ( -12.6% ),"69,637",-9874 ( -12.4% ),"6,321,023,734","793,110",3
8/23/2017,607,10.5%,"1,733",10.1%,"232,972",8.4%,21.0%,"365,480,900",-162098900 ( -30.7% ),"48,838",-20799 ( -29.9% ),"6,686,504,634","841,948",4
8/24/2017,534,8.6%,"1,579",8.7%,"210,427",7.2%,18.4%,"295,593,200",-69887700 ( -19.1% ),"38,798",-10040 ( -20.6% ),"6,982,097,834","880,746",4
8/25/2017,555,8.8%,"1,647",9.0%,"220,492",7.5%,24.2%,"436,418,174",140824974 ( 47.6% ),"53,457",14659 ( 37.8% ),"7,418,516,008","934,203",4
8/26/2017,592,8.7%,"1,723",9.0%,"233,399",7.6%,44.0%,"821,453,551",385035377 ( 88.2% ),"102,702",49245 ( 92.1% ),"8,239,969,559","1,036,905",4
8/27/2017,617,9.3%,"1,730",9.2%,"237,740",7.9%,35.7%,"690,619,900",-130833651 ( -15.9% ),"84,980",-17722 ( -17.3% ),"8,930,589,459","1,121,885",4
8/28/2017,548,9.3%,"1,686",9.7%,"227,914",8.1%,12.2%,"212,722,200",-477897700 ( -69.2% ),"27,765",-57215 ( -67.3% ),"9,143,311,659","1,149,650",4
8/29/2017,559,9.4%,"1,664",9.6%,"224,956",8.0%,11.1%,"189,733,000",-22989200 ( -10.8% ),"24,918",-2847 ( -10.3% ),"9,333,044,659","1,174,568",4
8/30/2017,337,5.8%,790,4.6%,"106,136",3.8%,23.6%,"146,341,900",-43391100 ( -22.9% ),"25,062",144 ( 0.6% ),"9,479,386,559","1,199,630",7
8/31/2017,323,5.7%,751,4.4%,"101,280",3.6%,11.4%,"87,195,200",-59146700 ( -40.4% ),"11,552",-13510 ( -53.9% ),"9,566,581,759","1,211,182",8
9/1/2017,341,6.0%,823,4.7%,"109,989",3.8%,14.3%,"131,723,118",44527918 ( 51.1% ),"15,711",4159 ( 36.0% ),"9,698,304,877","1,226,893",7
9/2/2017,379,5.9%,918,4.9%,"126,205",4.2%,26.8%,"278,999,206",147276088 ( 111.8% ),"33,804",18093 ( 115.2% ),"9,977,304,083","1,260,697",6
9/3/2017,368,5.8%,872,4.8%,"119,894",4.1%,21.8%,"216,309,200",-62690006 ( -22.5% ),"26,107",-7697 ( -22.8% ),"10,193,613,283","1,286,804",6
9/4/2017,311,5.7%,757,4.6%,"101,255",3.8%,6.8%,"53,023,400",-163285800 ( -75.5% ),"6,922",-19185 ( -73.5% ),"10,246,636,683","1,293,726",8
9/5/2017,314,5.6%,748,4.6%,"99,784",3.7%,6.1%,"46,714,500",-6308900 ( -11.9% ),"6,121",-801 ( -11.6% ),"10,293,351,183","1,299,847",8
9/6/2017,99,1.8%,173,1.0%,"20,253",0.7%,7.0%,"10,526,600",-36187900 ( -77.5% ),"1,419",-4702 ( -76.8% ),"10,303,877,783","1,301,266",17
9/7/2017,68,1.1%,110,0.7%,"14,027",0.5%,3.9%,"3,968,800",-6557800 ( -62.3% ),542,-877 ( -61.8% ),"10,307,846,583","1,301,808",23
9/8/2017,67,1.1%,114,0.7%,"14,124",0.5%,4.6%,"5,304,500",1335700 ( 33.7% ),649,107 ( 19.7% ),"10,313,151,083","1,302,457",19
9/9/2017,74,1.2%,115,0.6%,"14,047",0.5%,9.4%,"9,129,500",3825000 ( 72.1% ),"1,318",669 ( 103.1% ),"10,322,280,583","1,303,775",21
9/10/2017,70,1.1%,102,0.6%,"12,838",0.4%,7.5%,"7,878,000",-1251500 ( -13.7% ),964,-354 ( -26.9% ),"10,330,158,583","1,304,739",19
9/11/2017,61,1.1%,93,0.6%,"11,223",0.4%,3.1%,"2,497,000",-5381000 ( -68.3% ),345,-619 ( -64.2% ),"10,332,655,583","1,305,084",23
