'플립' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-07-12,186,4.2%,634,4.1%,"85,392",3.3%,16.8%,"105,250,200",103506200 ( 5935.0% ),"14,315",14097 ( 6466.5% ),"113,637,400","15,297",3
2017-07-13,205,4.2%,632,4.0%,"84,414",3.3%,19.4%,"120,472,500",15222300 ( 14.5% ),"16,339",2024 ( 14.1% ),"234,109,900","31,636",4
2017-07-14,227,4.5%,733,4.5%,"99,208",3.7%,22.0%,"180,557,400",60084900 ( 49.9% ),"21,784",5445 ( 33.3% ),"414,667,300","53,420",3
2017-07-15,249,4.6%,873,5.0%,"122,895",4.3%,33.9%,"352,230,100",171672700 ( 95.1% ),"41,661",19877 ( 91.2% ),"766,897,400","95,081",4
2017-07-16,248,4.7%,864,5.1%,"122,425",4.4%,32.3%,"334,341,000",-17889100 ( -5.1% ),"39,542",-2119 ( -5.1% ),"1,101,238,400","134,623",4
2017-07-17,200,4.3%,895,5.8%,"130,708",5.2%,14.5%,"141,227,500",-193113500 ( -57.8% ),"18,975",-20567 ( -52.0% ),"1,242,465,900","153,598",3
2017-07-18,219,4.5%,923,6.0%,"134,810",5.3%,14.5%,"144,710,700",3483200 ( 2.5% ),"19,596",621 ( 3.3% ),"1,387,176,600","173,194",3
2017-07-19,215,4.3%,962,6.0%,"143,949",5.5%,12.6%,"133,653,900",-11056800 ( -7.6% ),"18,094",-1502 ( -7.7% ),"1,520,830,500","191,288",4
2017-07-20,179,3.2%,670,3.6%,"92,218",3.0%,14.2%,"96,692,400",-36961500 ( -27.7% ),"13,054",-5040 ( -27.9% ),"1,617,522,900","204,342",4
2017-07-21,194,3.4%,702,3.7%,"96,850",3.1%,17.9%,"143,176,700",46484300 ( 48.1% ),"17,354",4300 ( 32.9% ),"1,760,699,600","221,696",4
2017-07-22,211,3.4%,722,3.6%,"98,511",3.0%,24.4%,"204,210,600",61033900 ( 42.6% ),"24,055",6701 ( 38.6% ),"1,964,910,200","245,751",6
2017-07-23,209,3.4%,705,3.6%,"96,626",3.1%,22.9%,"188,593,300",-15617300 ( -7.6% ),"22,165",-1890 ( -7.9% ),"2,153,503,500","267,916",6
2017-07-24,181,3.3%,722,3.9%,"99,601",3.3%,13.5%,"100,357,800",-88235500 ( -46.8% ),"13,401",-8764 ( -39.5% ),"2,253,861,300","281,317",5
2017-07-25,185,3.2%,724,3.9%,"99,080",3.3%,13.5%,"99,658,900",-698900 ( -0.7% ),"13,407",6 ( 0.0% ),"2,353,520,200","294,724",5
2017-07-26,113,2.1%,250,1.4%,"31,143",1.0%,23.1%,"44,450,300",-55208600 ( -55.4% ),"7,187",-6220 ( -46.4% ),"2,397,970,500","301,911",7
2017-07-27,115,2.2%,256,1.4%,"31,298",1.0%,19.3%,"44,949,700",499400 ( 1.1% ),"6,056",-1131 ( -15.7% ),"2,442,920,200","307,967",8
2017-07-28,117,2.2%,251,1.3%,"30,614",1.0%,21.3%,"54,539,600",9589900 ( 21.3% ),"6,512",456 ( 7.5% ),"2,497,459,800","314,479",7
