'악녀' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
6/8/2017,563,11.5%,"2,506",14.9%,"379,084",13.7%,19.3%,"543,427,900",540819900 ( 20737.0% ),"73,305",72979 ( 22386.2% ),"578,013,900","77,718",2
6/9/2017,590,11.7%,"2,595",14.9%,"386,071",13.5%,20.8%,"662,090,414",118662514 ( 21.8% ),"80,452",7147 ( 9.7% ),"1,240,104,314","158,170",2
6/10/2017,671,11.9%,"2,724",14.8%,"405,572",13.4%,36.8%,"1,256,538,235",594447821 ( 89.8% ),"149,219",68767 ( 85.5% ),"2,496,642,549","307,389",2
6/11/2017,679,12.1%,"2,688",14.9%,"403,804",13.6%,37.5%,"1,288,823,000",32284765 ( 2.6% ),"151,449",2230 ( 1.5% ),"3,785,465,549","458,838",2
6/12/2017,660,13.7%,"2,840",17.3%,"423,599",15.6%,14.8%,"472,364,500",-816458500 ( -63.3% ),"62,732",-88717 ( -58.6% ),"4,257,830,049","521,570",2
6/13/2017,678,13.6%,"2,857",17.4%,"428,285",15.8%,13.4%,"429,041,400",-43323100 ( -9.2% ),"57,342",-5390 ( -8.6% ),"4,686,871,449","578,912",2
6/14/2017,685,14.2%,"2,948",18.2%,"441,917",16.4%,13.2%,"437,419,200",8377800 ( 2.0% ),"58,452",1110 ( 1.9% ),"5,124,290,649","637,364",2
6/15/2017,581,11.0%,"2,423",14.1%,"364,756",12.8%,11.7%,"317,627,200",-119792000 ( -27.4% ),"42,513",-15939 ( -27.3% ),"5,441,917,849","679,877",3
6/16/2017,606,11.1%,"2,536",14.3%,"382,487",13.1%,13.8%,"443,873,220",126246020 ( 39.7% ),"52,939",10426 ( 24.5% ),"5,885,791,069","732,816",3
6/17/2017,629,10.3%,"2,593",13.6%,"399,824",12.7%,25.5%,"867,863,501",423990281 ( 95.5% ),"102,101",49162 ( 92.9% ),"6,753,654,570","834,917",3
6/18/2017,629,10.4%,"2,544",13.6%,"391,700",12.8%,23.5%,"788,708,500",-79155001 ( -9.1% ),"92,143",-9958 ( -9.8% ),"7,542,363,070","927,060",3
6/19/2017,599,11.9%,"2,510",15.0%,"372,438",13.4%,9.4%,"262,173,400",-526535100 ( -66.8% ),"34,993",-57150 ( -62.0% ),"7,804,536,470","962,053",3
6/20/2017,617,11.8%,"2,476",14.8%,"365,938",13.2%,9.0%,"245,545,200",-16628200 ( -6.3% ),"32,972",-2021 ( -5.8% ),"8,050,081,670","995,025",3
6/21/2017,442,8.9%,"1,233",7.8%,"151,388",6.0%,13.1%,"148,812,500",-96732700 ( -39.4% ),"19,882",-13090 ( -39.7% ),"8,198,894,170","1,014,907",4
6/22/2017,416,8.1%,973,6.1%,"118,177",4.6%,14.5%,"126,603,500",-22209000 ( -14.9% ),"17,130",-2752 ( -13.8% ),"8,325,497,670","1,032,037",4
