'해빙' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
3/1/2017,828,13.5%,"3,969",23.0%,"758,753",26.9%,50.9%,"3,220,411,500",3206331500 ( 22772.2% ),"386,128",384368 ( 21839.1% ),"3,246,080,500","389,152",1
3/2/2017,802,14.1%,"3,755",23.6%,"708,693",27.1%,12.3%,"655,762,600",-2564648900 ( -79.6% ),"87,354",-298774 ( -77.4% ),"3,901,843,100","476,506",2
3/3/2017,850,14.7%,"3,969",24.3%,"752,530",28.0%,12.1%,"770,505,348",114742748 ( 17.5% ),"91,277",3923 ( 4.5% ),"4,672,348,448","567,783",2
3/4/2017,915,14.5%,"4,396",25.2%,"850,809",29.9%,22.5%,"1,626,236,917",855731569 ( 111.1% ),"191,841",100564 ( 110.2% ),"6,298,585,365","759,624",2
3/5/2017,896,14.3%,"4,145",24.5%,"806,173",29.1%,18.6%,"1,277,909,300",-348327617 ( -21.4% ),"150,264",-41577 ( -21.7% ),"7,576,494,665","909,888",2
3/6/2017,766,14.2%,"3,482",23.1%,"653,180",26.2%,6.1%,"301,544,100",-976365200 ( -76.4% ),"39,765",-110499 ( -73.5% ),"7,878,038,765","949,653",2
3/7/2017,770,13.8%,"3,443",22.8%,"639,411",25.6%,5.4%,"257,946,900",-43597200 ( -14.5% ),"34,330",-5435 ( -13.7% ),"8,135,985,665","983,983",2
3/8/2017,570,10.8%,"2,314",14.9%,"348,698",13.6%,6.6%,"170,273,600",-87673300 ( -34.0% ),"22,936",-11394 ( -33.2% ),"8,306,259,265","1,006,919",3
3/9/2017,542,9.9%,"2,105",13.7%,"316,875",12.4%,6.4%,"149,543,500",-20730100 ( -12.2% ),"20,217",-2719 ( -11.9% ),"8,455,802,765","1,027,136",3
3/10/2017,536,9.6%,"2,094",13.3%,"313,132",12.0%,7.3%,"192,190,727",42647227 ( 28.5% ),"22,843",2626 ( 13.0% ),"8,647,993,492","1,049,979",3
3/11/2017,544,8.5%,"2,035",11.7%,"300,593",10.6%,16.7%,"421,625,230",229434503 ( 119.4% ),"50,276",27433 ( 120.1% ),"9,069,618,722","1,100,255",3
3/12/2017,532,8.5%,"1,912",11.4%,"280,345",10.2%,15.0%,"352,415,600",-69209630 ( -16.4% ),"41,939",-8337 ( -16.6% ),"9,422,034,322","1,142,194",3
3/13/2017,496,9.3%,"1,729",11.7%,"250,105",10.2%,4.6%,"84,099,000",-268316600 ( -76.1% ),"11,382",-30557 ( -72.9% ),"9,506,133,322","1,153,576",3
3/14/2017,502,9.2%,"1,716",11.6%,"246,934",10.1%,4.7%,"86,339,300",2240300 ( 2.7% ),"11,630",248 ( 2.2% ),"9,592,472,622","1,165,206",3
3/15/2017,498,9.1%,"1,657",11.2%,"239,171",9.7%,4.3%,"75,278,100",-11061200 ( -12.8% ),"10,218",-1412 ( -12.1% ),"9,667,750,722","1,175,424",3
3/16/2017,243,4.9%,585,3.8%,"72,463",2.9%,4.9%,"26,521,000",-48757100 ( -64.8% ),"3,571",-6647 ( -65.1% ),"9,694,271,722","1,178,995",6
3/17/2017,251,5.0%,613,3.9%,"75,593",2.9%,5.6%,"36,183,600",9662600 ( 36.4% ),"4,267",696 ( 19.5% ),"9,730,455,322","1,183,262",7
3/18/2017,253,4.6%,513,3.0%,"62,627",2.3%,13.1%,"69,499,100",33315500 ( 92.1% ),"8,190",3923 ( 91.9% ),"9,799,954,422","1,191,452",6
3/19/2017,250,4.6%,487,3.0%,"60,101",2.2%,10.7%,"54,972,900",-14526200 ( -20.9% ),"6,417",-1773 ( -21.6% ),"9,854,927,322","1,197,869",6
3/20/2017,226,4.7%,469,3.1%,"58,634",2.4%,3.6%,"15,804,000",-39168900 ( -71.3% ),"2,104",-4313 ( -67.2% ),"9,870,731,322","1,199,973",8
3/21/2017,232,4.7%,463,3.1%,"57,132",2.3%,3.9%,"16,639,000",835000 ( 5.3% ),"2,223",119 ( 5.7% ),"9,887,370,322","1,202,196",9
3/22/2017,156,2.7%,237,1.6%,"31,018",1.2%,3.2%,"6,992,500",-9646500 ( -58.0% ),984,-1239 ( -55.7% ),"9,894,362,822","1,203,180",13
3/23/2017,5,0.1%,5,0.0%,582,0.0%,6.5%,"293,000",-6699500 ( -95.8% ),38,-946 ( -96.1% ),"9,894,655,822","1,203,218",60
3/24/2017,6,0.1%,6,0.0%,760,0.0%,8.7%,"656,000",363000 ( 123.9% ),66,28 ( 73.7% ),"9,895,311,822","1,203,284",48
3/25/2017,6,0.1%,6,0.0%,773,0.0%,27.3%,"1,759,500",1103500 ( 168.2% ),211,145 ( 219.7% ),"9,897,071,322","1,203,495",34
3/26/2017,3,0.1%,3,0.0%,351,0.0%,10.3%,"330,000",-1429500 ( -81.2% ),36,-175 ( -82.9% ),"9,897,401,322","1,203,531",68
3/27/2017,3,0.1%,4,0.0%,454,0.0%,6.2%,"211,000",-119000 ( -36.1% ),28,-8 ( -22.2% ),"9,897,612,322","1,203,559",68
