'라라랜드' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
12/7/2016,712,14.9%,"3,196",20.5%,"577,546",22.5%,10.8%,"499,764,900",468076900 ( 1477.1% ),"62,258",59540 ( 2190.6% ),"551,084,900","67,430",2
12/8/2016,703,13.5%,"3,147",20.0%,"576,012",22.2%,12.0%,"541,794,600",42029700 ( 8.4% ),"68,872",6614 ( 10.6% ),"1,092,879,500","136,302",2
12/9/2016,727,13.8%,"3,268",20.1%,"597,650",22.4%,16.2%,"846,540,100",304745500 ( 56.2% ),"97,061",28189 ( 40.9% ),"1,939,419,600","233,363",2
12/10/2016,706,12.8%,"3,094",18.1%,"561,887",20.1%,30.3%,"1,542,343,040",695802940 ( 82.2% ),"170,504",73443 ( 75.7% ),"3,481,762,640","403,867",2
12/11/2016,682,12.3%,"2,944",17.7%,"538,015",19.7%,29.7%,"1,434,191,700",-108151340 ( -7.0% ),"159,563",-10941 ( -6.4% ),"4,915,954,340","563,430",2
12/12/2016,690,13.8%,"2,962",19.2%,"536,028",21.1%,14.0%,"590,779,500",-843412200 ( -58.8% ),"74,966",-84597 ( -53.0% ),"5,506,733,840","638,396",2
12/13/2016,694,13.3%,"2,965",19.1%,"537,705",21.1%,15.3%,"638,687,900",47908400 ( 8.1% ),"82,143",7177 ( 9.6% ),"6,145,421,740","720,539",2
12/14/2016,587,11.6%,"2,252",14.2%,"385,915",14.8%,19.1%,"575,140,200",-63547700 ( -9.9% ),"73,640",-8503 ( -10.4% ),"6,720,561,940","794,179",3
12/15/2016,614,11.6%,"2,245",14.1%,"382,224",14.7%,20.0%,"600,836,100",25695900 ( 4.5% ),"76,574",2934 ( 4.0% ),"7,321,398,040","870,753",3
12/16/2016,629,11.6%,"2,375",14.5%,"400,342",15.0%,25.1%,"877,273,259",276437159 ( 46.0% ),"100,684",24110 ( 31.5% ),"8,198,671,299","971,437",3
12/17/2016,710,12.0%,"2,606",15.1%,"431,610",15.3%,39.5%,"1,526,848,979",649575720 ( 74.0% ),"170,412",69728 ( 69.3% ),"9,725,520,278","1,141,849",2
12/18/2016,700,12.0%,"2,558",15.2%,"428,356",15.5%,36.4%,"1,390,795,300",-136053679 ( -8.9% ),"155,711",-14701 ( -8.6% ),"11,116,315,578","1,297,560",2
12/19/2016,650,12.8%,"2,532",16.2%,"430,000",16.7%,17.8%,"602,270,400",-788524900 ( -56.7% ),"76,629",-79082 ( -50.8% ),"11,718,585,978","1,374,189",2
12/20/2016,672,12.6%,"2,537",16.2%,"430,734",16.8%,19.5%,"653,262,700",50992300 ( 8.5% ),"83,807",7178 ( 9.4% ),"12,371,848,678","1,457,996",2
12/21/2016,490,9.9%,"1,405",9.2%,"197,993",7.9%,25.9%,"394,923,600",-258339100 ( -39.5% ),"51,360",-32447 ( -38.7% ),"12,766,772,278","1,509,356",3
12/22/2016,514,10.0%,"1,420",9.1%,"199,998",7.9%,27.9%,"430,737,500",35813900 ( 9.1% ),"55,850",4490 ( 8.7% ),"13,197,509,778","1,565,206",3
12/23/2016,570,10.9%,"1,607",9.9%,"220,574",8.3%,33.7%,"640,158,821",209421321 ( 48.6% ),"74,341",18491 ( 33.1% ),"13,837,668,599","1,639,547",3
12/24/2016,671,11.5%,"1,863",10.4%,"264,618",9.1%,59.4%,"1,399,457,777",759298956 ( 118.6% ),"157,182",82841 ( 111.4% ),"15,237,126,376","1,796,729",4
12/25/2016,681,11.6%,"1,803",10.3%,"259,764",9.2%,57.0%,"1,305,106,800",-94350977 ( -6.7% ),"148,148",-9034 ( -5.7% ),"16,542,233,176","1,944,877",4
12/26/2016,616,12.0%,"1,846",11.7%,"275,249",10.7%,22.1%,"474,229,800",-830877000 ( -63.7% ),"60,955",-87193 ( -58.9% ),"17,016,462,976","2,005,832",2
