'지오스톰' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
10/19/2017,669,11.6%,"3,353",19.9%,"641,979",23.2%,13.7%,"699,873,800",690481800 ( 7351.8% ),"87,805",86973 ( 10453.5% ),"720,497,800","89,261",2
10/20/2017,780,12.9%,"3,667",21.2%,"696,762",24.6%,19.1%,"1,130,813,033",430939233 ( 61.6% ),"133,276",45471 ( 51.8% ),"1,851,310,833","222,537",2
10/21/2017,847,13.1%,"4,294",23.1%,"807,201",26.7%,31.0%,"2,188,275,334",1057462301 ( 93.5% ),"249,965",116689 ( 87.6% ),"4,039,586,167","472,502",2
10/22/2017,854,13.5%,"4,275",23.6%,"800,987",27.1%,27.7%,"1,927,735,900",-260539434 ( -11.9% ),"222,256",-27709 ( -11.1% ),"5,967,322,067","694,758",2
10/23/2017,774,14.0%,"3,880",23.6%,"748,386",27.5%,7.7%,"451,613,300",-1476122600 ( -76.6% ),"57,979",-164277 ( -73.9% ),"6,418,935,367","752,737",2
10/24/2017,768,13.5%,"3,827",23.2%,"739,939",27.2%,6.8%,"388,892,900",-62720400 ( -13.9% ),"50,612",-7367 ( -12.7% ),"6,807,828,267","803,349",2
10/25/2017,572,10.6%,"1,584",9.5%,"221,402",8.2%,16.3%,"209,698,400",-179194500 ( -46.1% ),"36,023",-14589 ( -28.8% ),"7,017,526,667","839,372",4
10/26/2017,517,9.7%,"1,535",9.2%,"219,276",8.1%,8.5%,"138,157,600",-71540800 ( -34.1% ),"18,643",-17380 ( -48.2% ),"7,155,684,267","858,015",4
10/27/2017,546,10.1%,"1,586",9.3%,"224,785",8.1%,13.1%,"228,523,678",90366078 ( 65.4% ),"29,376",10733 ( 57.6% ),"7,384,207,945","887,391",4
10/28/2017,516,9.1%,"1,362",7.5%,"188,800",6.5%,22.5%,"347,154,976",118631298 ( 51.9% ),"42,469",13093 ( 44.6% ),"7,731,362,921","929,860",4
10/29/2017,512,9.1%,"1,314",7.4%,"179,959",6.3%,22.8%,"334,337,200",-12817776 ( -3.7% ),"41,114",-1355 ( -3.2% ),"8,065,700,121","970,974",4
10/30/2017,474,9.4%,"1,365",8.4%,"189,580",7.1%,7.1%,"99,246,000",-235091200 ( -70.3% ),"13,429",-27685 ( -67.3% ),"8,164,946,121","984,403",4
10/31/2017,483,9.4%,"1,358",8.3%,"188,494",7.1%,7.8%,"107,979,700",8733700 ( 8.8% ),"14,776",1347 ( 10.0% ),"8,272,925,821","999,179",4
11/1/2017,462,9.1%,"1,239",7.6%,"172,879",6.5%,7.4%,"93,288,600",-14691100 ( -13.6% ),"12,792",-1984 ( -13.4% ),"8,366,214,421","1,011,971",4
11/2/2017,75,1.4%,111,0.7%,"15,070",0.5%,8.2%,"8,364,500",-84924100 ( -91.0% ),"1,229",-11563 ( -90.4% ),"8,374,578,921","1,013,200",14
11/3/2017,90,1.7%,126,0.7%,"16,030",0.6%,11.6%,"13,364,560",5000060 ( 59.8% ),"1,853",624 ( 50.8% ),"8,387,943,481","1,015,053",9
11/4/2017,85,1.5%,130,0.7%,"16,331",0.5%,31.9%,"36,893,933",23529373 ( 176.1% ),"5,202",3349 ( 180.7% ),"8,424,837,414","1,020,255",8
11/5/2017,88,1.5%,132,0.7%,"16,107",0.5%,31.5%,"35,898,200",-995733 ( -2.7% ),"5,067",-135 ( -2.6% ),"8,460,735,614","1,025,322",8
11/6/2017,72,1.4%,99,0.6%,"14,279",0.5%,5.2%,"4,923,500",-30974700 ( -86.3% ),745,-4322 ( -85.3% ),"8,465,659,114","1,026,067",14
11/7/2017,67,1.3%,93,0.6%,"13,039",0.5%,5.5%,"4,590,100",-333400 ( -6.8% ),720,-25 ( -3.4% ),"8,470,249,214","1,026,787",18
11/8/2017,45,0.9%,61,0.4%,"7,933",0.3%,5.8%,"3,141,400",-1448700 ( -31.6% ),458,-262 ( -36.4% ),"8,473,390,614","1,027,245",21
11/9/2017,5,0.1%,5,0.0%,725,0.0%,29.8%,"950,000",-2191400 ( -69.8% ),216,-242 ( -52.8% ),"8,474,340,614","1,027,461",36
11/10/2017,10,0.2%,15,0.1%,"2,008",0.1%,20.1%,"2,675,500",1725500 ( 181.6% ),403,187 ( 86.6% ),"8,477,016,114","1,027,864",28
11/11/2017,6,0.1%,6,0.0%,894,0.0%,14.3%,"1,150,000",-1525500 ( -57.0% ),128,-275 ( -68.2% ),"8,478,166,114","1,027,992",51
11/12/2017,4,0.1%,5,0.0%,707,0.0%,15.6%,"1,028,500",-121500 ( -10.6% ),110,-18 ( -14.1% ),"8,479,194,614","1,028,102",51
