'스타워즈: 라스트 제다이' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
12/14/2017,"1,107",18.1%,"4,313",26.8%,"770,453",29.9%,15.0%,"966,980,200",961949200 ( 19120.4% ),"115,246",114786 ( 24953.5% ),"976,021,200","116,223",2
12/15/2017,"1,093",17.9%,"4,381",26.7%,"782,400",29.9%,13.7%,"967,888,346",908146 ( 0.1% ),"107,451",-7795 ( -6.8% ),"1,943,909,546","223,674",2
12/16/2017,"1,059",16.7%,"4,281",24.5%,"747,615",27.0%,29.9%,"2,005,118,740",1037230394 ( 107.2% ),"223,864",116413 ( 108.3% ),"3,949,028,286","447,538",2
12/17/2017,"1,024",16.5%,"4,062",23.9%,"712,535",26.3%,26.9%,"1,691,304,000",-313814740 ( -15.7% ),"191,509",-32355 ( -14.5% ),"5,640,332,286","639,047",2
12/18/2017,974,17.1%,"3,766",24.3%,"660,666",26.4%,6.7%,"366,411,000",-1324893000 ( -78.3% ),"44,526",-146983 ( -76.7% ),"6,006,743,286","683,573",2
12/19/2017,973,16.4%,"3,623",23.2%,"632,062",25.3%,6.7%,"348,922,300",-17488700 ( -4.8% ),"42,585",-1941 ( -4.4% ),"6,355,665,586","726,158",2
12/20/2017,523,10.1%,"1,319",8.0%,"193,620",7.3%,10.7%,"179,067,100",-169855200 ( -48.7% ),"20,752",-21833 ( -51.3% ),"6,534,732,686","746,910",4
12/21/2017,496,8.8%,"1,125",6.7%,"168,543",6.3%,11.1%,"163,034,800",-16032300 ( -9.0% ),"18,681",-2071 ( -10.0% ),"6,697,767,486","765,591",4
12/22/2017,482,8.4%,"1,053",6.1%,"158,130",5.7%,15.7%,"236,496,156",73461356 ( 45.1% ),"24,765",6084 ( 32.6% ),"6,934,263,642","790,356",4
12/23/2017,384,6.1%,720,3.9%,"108,093",3.6%,36.3%,"395,822,319",159326163 ( 67.4% ),"39,258",14493 ( 58.5% ),"7,330,085,961","829,614",6
12/24/2017,346,5.5%,622,3.3%,"92,694",3.1%,48.2%,"456,354,800",60532481 ( 15.3% ),"44,653",5395 ( 13.7% ),"7,786,440,761","874,267",6
12/25/2017,323,5.1%,556,3.0%,"84,400",2.9%,44.3%,"386,224,600",-70130200 ( -15.4% ),"37,388",-7265 ( -16.3% ),"8,172,665,361","911,655",7
12/26/2017,398,7.1%,770,4.5%,"121,991",4.5%,12.3%,"139,721,700",-246502900 ( -63.8% ),"14,971",-22417 ( -60.0% ),"8,312,387,061","926,626",4
12/27/2017,75,1.4%,101,0.6%,"14,184",0.5%,30.9%,"40,656,700",-99065000 ( -70.9% ),"4,378",-10593 ( -70.8% ),"8,353,043,761","931,004",9
