'불한당: 나쁜 놈들의 세상' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
5/17/2017,800,16.0%,"3,800",22.8%,"735,674",26.8%,13.0%,"713,315,600",669647700 ( 1533.5% ),"95,271",90452 ( 1877.0% ),"942,473,300","121,534",1
5/18/2017,813,14.9%,"3,776",22.8%,"735,216",27.0%,12.5%,"687,727,400",-25588200 ( -3.6% ),"91,667",-3604 ( -3.8% ),"1,630,200,700","213,201",2
5/19/2017,828,14.7%,"3,888",22.7%,"757,243",26.9%,11.6%,"731,886,572",44159172 ( 6.4% ),"87,670",-3997 ( -4.4% ),"2,362,087,272","300,871",2
5/20/2017,860,14.0%,"3,846",20.9%,"754,722",25.1%,19.9%,"1,289,300,573",557414001 ( 76.2% ),"150,449",62779 ( 71.6% ),"3,651,387,845","451,320",2
5/21/2017,826,13.6%,"3,624",20.2%,"705,234",24.0%,19.7%,"1,190,814,900",-98485673 ( -7.6% ),"138,594",-11855 ( -7.9% ),"4,842,202,745","589,914",2
5/22/2017,752,14.5%,"3,482",21.2%,"647,061",23.8%,7.7%,"377,148,100",-813666800 ( -68.3% ),"50,096",-88498 ( -63.9% ),"5,219,350,845","640,010",2
5/23/2017,767,14.4%,"3,411",21.0%,"631,412",23.4%,6.9%,"323,563,800",-53584300 ( -14.2% ),"43,303",-6793 ( -13.6% ),"5,542,914,645","683,313",2
5/24/2017,497,10.2%,"1,931",11.9%,"258,527",9.7%,11.3%,"217,414,200",-106149600 ( -32.8% ),"29,212",-14091 ( -32.5% ),"5,760,328,845","712,525",3
5/25/2017,461,9.1%,"1,368",8.2%,"180,183",6.6%,12.5%,"170,543,500",-46870700 ( -21.6% ),"22,610",-6602 ( -22.6% ),"5,930,872,345","735,135",4
5/26/2017,471,9.1%,"1,374",8.0%,"178,140",6.4%,15.0%,"222,835,285",52291785 ( 30.7% ),"26,798",4188 ( 18.5% ),"6,153,707,630","761,933",4
5/27/2017,485,8.8%,"1,142",6.3%,"146,160",5.0%,29.1%,"360,448,295",137613010 ( 61.8% ),"42,571",15773 ( 58.9% ),"6,514,155,925","804,504",5
5/28/2017,462,8.5%,"1,106",6.3%,"141,464",4.9%,29.5%,"355,677,600",-4770695 ( -1.3% ),"41,762",-809 ( -1.9% ),"6,869,833,525","846,266",5
5/29/2017,474,9.7%,"1,345",8.2%,"167,500",6.2%,11.6%,"144,208,700",-211468900 ( -59.5% ),"19,379",-22383 ( -53.6% ),"7,014,042,225","865,645",4
5/30/2017,486,9.8%,"1,347",8.2%,"167,913",6.3%,11.5%,"142,523,300",-1685400 ( -1.2% ),"19,233",-146 ( -0.8% ),"7,156,565,525","884,878",4
5/31/2017,188,3.9%,301,1.9%,"35,833",1.4%,16.5%,"36,207,800",-106315500 ( -74.6% ),"5,899",-13334 ( -69.3% ),"7,192,773,325","890,777",6
6/1/2017,179,3.6%,268,1.6%,"32,906",1.2%,11.5%,"27,554,800",-8653000 ( -23.9% ),"3,779",-2120 ( -35.9% ),"7,220,328,125","894,556",7
6/2/2017,168,3.4%,264,1.6%,"32,940",1.2%,11.9%,"32,924,600",5369800 ( 19.5% ),"3,923",144 ( 3.8% ),"7,253,252,725","898,479",7
6/3/2017,136,2.5%,203,1.1%,"23,387",0.8%,22.1%,"43,911,300",10986700 ( 33.4% ),"5,171",1248 ( 31.8% ),"7,297,164,025","903,650",11
6/4/2017,136,2.5%,203,1.2%,"23,854",0.9%,19.4%,"39,587,600",-4323700 ( -9.8% ),"4,621",-550 ( -10.6% ),"7,336,751,625","908,271",12
6/5/2017,161,3.2%,249,1.5%,"30,683",1.1%,14.6%,"34,093,200",-5494400 ( -13.9% ),"4,476",-145 ( -3.1% ),"7,370,844,825","912,747",10
6/6/2017,28,0.5%,44,0.2%,"5,457",0.2%,17.4%,"7,827,000",-26266200 ( -77.0% ),951,-3525 ( -78.8% ),"7,378,671,825","913,698",15
6/7/2017,54,1.2%,79,0.5%,"10,610",0.4%,12.2%,"9,455,500",1628500 ( 20.8% ),"1,292",341 ( 35.9% ),"7,388,127,325","914,990",8
6/8/2017,45,0.9%,48,0.3%,"6,626",0.2%,13.5%,"5,838,800",-3616700 ( -38.2% ),894,-398 ( -30.8% ),"7,393,966,125","915,884",13
6/9/2017,30,0.6%,37,0.2%,"5,149",0.2%,26.2%,"12,217,000",6378200 ( 109.2% ),"1,350",456 ( 51.0% ),"7,406,183,125","917,234",9
6/10/2017,27,0.5%,35,0.2%,"5,333",0.2%,16.1%,"7,138,800",-5078200 ( -41.6% ),859,-491 ( -36.4% ),"7,413,321,925","918,093",21
6/11/2017,27,0.5%,35,0.2%,"4,510",0.2%,16.2%,"6,103,500",-1035300 ( -14.5% ),730,-129 ( -15.0% ),"7,419,425,425","918,823",21
6/12/2017,29,0.6%,35,0.2%,"4,640",0.2%,10.0%,"3,253,000",-2850500 ( -46.7% ),463,-267 ( -36.6% ),"7,422,678,425","919,286",14
6/13/2017,47,0.9%,56,0.3%,"7,284",0.3%,15.7%,"6,551,000",3298000 ( 101.4% ),"1,147",684 ( 147.7% ),"7,429,229,425","920,433",13
6/14/2017,37,0.8%,46,0.3%,"6,211",0.2%,12.8%,"5,456,000",-1095000 ( -16.7% ),792,-355 ( -31.0% ),"7,434,685,425","921,225",12
6/15/2017,30,0.6%,34,0.2%,"4,388",0.2%,21.5%,"4,791,500",-664500 ( -12.2% ),943,151 ( 19.1% ),"7,439,476,925","922,168",18
6/16/2017,13,0.2%,16,0.1%,"2,591",0.1%,38.6%,"8,443,400",3651900 ( 76.2% ),999,56 ( 5.9% ),"7,447,920,325","923,167",17
6/17/2017,20,0.3%,23,0.1%,"3,231",0.1%,31.5%,"8,442,000",-1400 ( 0.0% ),"1,018",19 ( 1.9% ),"7,456,362,325","924,185",21
6/18/2017,11,0.2%,14,0.1%,"1,748",0.1%,24.5%,"3,439,500",-5002500 ( -59.3% ),428,-590 ( -58.0% ),"7,459,801,825","924,613",32
6/19/2017,11,0.2%,16,0.1%,"2,632",0.1%,13.3%,"2,256,300",-1183200 ( -34.4% ),350,-78 ( -18.2% ),"7,462,058,125","924,963",23
6/20/2017,14,0.3%,18,0.1%,"2,826",0.1%,39.3%,"8,379,600",6123300 ( 271.4% ),"1,112",762 ( 217.7% ),"7,470,437,725","926,075",16
6/21/2017,8,0.2%,11,0.1%,"1,920",0.1%,24.0%,"3,596,000",-4783600 ( -57.1% ),460,-652 ( -58.6% ),"7,474,033,725","926,535",20
6/22/2017,8,0.2%,12,0.1%,"1,725",0.1%,45.3%,"5,738,500",2142500 ( 59.6% ),781,321 ( 69.8% ),"7,479,772,225","927,316",16
6/23/2017,6,0.1%,10,0.1%,"1,290",0.0%,36.5%,"4,406,500",-1332000 ( -23.2% ),471,-310 ( -39.7% ),"7,484,178,725","927,787",21
6/24/2017,5,0.1%,10,0.1%,"1,485",0.1%,49.6%,"7,165,000",2758500 ( 62.6% ),737,266 ( 56.5% ),"7,491,343,725","928,524",23
6/25/2017,4,0.1%,9,0.1%,"1,104",0.0%,33.4%,"3,377,500",-3787500 ( -52.9% ),369,-368 ( -49.9% ),"7,494,721,225","928,893",26
6/26/2017,4,0.1%,11,0.1%,"1,208",0.0%,15.7%,"1,473,000",-1904500 ( -56.4% ),190,-179 ( -48.5% ),"7,496,194,225","929,083",29
6/27/2017,5,0.1%,13,0.1%,"1,400",0.1%,17.0%,"1,872,500",399500 ( 27.1% ),238,48 ( 25.3% ),"7,498,066,725","929,321",32
6/28/2017,3,0.1%,10,0.1%,"1,168",0.0%,18.9%,"1,347,500",-525000 ( -28.0% ),221,-17 ( -7.1% ),"7,499,414,225","929,542",33
6/29/2017,3,0.1%,5,0.0%,494,0.0%,19.8%,"737,000",-610500 ( -45.3% ),98,-123 ( -55.7% ),"7,500,151,225","929,640",45
6/30/2017,6,0.1%,9,0.1%,"1,993",0.1%,61.5%,"12,181,000",11444000 ( 1552.8% ),"1,226",1128 ( 1151.0% ),"7,512,332,225","930,866",11
7/1/2017,5,0.1%,6,0.0%,682,0.0%,20.7%,"1,322,000",-10859000 ( -89.1% ),141,-1085 ( -88.5% ),"7,513,654,225","931,007",42
7/2/2017,6,0.1%,7,0.0%,"1,523",0.1%,42.0%,"4,827,000",3505000 ( 265.1% ),639,498 ( 353.2% ),"7,518,481,225","931,646",24
7/3/2017,6,0.1%,8,0.1%,974,0.0%,10.4%,"774,000",-4053000 ( -84.0% ),101,-538 ( -84.2% ),"7,519,255,225","931,747",44
7/4/2017,6,0.1%,10,0.1%,"1,611",0.1%,35.4%,"4,489,500",3715500 ( 480.0% ),570,469 ( 464.4% ),"7,523,744,725","932,317",20
7/5/2017,3,0.1%,6,0.0%,558,0.0%,18.6%,"805,000",-3684500 ( -82.1% ),104,-466 ( -81.8% ),"7,524,549,725","932,421",42
7/6/2017,2,0.0%,3,0.0%,360,0.0%,11.7%,"294,500",-510500 ( -63.4% ),42,-62 ( -59.6% ),"7,524,844,225","932,463",50
7/7/2017,3,0.1%,5,0.0%,"1,100",0.0%,67.2%,"7,856,500",7562000 ( 2567.7% ),739,697 ( 1659.5% ),"7,532,700,725","933,202",15
7/8/2017,2,0.0%,4,0.0%,605,0.0%,40.7%,"2,101,000",-5755500 ( -73.3% ),246,-493 ( -66.7% ),"7,534,801,725","933,448",32
7/9/2017,2,0.0%,2,0.0%,148,0.0%,56.8%,"732,500",-1368500 ( -65.1% ),84,-162 ( -65.9% ),"7,535,534,225","933,532",48
7/10/2017,1,0.0%,1,0.0%,108,0.0%,31.5%,"294,500",-438000 ( -59.8% ),34,-50 ( -59.5% ),"7,535,828,725","933,566",54
7/11/2017,1,0.0%,1,0.0%,108,0.0%,81.5%,"662,700",368200 ( 125.0% ),88,54 ( 158.8% ),"7,536,491,425","933,654",49
7/12/2017,1,0.0%,1,0.0%,94,0.0%,72.3%,"515,000",-147700 ( -22.3% ),68,-20 ( -22.7% ),"7,537,006,425","933,722",55
7/13/2017,2,0.0%,3,0.0%,228,0.0%,46.5%,"830,300",315300 ( 61.2% ),106,38 ( 55.9% ),"7,537,836,725","933,828",44
7/14/2017,3,0.1%,4,0.0%,565,0.0%,52.2%,"2,785,500",1955200 ( 235.5% ),295,189 ( 178.3% ),"7,540,622,225","934,123",30
7/15/2017,4,0.1%,4,0.0%,388,0.0%,56.7%,"1,916,600",-868900 ( -31.2% ),220,-75 ( -25.4% ),"7,542,538,825","934,343",36
7/16/2017,2,0.0%,3,0.0%,362,0.0%,28.2%,"900,500",-1016100 ( -53.0% ),102,-118 ( -53.6% ),"7,543,439,325","934,445",38
7/17/2017,5,0.1%,6,0.0%,813,0.0%,14.5%,"903,000",2500 ( 0.3% ),118,16 ( 15.7% ),"7,544,342,325","934,563",42
7/18/2017,5,0.1%,7,0.0%,907,0.0%,14.2%,"1,049,500",146500 ( 16.2% ),129,11 ( 9.3% ),"7,545,391,825","934,692",42
7/19/2017,6,0.1%,7,0.0%,856,0.0%,13.3%,"890,000",-159500 ( -15.2% ),114,-15 ( -11.6% ),"7,546,281,825","934,806",51
7/20/2017,2,0.0%,4,0.0%,520,0.0%,13.1%,"573,500",-316500 ( -35.6% ),68,-46 ( -40.4% ),"7,546,855,325","934,874",52
7/21/2017,3,0.1%,4,0.0%,758,0.0%,48.9%,"3,992,000",3418500 ( 596.1% ),371,303 ( 445.6% ),"7,550,847,325","935,245",23
7/22/2017,3,0.0%,4,0.0%,570,0.0%,33.5%,"1,457,000",-2535000 ( -63.5% ),191,-180 ( -48.5% ),"7,552,304,325","935,436",31
7/23/2017,3,0.0%,4,0.0%,466,0.0%,20.4%,"880,000",-577000 ( -39.6% ),95,-96 ( -50.3% ),"7,553,184,325","935,531",34
7/24/2017,2,0.0%,3,0.0%,426,0.0%,9.6%,"329,000",-551000 ( -62.6% ),41,-54 ( -56.8% ),"7,553,513,325","935,572",57
7/25/2017,2,0.0%,3,0.0%,426,0.0%,28.9%,"1,028,400",699400 ( 212.6% ),123,82 ( 200.0% ),"7,554,541,725","935,695",41
7/26/2017,1,0.0%,2,0.0%,332,0.0%,39.8%,"971,900",-56500 ( -5.5% ),132,9 ( 7.3% ),"7,555,513,625","935,827",42
7/29/2017,3,0.1%,3,0.0%,435,0.0%,100.0%,"4,281,000",4281000 ( 100.0% ),435,435 ( 100.0% ),"7,559,794,625","936,262",21
8/4/2017,1,0.0%,1,0.0%,114,0.0%,100.0%,"1,254,000",1254000 ( 100.0% ),114,114 ( 100.0% ),"7,561,048,625","936,376",32
8/24/2017,1,0.0%,1,0.0%,35,0.0%,100.0%,"245,000",245000 ( 100.0% ),35,35 ( 100.0% ),"7,561,293,625","936,411",69
9/2/2017,1,0.0%,1,0.0%,174,0.0%,100.0%,"1,740,000",1740000 ( 100.0% ),174,174 ( 100.0% ),"7,563,033,625","936,585",43
9/16/2017,2,0.0%,2,0.0%,484,0.0%,99.6%,"4,574,000",4574000 ( 100.0% ),482,482 ( 100.0% ),"7,567,607,625","937,067",33
9/23/2017,1,0.0%,1,0.0%,35,0.0%,100.0%,"280,000",280000 ( 100.0% ),35,35 ( 100.0% ),"7,567,887,625","937,102",96
10/14/2017,2,0.0%,2,0.0%,175,0.0%,85.7%,"1,380,000",1380000 ( 100.0% ),150,150 ( 100.0% ),"7,569,267,625","937,252",36
10/28/2017,1,0.0%,1,0.0%,400,0.0%,100.0%,"4,000,000",4000000 ( 100.0% ),400,400 ( 100.0% ),"7,573,267,625","937,652",33
10/29/2017,1,0.0%,1,0.0%,113,0.0%,97.3%,"770,000",-3230000 ( -80.8% ),110,-290 ( -72.5% ),"7,574,037,625","937,762",50
11/4/2017,1,0.0%,1,0.0%,150,0.0%,100.0%,"1,200,000",1200000 ( 100.0% ),150,150 ( 100.0% ),"7,575,237,625","937,912",52
11/18/2017,1,0.0%,1,0.0%,85,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),"7,575,237,625","937,912",161
11/21/2017,1,0.0%,1,0.0%,85,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),"7,575,237,625","937,912",158
11/28/2017,4,0.1%,4,0.0%,691,0.0%,82.8%,"3,432,000",3432000 ( 100.0% ),572,572 ( 100.0% ),"7,578,669,625","938,484",22
12/1/2017,1,0.0%,1,0.0%,92,0.0%,100.0%,"920,000",920000 ( 100.0% ),92,92 ( 100.0% ),"7,579,589,625","938,576",58
12/9/2017,1,0.0%,1,0.0%,413,0.0%,21.1%,"261,000",261000 ( 100.0% ),87,87 ( 100.0% ),"7,579,850,625","938,663",66
12/10/2017,1,0.0%,1,0.0%,413,0.0%,14.8%,"183,000",-78000 ( -29.9% ),61,-26 ( -29.9% ),"7,580,033,625","938,724",71
12/15/2017,1,0.0%,1,0.0%,77,0.0%,81.8%,"567,000",567000 ( 100.0% ),63,63 ( 100.0% ),"7,580,600,625","938,787",67
12/16/2017,1,0.0%,1,0.0%,93,0.0%,98.9%,"920,000",353000 ( 62.3% ),92,29 ( 46.0% ),"7,581,520,625","938,879",50
12/17/2017,1,0.0%,1,0.0%,77,0.0%,89.6%,"621,000",-299000 ( -32.5% ),69,-23 ( -25.0% ),"7,582,141,625","938,948",46
12/19/2017,2,0.0%,2,0.0%,295,0.0%,91.5%,"2,010,000",2010000 ( 100.0% ),270,270 ( 100.0% ),"7,584,151,625","939,218",28
12/21/2017,1,0.0%,1,0.0%,77,0.0%,59.7%,"414,000",414000 ( 100.0% ),46,46 ( 100.0% ),"7,584,565,625","939,264",67
12/23/2017,1,0.0%,1,0.0%,77,0.0%,68.8%,"477,000",477000 ( 100.0% ),53,53 ( 100.0% ),"7,585,042,625","939,317",51
12/30/2017,1,0.0%,1,0.0%,218,0.0%,100.0%,"1,962,000",1962000 ( 100.0% ),218,218 ( 100.0% ),"7,587,004,625","939,535",31
1/13/2018,1,0.0%,1,0.0%,42,0.0%,100.0%,"378,000",378000 ( 100.0% ),42,42 ( 100.0% ),"7,587,382,625","939,577",46
1/20/2018,1,0.0%,1,0.0%,141,0.0%,85.1%,"1,080,000",1080000 ( 100.0% ),120,120 ( 100.0% ),"7,588,462,625","939,697",43
1/27/2018,1,0.0%,1,0.0%,190,0.0%,100.0%,"950,000",950000 ( 100.0% ),190,190 ( 100.0% ),"7,589,412,625","939,887",39
2/11/2018,1,0.0%,1,0.0%,169,0.0%,100.0%,"1,690,000",1690000 ( 100.0% ),169,169 ( 100.0% ),"7,591,102,625","940,056",40
2/19/2018,58,1.0%,97,0.6%,"13,069",0.5%,14.3%,"9,945,000",9945000 ( 100.0% ),"1,865",1865 ( 100.0% ),"7,601,047,625","941,921",10
2/20/2018,59,1.0%,107,0.6%,"14,463",0.5%,10.1%,"7,805,000",-2140000 ( -21.5% ),"1,466",-399 ( -21.4% ),"7,608,852,625","943,387",14
2/21/2018,66,1.2%,117,0.7%,"15,841",0.6%,8.4%,"7,038,500",-766500 ( -9.8% ),"1,324",-142 ( -9.7% ),"7,615,891,125","944,711",12
2/22/2018,57,1.0%,101,0.6%,"13,150",0.5%,8.3%,"5,884,000",-1154500 ( -16.4% ),"1,086",-238 ( -18.0% ),"7,621,775,125","945,797",15
2/23/2018,63,1.1%,108,0.6%,"14,569",0.5%,7.8%,"6,202,000",318000 ( 5.4% ),"1,143",57 ( 5.2% ),"7,627,977,125","946,940",14
2/24/2018,64,1.0%,105,0.6%,"13,815",0.5%,9.6%,"7,314,000",1112000 ( 17.9% ),"1,330",187 ( 16.4% ),"7,635,291,125","948,270",15
2/25/2018,63,1.0%,99,0.6%,"13,086",0.5%,10.1%,"7,298,000",-16000 ( -0.2% ),"1,326",-4 ( -0.3% ),"7,642,589,125","949,596",15
2/26/2018,59,1.0%,94,0.6%,"12,385",0.5%,5.4%,"3,487,000",-3811000 ( -52.2% ),665,-661 ( -49.8% ),"7,646,076,125","950,261",19
2/27/2018,62,1.1%,99,0.6%,"12,752",0.5%,6.8%,"4,544,000",1057000 ( 30.3% ),868,203 ( 30.5% ),"7,650,620,125","951,129",22
2/28/2018,24,0.4%,28,0.1%,"3,563",0.1%,15.7%,"2,941,000",-1603000 ( -35.3% ),558,-310 ( -35.7% ),"7,653,561,125","951,687",25
3/11/2018,1,0.0%,1,0.0%,113,0.0%,97.3%,"770,000",770000 ( 100.0% ),110,110 ( 100.0% ),"7,654,331,125","951,797",42
4/14/2018,1,0.0%,1,0.0%,32,0.0%,75.0%,"192,000",192000 ( 100.0% ),24,24 ( 100.0% ),"7,654,523,125","951,821",66
5/17/2018,1,0.0%,1,0.0%,622,0.0%,96.1%,"5,382,000",5382000 ( 100.0% ),598,598 ( 100.0% ),"7,659,905,125","952,419",19
5/19/2018,1,0.0%,1,0.0%,622,0.0%,96.1%,"6,578,000",6578000 ( 100.0% ),598,598 ( 100.0% ),"7,666,483,125","953,017",18
5/20/2018,1,0.0%,1,0.0%,104,0.0%,78.8%,"574,000",-6004000 ( -91.3% ),82,-516 ( -86.3% ),"7,667,057,125","953,099",39
5/26/2018,1,0.0%,1,0.0%,59,0.0%,18.6%,"110,000",110000 ( 100.0% ),11,11 ( 100.0% ),"7,667,167,125","953,110",84
5/27/2018,1,0.0%,1,0.0%,59,0.0%,18.6%,"110,000",0 ( 0.0% ),11,0 ( 0.0% ),"7,667,277,125","953,121",67
5/28/2018,1,0.0%,1,0.0%,59,0.0%,10.2%,"60,000",-50000 ( -45.5% ),6,-5 ( -45.5% ),"7,667,337,125","953,127",67
5/30/2018,1,0.0%,1,0.0%,59,0.0%,8.5%,"50,000",50000 ( 100.0% ),5,5 ( 100.0% ),"7,667,387,125","953,132",80
5/31/2018,1,0.0%,1,0.0%,59,0.0%,5.1%,"30,000",-20000 ( -40.0% ),3,-2 ( -40.0% ),"7,667,417,125","953,135",98
6/1/2018,1,0.0%,1,0.0%,59,0.0%,18.6%,"110,000",80000 ( 266.7% ),11,8 ( 266.7% ),"7,667,527,125","953,146",81
6/2/2018,1,0.0%,2,0.0%,118,0.0%,6.8%,"80,000",-30000 ( -27.3% ),8,-3 ( -27.3% ),"7,667,607,125","953,154",84
6/3/2018,1,0.0%,1,0.0%,59,0.0%,10.2%,"60,000",-20000 ( -25.0% ),6,-2 ( -25.0% ),"7,667,667,125","953,160",86
6/4/2018,1,0.0%,1,0.0%,59,0.0%,3.4%,"20,000",-40000 ( -66.7% ),2,-4 ( -66.7% ),"7,667,687,125","953,162",86
6/5/2018,1,0.0%,1,0.0%,59,0.0%,6.8%,"40,000",20000 ( 100.0% ),4,2 ( 100.0% ),"7,667,727,125","953,166",90
