'그것' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
9/6/2017,752,14.0%,"3,191",19.2%,"596,155",21.9%,12.9%,"607,948,000",602672000 ( 11422.9% ),"76,925",76315 ( 12510.7% ),"618,280,000","78,193",2
9/7/2017,785,13.3%,"3,174",18.9%,"589,431",21.5%,12.9%,"600,238,800",-7709200 ( -1.3% ),"75,819",-1106 ( -1.4% ),"1,218,518,800","154,012",2
9/8/2017,804,13.3%,"3,279",19.0%,"599,538",21.3%,16.7%,"859,264,819",259026019 ( 43.2% ),"100,066",24247 ( 32.0% ),"2,077,783,619","254,078",2
9/9/2017,837,13.1%,"3,447",18.6%,"612,239",20.4%,29.6%,"1,537,084,807",677819988 ( 78.9% ),"181,519",81453 ( 81.4% ),"3,614,868,426","435,597",2
9/10/2017,805,12.8%,"3,291",18.2%,"581,744",19.8%,23.5%,"1,167,078,500",-370006307 ( -24.1% ),"136,830",-44689 ( -24.6% ),"4,781,946,926","572,427",2
9/11/2017,731,13.0%,"2,905",17.7%,"525,108",19.6%,7.7%,"318,951,900",-848126600 ( -72.7% ),"40,529",-96301 ( -70.4% ),"5,100,898,826","612,956",2
9/12/2017,739,13.0%,"2,803",17.3%,"509,905",19.2%,6.5%,"259,506,600",-59445300 ( -18.6% ),"33,140",-7389 ( -18.2% ),"5,360,405,426","646,096",2
9/13/2017,690,11.3%,"2,287",14.0%,"401,203",15.0%,6.9%,"215,931,600",-43575000 ( -16.8% ),"27,646",-5494 ( -16.6% ),"5,576,337,026","673,742",3
9/14/2017,456,8.0%,"1,193",7.0%,"172,940",6.1%,9.7%,"129,363,100",-86568500 ( -40.1% ),"16,765",-10881 ( -39.4% ),"5,705,700,126","690,507",5
9/15/2017,462,7.9%,"1,268",7.2%,"182,711",6.3%,14.8%,"226,663,048",97299948 ( 75.2% ),"27,068",10303 ( 61.5% ),"5,932,363,174","717,575",4
9/16/2017,481,7.5%,"1,265",6.7%,"174,918",5.7%,29.6%,"430,638,733",203975685 ( 90.0% ),"51,798",24730 ( 91.4% ),"6,363,001,907","769,373",4
9/17/2017,481,7.6%,"1,259",6.8%,"174,490",5.8%,23.2%,"337,884,200",-92754533 ( -21.5% ),"40,416",-11382 ( -22.0% ),"6,700,886,107","809,789",5
9/18/2017,430,7.7%,"1,085",6.6%,"155,571",5.7%,6.7%,"79,931,200",-257953000 ( -76.3% ),"10,386",-30030 ( -74.3% ),"6,780,817,307","820,175",5
9/19/2017,417,7.3%,"1,050",6.4%,"152,508",5.7%,5.9%,"69,877,400",-10053800 ( -12.6% ),"9,039",-1347 ( -13.0% ),"6,850,694,707","829,214",5
9/20/2017,418,7.3%,"1,046",6.4%,"151,923",5.6%,6.0%,"69,980,800",103400 ( 0.1% ),"9,148",109 ( 1.2% ),"6,920,675,507","838,362",5
9/21/2017,220,4.1%,381,2.3%,"57,220",2.1%,7.0%,"31,291,300",-38689500 ( -55.3% ),"3,979",-5169 ( -56.5% ),"6,951,966,807","842,341",9
9/22/2017,238,4.3%,434,2.6%,"63,232",2.3%,11.2%,"60,879,600",29588300 ( 94.6% ),"7,073",3094 ( 77.8% ),"7,012,846,407","849,414",7
9/23/2017,237,3.9%,461,2.5%,"61,342",2.1%,21.4%,"110,429,500",49549900 ( 81.4% ),"13,134",6061 ( 85.7% ),"7,123,275,907","862,548",7
9/24/2017,240,4.0%,453,2.5%,"60,787",2.1%,17.0%,"88,240,200",-22189300 ( -20.1% ),"10,361",-2773 ( -21.1% ),"7,211,516,107","872,909",7
9/25/2017,219,4.2%,381,2.4%,"55,694",2.1%,5.4%,"23,195,000",-65045200 ( -73.7% ),"2,992",-7369 ( -71.1% ),"7,234,711,107","875,901",9
9/26/2017,215,4.0%,372,2.3%,"54,485",2.1%,5.1%,"21,208,800",-1986200 ( -8.6% ),"2,772",-220 ( -7.4% ),"7,255,919,907","878,673",11
9/27/2017,35,0.7%,51,0.3%,"6,716",0.3%,11.9%,"4,843,100",-16365700 ( -77.2% ),801,-1971 ( -71.1% ),"7,260,763,007","879,474",16
9/28/2017,29,0.6%,46,0.3%,"5,896",0.2%,10.3%,"4,609,500",-233600 ( -4.8% ),608,-193 ( -24.1% ),"7,265,372,507","880,082",19
