'오리엔트 특급 살인' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
11/29/2017,629,11.6%,"2,485",14.1%,"370,249",12.9%,25.5%,"556,848,900",556848900 ( 100.0% ),"94,340",94340 ( 100.0% ),"566,087,900","95,441",3
11/30/2017,649,11.8%,"2,625",15.0%,"410,150",14.5%,14.8%,"441,016,400",-115832500 ( -20.8% ),"60,764",-33576 ( -35.6% ),"1,007,104,300","156,205",3
12/1/2017,663,12.1%,"2,914",16.3%,"464,726",15.9%,15.3%,"578,369,155",137352755 ( 31.1% ),"70,962",10198 ( 16.8% ),"1,585,473,455","227,167",3
12/2/2017,700,12.0%,"3,317",17.3%,"554,991",18.0%,25.5%,"1,186,744,973",608375818 ( 105.2% ),"141,706",70744 ( 99.7% ),"2,772,218,428","368,873",3
12/3/2017,707,12.1%,"3,208",17.2%,"538,459",17.9%,22.3%,"999,706,500",-187038473 ( -15.8% ),"119,988",-21718 ( -15.3% ),"3,771,924,928","488,861",3
12/4/2017,645,12.6%,"2,821",16.7%,"481,507",17.4%,7.9%,"278,407,300",-721299200 ( -72.2% ),"38,169",-81819 ( -68.2% ),"4,050,332,228","527,030",3
12/5/2017,645,12.2%,"2,761",16.4%,"470,104",17.0%,7.8%,"264,001,000",-14406300 ( -5.2% ),"36,827",-1342 ( -3.5% ),"4,314,333,228","563,857",3
12/6/2017,659,12.5%,"2,727",16.3%,"462,166",16.8%,7.8%,"258,964,900",-5036100 ( -1.9% ),"35,949",-878 ( -2.4% ),"4,573,298,128","599,806",3
12/7/2017,537,8.7%,"1,661",9.5%,"278,783",9.8%,10.0%,"197,975,400",-60989500 ( -23.6% ),"27,804",-8145 ( -22.7% ),"4,771,273,528","627,610",5
12/8/2017,565,8.7%,"1,682",9.4%,"282,051",9.7%,12.8%,"282,900,365",84924965 ( 42.9% ),"36,181",8377 ( 30.1% ),"5,054,173,893","663,791",4
12/9/2017,543,7.8%,"1,559",8.1%,"250,844",8.0%,23.3%,"493,090,070",210189705 ( 74.3% ),"58,481",22300 ( 61.6% ),"5,547,263,963","722,272",5
