'대립군' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
5/31/2017,809,17.0%,"3,532",21.7%,"617,853",23.4%,22.1%,"800,909,400",784772400 ( 4863.2% ),"136,240",134226 ( 6664.6% ),"895,344,000","146,984",2
6/1/2017,776,15.6%,"3,447",21.1%,"603,060",22.8%,12.1%,"532,286,700",-268622700 ( -33.5% ),"73,171",-63069 ( -46.3% ),"1,427,630,700","220,155",2
6/2/2017,786,15.7%,"3,419",20.6%,"597,322",22.3%,14.4%,"693,724,105",161437405 ( 30.3% ),"85,851",12680 ( 17.3% ),"2,121,354,805","306,006",3
6/3/2017,725,13.2%,"3,194",18.1%,"547,605",19.3%,28.1%,"1,274,123,297",580399192 ( 83.7% ),"153,756",67905 ( 79.1% ),"3,395,478,102","459,762",3
6/4/2017,714,13.1%,"3,047",17.6%,"525,357",18.9%,25.6%,"1,115,793,400",-158329897 ( -12.4% ),"134,745",-19011 ( -12.4% ),"4,511,271,502","594,507",3
6/5/2017,687,13.6%,"3,058",18.1%,"505,296",18.5%,14.5%,"534,008,000",-581785400 ( -52.1% ),"73,276",-61469 ( -45.6% ),"5,045,279,502","667,783",4
6/6/2017,534,10.1%,"1,535",8.5%,"203,966",6.9%,30.2%,"494,292,500",-39715500 ( -7.4% ),"61,573",-11703 ( -16.0% ),"5,539,572,002","729,356",5
6/7/2017,513,11.2%,"1,543",9.2%,"199,892",7.3%,8.7%,"122,084,000",-372208500 ( -75.3% ),"17,446",-44127 ( -71.7% ),"5,661,656,002","746,802",5
6/8/2017,436,8.9%,930,5.5%,"117,649",4.2%,9.0%,"72,813,000",-49271000 ( -40.4% ),"10,589",-6857 ( -39.3% ),"5,734,469,002","757,391",6
6/9/2017,442,8.8%,931,5.4%,"118,817",4.2%,8.5%,"76,302,300",3489300 ( 4.8% ),"10,115",-474 ( -4.5% ),"5,810,771,302","767,506",6
6/10/2017,388,6.9%,669,3.6%,"83,432",2.8%,15.9%,"105,799,300",29497000 ( 38.7% ),"13,284",3169 ( 31.3% ),"5,916,570,602","780,790",6
6/11/2017,364,6.5%,629,3.5%,"78,822",2.7%,15.0%,"94,842,200",-10957100 ( -10.4% ),"11,850",-1434 ( -10.8% ),"6,011,412,802","792,640",6
6/12/2017,390,8.1%,745,4.5%,"93,562",3.4%,6.2%,"39,503,300",-55338900 ( -58.3% ),"5,785",-6065 ( -51.2% ),"6,050,916,102","798,425",6
6/13/2017,379,7.6%,706,4.3%,"88,023",3.2%,6.3%,"36,607,500",-2895800 ( -7.3% ),"5,550",-235 ( -4.1% ),"6,087,523,602","803,975",6
6/14/2017,351,7.3%,658,4.1%,"82,926",3.1%,6.3%,"36,800,600",193100 ( 0.5% ),"5,244",-306 ( -5.5% ),"6,124,324,202","809,219",6
6/15/2017,101,1.9%,146,0.8%,"19,606",0.7%,8.8%,"11,372,900",-25427700 ( -69.1% ),"1,733",-3511 ( -67.0% ),"6,135,697,102","810,952",10
6/16/2017,100,1.8%,142,0.8%,"17,260",0.6%,12.0%,"14,600,700",3227800 ( 28.4% ),"2,076",343 ( 19.8% ),"6,150,297,802","813,028",8
6/17/2017,76,1.2%,108,0.6%,"12,724",0.4%,11.6%,"11,513,700",-3087000 ( -21.1% ),"1,476",-600 ( -28.9% ),"6,161,811,502","814,504",19
6/18/2017,71,1.2%,96,0.5%,"13,470",0.4%,9.3%,"9,862,000",-1651700 ( -14.3% ),"1,253",-223 ( -15.1% ),"6,171,673,502","815,757",20
6/19/2017,75,1.5%,116,0.7%,"16,454",0.6%,8.6%,"8,705,300",-1156700 ( -11.7% ),"1,410",157 ( 12.5% ),"6,180,378,802","817,167",8
6/20/2017,80,1.5%,120,0.7%,"15,690",0.6%,7.6%,"7,515,500",-1189800 ( -13.7% ),"1,194",-216 ( -15.3% ),"6,187,894,302","818,361",13
6/21/2017,91,1.8%,98,0.6%,"16,936",0.7%,81.2%,"56,013,500",48498000 ( 645.3% ),"13,750",12556 ( 1051.6% ),"6,243,907,802","832,111",5
6/22/2017,19,0.4%,20,0.1%,"2,717",0.1%,33.1%,"5,689,500",-50324000 ( -89.8% ),899,-12851 ( -93.5% ),"6,249,597,302","833,010",14
6/23/2017,17,0.3%,17,0.1%,"2,187",0.1%,9.9%,"1,524,500",-4165000 ( -73.2% ),216,-683 ( -76.0% ),"6,251,121,802","833,226",32
6/24/2017,11,0.2%,12,0.1%,"1,507",0.1%,17.3%,"1,955,100",430600 ( 28.2% ),261,45 ( 20.8% ),"6,253,076,902","833,487",30
6/25/2017,12,0.2%,13,0.1%,"1,646",0.1%,14.5%,"1,867,500",-87600 ( -4.5% ),239,-22 ( -8.4% ),"6,254,944,402","833,726",29
6/26/2017,18,0.4%,19,0.1%,"2,547",0.1%,31.5%,"4,022,500",2155000 ( 115.4% ),802,563 ( 235.6% ),"6,258,966,902","834,528",13
6/27/2017,14,0.3%,15,0.1%,"1,886",0.1%,16.6%,"2,242,500",-1780000 ( -44.3% ),314,-488 ( -60.8% ),"6,261,209,402","834,842",25
6/28/2017,8,0.2%,8,0.1%,"1,366",0.1%,52.9%,"3,319,000",1076500 ( 48.0% ),722,408 ( 129.9% ),"6,264,528,402","835,564",14
6/29/2017,6,0.1%,6,0.0%,"1,044",0.0%,50.4%,"2,287,000",-1032000 ( -31.1% ),526,-196 ( -27.1% ),"6,266,815,402","836,090",19
6/30/2017,3,0.1%,3,0.0%,473,0.0%,10.6%,"380,000",-1907000 ( -83.4% ),50,-476 ( -90.5% ),"6,267,195,402","836,140",71
7/1/2017,4,0.1%,4,0.0%,633,0.0%,30.8%,"1,670,000",1290000 ( 339.5% ),195,145 ( 290.0% ),"6,268,865,402","836,335",36
7/2/2017,3,0.1%,3,0.0%,473,0.0%,13.7%,"500,000",-1170000 ( -70.1% ),65,-130 ( -66.7% ),"6,269,365,402","836,400",63
7/3/2017,3,0.1%,3,0.0%,473,0.0%,10.6%,"380,000",-120000 ( -24.0% ),50,-15 ( -23.1% ),"6,269,745,402","836,450",57
7/4/2017,3,0.1%,3,0.0%,473,0.0%,10.6%,"380,000",0 ( 0.0% ),50,0 ( 0.0% ),"6,270,125,402","836,500",66
7/5/2017,5,0.1%,5,0.0%,803,0.0%,50.9%,"2,752,000",2372000 ( 624.2% ),409,359 ( 718.0% ),"6,272,877,402","836,909",17
7/6/2017,2,0.0%,2,0.0%,225,0.0%,13.3%,"220,000",-2532000 ( -92.0% ),30,-379 ( -92.7% ),"6,273,097,402","836,939",56
7/7/2017,3,0.1%,3,0.0%,507,0.0%,55.4%,"1,726,000",1506000 ( 684.5% ),281,251 ( 836.7% ),"6,274,823,402","837,220",29
7/8/2017,2,0.0%,2,0.0%,225,0.0%,20.0%,"340,000",-1386000 ( -80.3% ),45,-236 ( -84.0% ),"6,275,163,402","837,265",62
7/9/2017,2,0.0%,2,0.0%,225,0.0%,20.0%,"340,000",0 ( 0.0% ),45,0 ( 0.0% ),"6,275,503,402","837,310",61
7/10/2017,2,0.0%,2,0.0%,225,0.0%,13.3%,"220,000",-120000 ( -35.3% ),30,-15 ( -33.3% ),"6,275,723,402","837,340",56
7/11/2017,2,0.0%,2,0.0%,225,0.0%,13.3%,"220,000",0 ( 0.0% ),30,0 ( 0.0% ),"6,275,943,402","837,370",68
7/12/2017,2,0.0%,2,0.0%,225,0.0%,13.3%,"220,000",0 ( 0.0% ),30,0 ( 0.0% ),"6,276,163,402","837,400",71
7/13/2017,1,0.0%,1,0.0%,108,0.0%,9.3%,"80,000",-140000 ( -63.6% ),10,-20 ( -66.7% ),"6,276,243,402","837,410",78
7/14/2017,1,0.0%,1,0.0%,108,0.0%,9.3%,"80,000",0 ( 0.0% ),10,0 ( 0.0% ),"6,276,323,402","837,420",78
7/15/2017,1,0.0%,1,0.0%,108,0.0%,23.1%,"200,000",120000 ( 150.0% ),25,15 ( 150.0% ),"6,276,523,402","837,445",66
7/16/2017,1,0.0%,1,0.0%,108,0.0%,23.1%,"200,000",0 ( 0.0% ),25,0 ( 0.0% ),"6,276,723,402","837,470",63
7/17/2017,1,0.0%,1,0.0%,108,0.0%,9.3%,"80,000",-120000 ( -60.0% ),10,-15 ( -60.0% ),"6,276,803,402","837,480",73
7/18/2017,1,0.0%,1,0.0%,108,0.0%,9.3%,"80,000",0 ( 0.0% ),10,0 ( 0.0% ),"6,276,883,402","837,490",84
7/19/2017,1,0.0%,1,0.0%,108,0.0%,9.3%,"80,000",0 ( 0.0% ),10,0 ( 0.0% ),"6,276,963,402","837,500",84
