'석조저택 살인사건' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-05-09,493,8.0%,"1,921",10.5%,"258,585",8.7%,32.5%,"686,422,300",671862300 ( 4614.4% ),"84,068",82248 ( 4519.1% ),"730,034,300","89,608",5
2017-05-10,460,9.1%,"1,952",11.8%,"259,869",9.6%,9.8%,"187,922,200",-498500100 ( -72.6% ),"25,466",-58602 ( -69.7% ),"917,956,500","115,074",5
2017-05-11,460,8.6%,"1,921",11.6%,"256,820",9.4%,10.3%,"199,915,400",11993200 ( 6.4% ),"26,492",1026 ( 4.0% ),"1,117,871,900","141,566",5
2017-05-12,472,8.6%,"1,947",11.4%,"254,155",9.1%,13.8%,"283,134,845",83219445 ( 41.6% ),"35,076",8584 ( 32.4% ),"1,401,006,745","176,642",5
2017-05-13,539,8.8%,"1,906",10.5%,"247,608",8.3%,24.9%,"518,259,241",235124396 ( 83.0% ),"61,720",26644 ( 76.0% ),"1,919,265,986","238,362",5
2017-05-14,538,8.8%,"1,847",10.4%,"239,363",8.3%,22.4%,"451,035,600",-67223641 ( -13.0% ),"53,527",-8193 ( -13.3% ),"2,370,301,586","291,889",5
2017-05-15,458,8.9%,"1,867",11.5%,"242,720",9.1%,8.9%,"160,221,600",-290814000 ( -64.5% ),"21,599",-31928 ( -59.6% ),"2,530,523,186","313,488",5
2017-05-16,457,8.9%,"1,812",11.4%,"235,336",8.9%,6.4%,"111,344,600",-48877000 ( -30.5% ),"15,096",-6503 ( -30.1% ),"2,641,867,786","328,584",5
2017-05-17,274,5.5%,507,3.0%,"62,423",2.3%,6.4%,"28,268,400",-83076200 ( -74.6% ),"3,994",-11102 ( -73.5% ),"2,670,136,186","332,578",8
2017-05-18,252,4.6%,398,2.4%,"48,768",1.8%,5.7%,"18,801,200",-9467200 ( -33.5% ),"2,801",-1193 ( -29.9% ),"2,688,937,386","335,379",10
