'베이비 드라이버' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
9/13/2017,669,11.0%,"1,740",10.7%,"308,758",11.5%,10.0%,"237,697,000",237697000 ( 100.0% ),"30,803",30803 ( 100.0% ),"248,080,000","32,040",2
9/14/2017,676,11.8%,"3,231",18.9%,"623,666",22.2%,8.3%,"388,963,100",151266100 ( 63.6% ),"51,772",20969 ( 68.1% ),"637,043,100","83,812",2
9/15/2017,710,12.2%,"3,360",19.1%,"646,804",22.4%,10.8%,"584,289,007",195325907 ( 50.2% ),"69,548",17776 ( 34.3% ),"1,221,332,107","153,360",2
9/16/2017,778,12.1%,"3,667",19.4%,"687,900",22.3%,20.6%,"1,213,692,240",629403233 ( 107.7% ),"141,979",72431 ( 104.1% ),"2,435,024,347","295,339",2
9/17/2017,771,12.2%,"3,588",19.5%,"673,881",22.5%,18.8%,"1,080,071,900",-133620340 ( -11.0% ),"126,717",-15262 ( -10.7% ),"3,515,096,247","422,056",2
9/18/2017,694,12.4%,"3,224",19.5%,"629,355",23.1%,6.6%,"310,424,800",-769647100 ( -71.3% ),"41,410",-85307 ( -67.3% ),"3,825,521,047","463,466",2
9/19/2017,716,12.6%,"3,199",19.6%,"622,633",23.1%,6.1%,"284,096,800",-26328000 ( -8.5% ),"37,773",-3637 ( -8.8% ),"4,109,617,847","501,239",2
9/20/2017,713,12.5%,"3,236",19.8%,"626,127",23.2%,6.1%,"288,505,600",4408800 ( 1.6% ),"38,459",686 ( 1.8% ),"4,398,123,447","539,698",2
9/21/2017,468,8.6%,"1,860",11.4%,"337,010",12.5%,7.2%,"183,981,800",-104523800 ( -36.2% ),"24,153",-14306 ( -37.2% ),"4,582,105,247","563,851",3
9/22/2017,500,9.0%,"1,923",11.4%,"346,684",12.5%,9.5%,"278,027,253",94045453 ( 51.1% ),"33,033",8880 ( 36.8% ),"4,860,132,500","596,884",3
9/23/2017,550,9.0%,"2,132",11.7%,"359,208",12.1%,17.9%,"550,022,060",271994807 ( 97.8% ),"64,186",31153 ( 94.3% ),"5,410,154,560","661,070",3
9/24/2017,551,9.1%,"2,083",11.7%,"351,589",12.1%,16.2%,"489,404,000",-60618060 ( -11.0% ),"57,092",-7094 ( -11.1% ),"5,899,558,560","718,162",3
9/25/2017,490,9.4%,"1,900",12.0%,"345,334",13.1%,4.9%,"127,996,700",-361407300 ( -73.8% ),"17,010",-40082 ( -70.2% ),"6,027,555,260","735,172",3
9/26/2017,491,9.0%,"1,859",11.7%,"336,812",12.9%,4.7%,"118,694,800",-9301900 ( -7.3% ),"15,805",-1205 ( -7.1% ),"6,146,250,060","750,977",3
9/27/2017,335,6.3%,649,4.1%,"85,707",3.3%,10.0%,"50,197,300",-68497500 ( -57.7% ),"8,548",-7257 ( -45.9% ),"6,196,447,360","759,525",4
9/28/2017,276,5.3%,550,3.4%,"76,116",2.9%,8.0%,"46,009,700",-4187600 ( -8.3% ),"6,100",-2448 ( -28.6% ),"6,242,457,060","765,625",4
9/29/2017,305,5.8%,584,3.5%,"79,308",2.9%,14.2%,"88,902,774",42893074 ( 93.2% ),"11,252",5152 ( 84.5% ),"6,331,359,834","776,877",4
9/30/2017,277,4.8%,470,2.6%,"62,220",2.1%,19.5%,"98,443,280",9540506 ( 10.7% ),"12,118",866 ( 7.7% ),"6,429,803,114","788,995",6
