'위대한 쇼맨' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
12/20/2017,649,12.6%,"2,736",16.7%,"409,146",15.4%,10.0%,"306,750,400",305486400 ( 24168.2% ),"40,995",40837 ( 25846.2% ),"337,383,400","44,578",3
12/21/2017,661,11.7%,"2,642",15.8%,"393,419",14.6%,11.4%,"337,364,700",30614300 ( 10.0% ),"44,826",3831 ( 9.3% ),"674,748,100","89,404",3
12/22/2017,702,12.3%,"2,578",15.0%,"378,771",13.7%,14.9%,"470,051,302",132686602 ( 39.3% ),"56,303",11477 ( 25.6% ),"1,144,799,402","145,707",3
12/23/2017,658,10.4%,"2,123",11.4%,"297,524",10.0%,33.0%,"832,596,629",362545327 ( 77.1% ),"98,073",41770 ( 74.2% ),"1,977,396,031","243,780",3
12/24/2017,642,10.2%,"2,072",11.0%,"289,296",9.6%,51.3%,"1,271,313,300",438716671 ( 52.7% ),"148,266",50193 ( 51.2% ),"3,248,709,331","392,046",3
12/25/2017,638,10.1%,"1,991",10.8%,"278,608",9.5%,55.9%,"1,310,888,800",39575500 ( 3.1% ),"155,795",7529 ( 5.1% ),"4,559,598,131","547,841",3
12/26/2017,658,11.7%,"2,206",13.0%,"304,151",11.2%,17.7%,"405,082,000",-905806800 ( -69.1% ),"53,836",-101959 ( -65.4% ),"4,964,680,131","601,677",3
12/27/2017,424,7.8%,821,4.8%,"105,574",3.8%,34.1%,"229,170,200",-175911800 ( -43.4% ),"36,053",-17783 ( -33.0% ),"5,193,850,331","637,730",4
12/28/2017,409,7.4%,787,4.6%,"102,604",3.7%,28.7%,"222,725,700",-6444500 ( -2.8% ),"29,448",-6605 ( -18.3% ),"5,416,576,031","667,178",4
12/29/2017,411,7.4%,787,4.4%,"104,182",3.7%,37.9%,"331,952,780",109227080 ( 49.0% ),"39,483",10035 ( 34.1% ),"5,748,528,811","706,661",4
12/30/2017,407,7.0%,756,4.1%,"96,908",3.3%,51.9%,"423,910,789",91958009 ( 27.7% ),"50,258",10775 ( 27.3% ),"6,172,439,600","756,919",4
12/31/2017,412,7.1%,792,4.2%,"103,887",3.5%,55.5%,"484,599,600",60688811 ( 14.3% ),"57,668",7410 ( 14.7% ),"6,657,039,200","814,587",4
1/1/2018,432,7.6%,843,4.7%,"111,171",3.9%,54.0%,"509,959,700",25360100 ( 5.2% ),"60,072",2404 ( 4.2% ),"7,166,998,900","874,659",4
1/2/2018,444,8.3%,949,5.5%,"124,128",4.5%,28.3%,"269,267,500",-240692200 ( -47.2% ),"35,182",-24890 ( -41.4% ),"7,436,266,400","909,841",4
1/3/2018,366,6.9%,833,4.8%,"109,565",3.9%,23.6%,"197,451,900",-71815600 ( -26.7% ),"25,851",-9331 ( -26.5% ),"7,633,718,300","935,692",6
1/4/2018,348,6.2%,792,4.5%,"104,320",3.7%,23.1%,"186,925,500",-10526400 ( -5.3% ),"24,109",-1742 ( -6.7% ),"7,820,643,800","959,801",6
1/5/2018,346,6.2%,799,4.5%,"104,177",3.7%,26.9%,"242,077,900",55152400 ( 29.5% ),"28,042",3933 ( 16.3% ),"8,062,721,700","987,843",5
1/6/2018,353,6.1%,751,4.1%,"98,042",3.3%,44.8%,"378,607,600",136529700 ( 56.4% ),"43,965",15923 ( 56.8% ),"8,441,329,300","1,031,808",6
1/7/2018,352,6.1%,746,4.1%,"98,723",3.4%,40.6%,"345,798,300",-32809300 ( -8.7% ),"40,085",-3880 ( -8.8% ),"8,787,127,600","1,071,893",6
1/8/2018,368,7.0%,818,4.8%,"107,197",3.9%,19.8%,"165,805,900",-179992400 ( -52.1% ),"21,194",-18891 ( -47.1% ),"8,952,933,500","1,093,087",5
1/9/2018,371,6.9%,806,4.7%,"105,216",3.8%,20.2%,"165,811,700",5800 ( 0.0% ),"21,217",23 ( 0.1% ),"9,118,745,200","1,114,304",5
1/10/2018,377,7.0%,832,4.9%,"108,496",4.0%,20.8%,"176,585,700",10774000 ( 6.5% ),"22,621",1404 ( 6.6% ),"9,295,330,900","1,136,925",5
1/11/2018,203,3.5%,362,2.1%,"46,688",1.7%,24.9%,"91,539,000",-85046700 ( -48.2% ),"11,648",-10973 ( -48.5% ),"9,386,869,900","1,148,573",6
1/12/2018,224,3.8%,408,2.3%,"53,148",1.9%,28.3%,"131,578,400",40039400 ( 43.7% ),"15,055",3407 ( 29.2% ),"9,518,448,300","1,163,628",6
1/13/2018,222,3.6%,411,2.3%,"52,787",1.8%,46.6%,"215,064,700",83486300 ( 63.4% ),"24,602",9547 ( 63.4% ),"9,733,513,000","1,188,230",6
1/14/2018,232,3.8%,420,2.4%,"53,024",1.9%,43.9%,"201,040,900",-14023800 ( -6.5% ),"23,253",-1349 ( -5.5% ),"9,934,553,900","1,211,483",6
1/15/2018,237,4.2%,454,2.7%,"62,035",2.3%,21.9%,"106,900,300",-94140600 ( -46.8% ),"13,580",-9673 ( -41.6% ),"10,041,454,200","1,225,063",5
1/16/2018,234,4.0%,459,2.7%,"61,355",2.3%,23.9%,"114,508,300",7608000 ( 7.1% ),"14,645",1065 ( 7.8% ),"10,155,962,500","1,239,708",5
1/17/2018,108,1.9%,171,1.0%,"22,916",0.8%,28.4%,"50,769,300",-63739000 ( -55.7% ),"6,509",-8136 ( -55.6% ),"10,206,731,800","1,246,217",7
1/18/2018,108,1.9%,156,0.9%,"21,158",0.8%,27.5%,"45,546,600",-5222700 ( -10.3% ),"5,824",-685 ( -10.5% ),"10,252,278,400","1,252,041",8
1/19/2018,113,2.0%,182,1.0%,"24,031",0.9%,29.4%,"61,479,700",15933100 ( 35.0% ),"7,073",1249 ( 21.4% ),"10,313,758,100","1,259,114",7
1/20/2018,121,2.0%,198,1.1%,"26,153",0.9%,42.0%,"95,174,200",33694500 ( 54.8% ),"10,982",3909 ( 55.3% ),"10,408,932,300","1,270,096",7
1/21/2018,121,2.0%,201,1.1%,"26,128",0.9%,39.7%,"90,213,100",-4961100 ( -5.2% ),"10,385",-597 ( -5.4% ),"10,499,145,400","1,280,481",7
1/22/2018,135,2.5%,216,1.3%,"29,355",1.1%,19.8%,"45,560,300",-44652800 ( -49.5% ),"5,826",-4559 ( -43.9% ),"10,544,705,700","1,286,307",7
1/23/2018,144,2.5%,225,1.3%,"29,642",1.1%,19.8%,"45,317,900",-242400 ( -0.5% ),"5,879",53 ( 0.9% ),"10,590,023,600","1,292,186",7
1/24/2018,106,1.9%,165,0.9%,"22,374",0.8%,18.5%,"32,218,600",-13099300 ( -28.9% ),"4,131",-1748 ( -29.7% ),"10,622,242,200","1,296,317",9
1/25/2018,104,1.6%,141,0.8%,"19,328",0.7%,19.3%,"29,050,600",-3168000 ( -9.8% ),"3,722",-409 ( -9.9% ),"10,651,292,800","1,300,039",10
1/26/2018,111,1.7%,163,0.9%,"22,908",0.8%,20.0%,"40,341,100",11290500 ( 38.9% ),"4,590",868 ( 23.3% ),"10,691,633,900","1,304,629",9
1/27/2018,103,1.5%,166,0.9%,"22,586",0.8%,33.6%,"66,695,200",26354100 ( 65.3% ),"7,589",2999 ( 65.3% ),"10,758,329,100","1,312,218",9
1/28/2018,101,1.4%,172,0.9%,"24,439",0.8%,28.9%,"62,031,500",-4663700 ( -7.0% ),"7,070",-519 ( -6.8% ),"10,820,360,600","1,319,288",9
1/29/2018,113,1.8%,184,1.1%,"26,344",1.0%,15.6%,"31,852,800",-30178700 ( -48.7% ),"4,118",-2952 ( -41.8% ),"10,852,213,400","1,323,406",9
1/30/2018,110,1.7%,188,1.1%,"27,403",1.0%,15.6%,"32,930,500",1077700 ( 3.4% ),"4,286",168 ( 4.1% ),"10,885,143,900","1,327,692",9
1/31/2018,62,1.0%,100,0.5%,"12,543",0.4%,27.4%,"21,515,600",-11414900 ( -34.7% ),"3,442",-844 ( -19.7% ),"10,906,659,500","1,331,134",11
2/1/2018,61,1.0%,92,0.5%,"12,917",0.4%,19.8%,"19,413,400",-2102200 ( -9.8% ),"2,556",-886 ( -25.7% ),"10,926,072,900","1,333,690",14
2/2/2018,65,1.0%,103,0.6%,"14,530",0.5%,18.0%,"22,646,700",3233300 ( 16.7% ),"2,621",65 ( 2.5% ),"10,948,719,600","1,336,311",12
2/3/2018,78,1.1%,123,0.6%,"16,681",0.5%,32.2%,"47,387,600",24740900 ( 109.2% ),"5,365",2744 ( 104.7% ),"10,996,107,200","1,341,676",12
2/4/2018,72,1.0%,120,0.6%,"16,834",0.6%,29.4%,"43,763,300",-3624300 ( -7.6% ),"4,952",-413 ( -7.7% ),"11,039,870,500","1,346,628",12
2/5/2018,73,1.2%,116,0.7%,"15,427",0.6%,16.7%,"20,457,600",-23305700 ( -53.3% ),"2,575",-2377 ( -48.0% ),"11,060,328,100","1,349,203",11
