'뽀로로 극장판 공룡섬 대모험' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
12/7/2017,468,7.6%,701,4.0%,"93,055",3.3%,22.2%,"143,674,000",143674000 ( 100.0% ),"20,700",20700 ( 100.0% ),"180,144,000","25,151",6
12/8/2017,513,7.9%,829,4.6%,"107,940",3.7%,17.8%,"146,235,100",2561100 ( 1.8% ),"19,255",-1445 ( -7.0% ),"326,379,100","44,406",6
12/9/2017,739,10.6%,"1,848",9.6%,"277,040",8.9%,49.6%,"1,056,872,300",910637200 ( 622.7% ),"137,492",118237 ( 614.1% ),"1,383,251,400","181,898",2
12/10/2017,803,11.7%,"2,036",10.9%,"305,784",10.1%,46.5%,"1,101,994,400",45122100 ( 4.3% ),"142,336",4844 ( 3.5% ),"2,485,245,800","324,234",2
12/11/2017,496,8.2%,997,6.0%,"141,764",5.2%,9.9%,"100,336,100",-1001658300 ( -90.9% ),"14,062",-128274 ( -90.1% ),"2,585,581,900","338,296",6
12/12/2017,500,8.1%,"1,007",6.1%,"141,364",5.2%,10.5%,"100,966,800",630700 ( 0.6% ),"14,869",807 ( 5.7% ),"2,686,548,700","353,165",5
12/13/2017,513,8.2%,979,5.9%,"135,420",5.0%,10.6%,"95,580,300",-5386500 ( -5.3% ),"14,287",-582 ( -3.9% ),"2,782,129,000","367,452",5
12/14/2017,444,7.2%,664,4.1%,"85,569",3.3%,14.8%,"82,385,400",-13194900 ( -13.8% ),"12,644",-1643 ( -11.5% ),"2,864,514,400","380,096",6
12/15/2017,466,7.6%,711,4.3%,"92,502",3.5%,15.1%,"101,018,500",18633100 ( 22.6% ),"13,997",1353 ( 10.7% ),"2,965,532,900","394,093",6
12/16/2017,661,10.4%,"1,559",8.9%,"213,147",7.7%,38.7%,"639,400,800",538382300 ( 533.0% ),"82,557",68560 ( 489.8% ),"3,604,933,700","476,650",3
12/17/2017,655,10.5%,"1,566",9.2%,"213,483",7.9%,38.2%,"636,141,300",-3259500 ( -0.5% ),"81,501",-1056 ( -1.3% ),"4,241,075,000","558,151",3
12/18/2017,420,7.4%,702,4.5%,"87,955",3.5%,8.4%,"51,794,000",-584347300 ( -91.9% ),"7,393",-74108 ( -90.9% ),"4,292,869,000","565,544",6
12/19/2017,466,7.9%,763,4.9%,"97,083",3.9%,10.4%,"66,192,100",14398100 ( 27.8% ),"10,070",2677 ( 36.2% ),"4,359,061,100","575,614",5
12/20/2017,316,6.1%,412,2.5%,"49,623",1.9%,15.4%,"48,746,000",-17446100 ( -26.4% ),"7,618",-2452 ( -24.3% ),"4,407,807,100","583,232",5
12/21/2017,181,3.2%,202,1.2%,"24,326",0.9%,20.6%,"29,827,000",-18919000 ( -38.8% ),"5,002",-2616 ( -34.3% ),"4,437,634,100","588,234",8
12/22/2017,190,3.3%,218,1.3%,"25,658",0.9%,20.3%,"34,777,000",4950000 ( 16.6% ),"5,215",213 ( 4.3% ),"4,472,411,100","593,449",7
12/23/2017,338,5.4%,494,2.6%,"62,190",2.1%,44.7%,"214,307,000",179530000 ( 516.2% ),"27,816",22601 ( 433.4% ),"4,686,718,100","621,265",7
12/24/2017,379,6.0%,554,2.9%,"70,135",2.3%,55.5%,"304,385,500",90078500 ( 42.0% ),"38,929",11113 ( 40.0% ),"4,991,103,600","660,194",7
12/25/2017,389,6.2%,574,3.1%,"75,125",2.6%,63.3%,"370,828,700",66443200 ( 21.8% ),"47,552",8623 ( 22.2% ),"5,361,932,300","707,746",6
12/26/2017,234,4.2%,312,1.8%,"40,068",1.5%,29.9%,"82,894,800",-287933900 ( -77.6% ),"11,994",-35558 ( -74.8% ),"5,444,827,100","719,740",6
12/27/2017,142,2.6%,170,1.0%,"20,673",0.8%,40.6%,"55,435,700",-27459100 ( -33.1% ),"8,384",-3610 ( -30.1% ),"5,500,262,800","728,124",8
12/28/2017,119,2.2%,150,0.9%,"17,355",0.6%,51.2%,"60,654,500",5218800 ( 9.4% ),"8,886",502 ( 6.0% ),"5,560,917,300","737,010",8
12/29/2017,145,2.6%,195,1.1%,"23,578",0.8%,42.0%,"76,546,900",15892400 ( 26.2% ),"9,891",1005 ( 11.3% ),"5,637,464,200","746,901",8
12/30/2017,197,3.4%,273,1.5%,"33,057",1.1%,39.6%,"102,277,200",25730300 ( 33.6% ),"13,089",3198 ( 32.3% ),"5,739,741,400","759,990",8
12/31/2017,208,3.6%,288,1.5%,"34,727",1.2%,39.6%,"109,147,200",6870000 ( 6.7% ),"13,753",664 ( 5.1% ),"5,848,888,600","773,743",8
1/1/2018,195,3.4%,270,1.5%,"32,164",1.1%,42.7%,"109,207,600",60400 ( 0.1% ),"13,750",-3 ( 0.0% ),"5,958,096,200","787,493",8
