'패신저스' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
1/4/2017,524,8.8%,"2,225",12.9%,"386,038",13.7%,22.0%,"652,157,500",652157500 ( 100.0% ),"85,044",85044 ( 100.0% ),"655,365,500","85,445",3
1/5/2017,530,8.6%,"2,193",12.7%,"382,850",13.6%,17.7%,"522,148,500",-130009000 ( -19.9% ),"67,929",-17115 ( -20.1% ),"1,177,514,000","153,374",3
1/6/2017,567,8.9%,"2,243",12.7%,"388,209",13.5%,18.7%,"623,237,647",101089147 ( 19.4% ),"72,707",4778 ( 7.0% ),"1,800,751,647","226,081",3
1/7/2017,603,9.3%,"2,360",12.9%,"398,913",13.3%,37.2%,"1,268,189,171",644951524 ( 103.5% ),"148,502",75795 ( 104.2% ),"3,068,940,818","374,583",3
1/8/2017,608,9.4%,"2,272",12.7%,"382,980",13.1%,33.9%,"1,107,502,600",-160686571 ( -12.7% ),"129,810",-18692 ( -12.6% ),"4,176,443,418","504,393",3
1/9/2017,549,9.4%,"2,192",12.9%,"373,018",13.3%,9.9%,"284,265,400",-823237200 ( -74.3% ),"36,992",-92818 ( -71.5% ),"4,460,708,818","541,385",3
1/10/2017,550,9.1%,"2,140",12.6%,"362,108",12.9%,9.1%,"252,569,600",-31695800 ( -11.2% ),"33,095",-3897 ( -10.5% ),"4,713,278,418","574,480",3
1/11/2017,436,7.9%,"1,343",7.9%,"205,000",7.3%,8.5%,"132,942,900",-119626700 ( -47.4% ),"17,473",-15622 ( -47.2% ),"4,846,221,318","591,953",7
1/12/2017,397,7.0%,892,5.2%,"126,350",4.5%,8.8%,"84,264,900",-48678000 ( -36.6% ),"11,093",-6380 ( -36.5% ),"4,930,486,218","603,046",7
1/13/2017,394,6.7%,856,4.9%,"118,926",4.1%,10.7%,"107,583,000",23318100 ( 27.7% ),"12,752",1659 ( 15.0% ),"5,038,069,218","615,798",7
1/14/2017,368,6.0%,717,3.9%,"96,287",3.2%,22.5%,"184,278,200",76695200 ( 71.3% ),"21,708",8956 ( 70.2% ),"5,222,347,418","637,506",7
1/15/2017,355,5.8%,673,3.8%,"89,971",3.1%,19.3%,"146,595,900",-37682300 ( -20.4% ),"17,377",-4331 ( -20.0% ),"5,368,943,318","654,883",8
1/16/2017,345,6.1%,668,4.0%,"90,465",3.3%,6.4%,"43,373,100",-103222800 ( -70.4% ),"5,778",-11599 ( -66.7% ),"5,412,316,418","660,661",7
1/17/2017,333,5.7%,655,3.9%,"90,874",3.3%,6.2%,"41,818,000",-1555100 ( -3.6% ),"5,624",-154 ( -2.7% ),"5,454,134,418","666,285",8
1/18/2017,11,0.2%,15,0.1%,"2,514",0.1%,5.5%,"1,012,500",-40805500 ( -97.6% ),138,-5486 ( -97.5% ),"5,455,146,918","666,423",42
1/19/2017,5,0.1%,5,0.0%,671,0.0%,4.3%,"188,000",-824500 ( -81.4% ),29,-109 ( -79.0% ),"5,455,334,918","666,452",63
1/20/2017,7,0.1%,8,0.0%,"1,410",0.0%,8.2%,"1,096,000",908000 ( 483.0% ),116,87 ( 300.0% ),"5,456,430,918","666,568",42
1/21/2017,7,0.1%,8,0.0%,"1,235",0.0%,41.9%,"3,174,000",2078000 ( 189.6% ),518,402 ( 346.6% ),"5,459,604,918","667,086",20
1/22/2017,4,0.1%,4,0.0%,635,0.0%,12.6%,"569,000",-2605000 ( -82.1% ),80,-438 ( -84.6% ),"5,460,173,918","667,166",46
1/23/2017,7,0.1%,11,0.1%,"1,566",0.1%,15.5%,"1,674,000",1105000 ( 194.2% ),242,162 ( 202.5% ),"5,461,847,918","667,408",28
1/24/2017,6,0.1%,9,0.1%,"1,659",0.1%,6.8%,"847,000",-827000 ( -49.4% ),113,-129 ( -53.3% ),"5,462,694,918","667,521",45
2/2/2017,2,0.0%,2,0.0%,427,0.0%,24.4%,"570,000",570000 ( 100.0% ),104,104 ( 100.0% ),"5,463,264,918","667,625",50
2/3/2017,2,0.0%,2,0.0%,427,0.0%,24.4%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,463,834,918","667,729",46
2/4/2017,2,0.0%,2,0.0%,427,0.0%,24.4%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,464,404,918","667,833",45
2/5/2017,2,0.0%,2,0.0%,427,0.0%,24.4%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,464,974,918","667,937",39
2/6/2017,2,0.0%,2,0.0%,361,0.0%,28.8%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,465,544,918","668,041",44
2/7/2017,2,0.0%,2,0.0%,361,0.0%,28.8%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,466,114,918","668,145",45
2/8/2017,2,0.0%,2,0.0%,361,0.0%,28.8%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,466,684,918","668,249",46
2/9/2017,2,0.0%,2,0.0%,427,0.0%,24.4%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,467,254,918","668,353",55
2/10/2017,2,0.0%,2,0.0%,427,0.0%,24.4%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,467,824,918","668,457",45
2/11/2017,2,0.0%,2,0.0%,427,0.0%,24.4%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,468,394,918","668,561",46
2/12/2017,2,0.0%,2,0.0%,427,0.0%,24.4%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,468,964,918","668,665",48
2/13/2017,2,0.0%,2,0.0%,427,0.0%,24.4%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,469,534,918","668,769",47
2/14/2017,2,0.0%,2,0.0%,427,0.0%,24.4%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,470,104,918","668,873",53
2/15/2017,2,0.0%,2,0.0%,361,0.0%,28.8%,"570,000",0 ( 0.0% ),104,0 ( 0.0% ),"5,470,674,918","668,977",50
