'씽' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
12/21/2016,555,11.2%,"1,724",11.2%,"244,551",9.7%,12.5%,"220,602,700",214500700 ( 3515.3% ),"30,628",29950 ( 4417.4% ),"265,932,700","36,525",5
12/22/2016,566,11.0%,"1,745",11.2%,"246,205",9.7%,13.4%,"232,089,100",11486400 ( 5.2% ),"32,889",2261 ( 7.4% ),"498,021,800","69,414",4
12/23/2016,564,10.8%,"1,696",10.4%,"242,300",9.1%,17.9%,"343,544,621",111455521 ( 48.0% ),"43,413",10524 ( 32.0% ),"841,566,421","112,827",4
12/24/2016,771,13.2%,"2,367",13.2%,"359,557",12.4%,59.8%,"1,747,662,968",1404118347 ( 408.7% ),"214,990",171577 ( 395.2% ),"2,589,229,389","327,817",2
12/25/2016,795,13.6%,"2,396",13.7%,"368,415",13.0%,64.9%,"1,943,887,300",196224332 ( 11.2% ),"239,197",24207 ( 11.3% ),"4,533,116,689","567,014",2
12/26/2016,597,11.7%,"1,820",11.5%,"256,375",9.9%,20.5%,"383,893,600",-1559993700 ( -80.3% ),"52,504",-186693 ( -78.0% ),"4,917,010,289","619,518",4
12/27/2016,644,12.1%,"1,871",11.7%,"264,117",10.2%,23.4%,"441,869,700",57976100 ( 15.1% ),"61,927",9423 ( 17.9% ),"5,358,879,989","681,445",2
12/28/2016,581,10.7%,"1,346",8.4%,"182,504",7.0%,38.2%,"442,703,400",833700 ( 0.2% ),"69,659",7732 ( 12.5% ),"5,801,583,389","751,104",3
12/29/2016,585,11.0%,"1,409",8.8%,"191,554",7.3%,40.9%,"553,597,500",110894100 ( 25.0% ),"78,378",8719 ( 12.5% ),"6,355,180,889","829,482",3
12/30/2016,631,11.7%,"1,517",9.1%,"207,131",7.7%,48.3%,"786,442,500",232845000 ( 42.1% ),"100,025",21647 ( 27.6% ),"7,141,623,389","929,507",3
12/31/2016,690,11.7%,"1,730",10.0%,"248,148",8.8%,53.9%,"1,062,234,400",275791900 ( 35.1% ),"133,668",33643 ( 33.6% ),"8,203,857,789","1,063,175",3
1/1/2017,721,12.3%,"1,755",10.5%,"251,123",9.2%,45.9%,"943,975,500",-118258900 ( -11.1% ),"115,152",-18516 ( -13.9% ),"9,147,833,289","1,178,327",3
1/2/2017,647,12.3%,"1,718",10.8%,"245,106",9.4%,28.8%,"510,182,500",-433793000 ( -46.0% ),"70,667",-44485 ( -38.6% ),"9,658,015,789","1,248,994",2
1/3/2017,681,12.5%,"1,762",11.1%,"251,387",9.7%,28.2%,"501,522,100",-8660400 ( -1.7% ),"70,773",106 ( 0.1% ),"10,159,537,889","1,319,767",2
1/4/2017,533,9.0%,"1,113",6.5%,"159,991",5.7%,27.6%,"313,220,000",-188302100 ( -37.5% ),"44,224",-26549 ( -37.5% ),"10,472,757,889","1,363,991",5
1/5/2017,553,9.0%,"1,127",6.5%,"163,867",5.8%,25.5%,"293,819,600",-19400400 ( -6.2% ),"41,738",-2486 ( -5.6% ),"10,766,577,489","1,405,729",4
1/6/2017,566,8.9%,"1,196",6.8%,"171,175",5.9%,23.6%,"311,574,600",17755000 ( 6.0% ),"40,419",-1319 ( -3.2% ),"11,078,152,089","1,446,148",4
1/7/2017,573,8.8%,"1,309",7.2%,"191,404",6.4%,39.0%,"601,160,900",289586300 ( 92.9% ),"74,686",34267 ( 84.8% ),"11,679,312,989","1,520,834",4
1/8/2017,575,8.9%,"1,274",7.1%,"185,135",6.3%,36.9%,"553,849,300",-47311600 ( -7.9% ),"68,237",-6449 ( -8.6% ),"12,233,162,289","1,589,071",4
1/9/2017,494,8.5%,"1,137",6.7%,"164,692",5.9%,12.9%,"151,838,200",-402011100 ( -72.6% ),"21,302",-46935 ( -68.8% ),"12,385,000,489","1,610,373",4
1/10/2017,500,8.3%,"1,142",6.7%,"165,686",5.9%,15.2%,"177,040,800",25202600 ( 16.6% ),"25,162",3860 ( 18.1% ),"12,562,041,289","1,635,535",5
1/11/2017,381,6.9%,771,4.5%,"108,684",3.9%,17.7%,"131,201,200",-45839600 ( -25.9% ),"19,209",-5953 ( -23.7% ),"12,693,242,489","1,654,744",6
1/12/2017,279,4.9%,417,2.4%,"55,462",2.0%,16.7%,"63,429,900",-67771300 ( -51.7% ),"9,271",-9938 ( -51.7% ),"12,756,672,389","1,664,015",8
1/13/2017,273,4.7%,424,2.4%,"56,495",2.0%,15.4%,"65,655,300",2225400 ( 3.5% ),"8,708",-563 ( -6.1% ),"12,822,327,689","1,672,723",8
1/14/2017,286,4.6%,463,2.6%,"60,921",2.0%,31.6%,"153,400,000",87744700 ( 133.6% ),"19,241",10533 ( 121.0% ),"12,975,727,689","1,691,964",8
1/15/2017,280,4.6%,456,2.6%,"59,741",2.0%,30.3%,"146,446,500",-6953500 ( -4.5% ),"18,093",-1148 ( -6.0% ),"13,122,174,189","1,710,057",7
1/16/2017,254,4.5%,382,2.3%,"50,897",1.8%,8.7%,"31,280,800",-115165700 ( -78.6% ),"4,431",-13662 ( -75.5% ),"13,153,454,989","1,714,488",9
1/17/2017,260,4.4%,389,2.3%,"52,537",1.9%,12.2%,"43,509,100",12228300 ( 39.1% ),"6,390",1959 ( 44.2% ),"13,196,964,089","1,720,878",7
1/18/2017,43,0.8%,52,0.3%,"6,041",0.2%,24.1%,"8,830,100",-34679000 ( -79.7% ),"1,453",-4937 ( -77.3% ),"13,205,794,189","1,722,331",13
1/19/2017,42,0.7%,49,0.3%,"5,627",0.2%,23.0%,"8,319,700",-510400 ( -5.8% ),"1,296",-157 ( -10.8% ),"13,214,113,889","1,723,627",15
1/20/2017,36,0.6%,44,0.3%,"5,145",0.2%,15.2%,"5,723,900",-2595800 ( -31.2% ),783,-513 ( -39.6% ),"13,219,837,789","1,724,410",14
1/21/2017,42,0.7%,51,0.3%,"6,074",0.2%,33.7%,"16,028,300",10304400 ( 180.0% ),"2,046",1263 ( 161.3% ),"13,235,866,089","1,726,456",13
1/22/2017,39,0.7%,49,0.3%,"5,769",0.2%,31.1%,"13,927,800",-2100500 ( -13.1% ),"1,793",-253 ( -12.4% ),"13,249,793,889","1,728,249",13
1/23/2017,28,0.5%,35,0.2%,"4,203",0.2%,10.2%,"2,998,100",-10929700 ( -78.5% ),427,-1366 ( -76.2% ),"13,252,791,989","1,728,676",17
1/24/2017,32,0.6%,36,0.2%,"4,358",0.2%,22.6%,"6,013,900",3015800 ( 100.6% ),983,556 ( 130.2% ),"13,258,805,889","1,729,659",14
1/25/2017,3,0.0%,4,0.0%,738,0.0%,7.6%,"338,000",-5675900 ( -94.4% ),56,-927 ( -94.3% ),"13,259,143,889","1,729,715",56
1/26/2017,5,0.1%,5,0.0%,834,0.0%,17.9%,"799,000",461000 ( 136.4% ),149,93 ( 166.1% ),"13,259,942,889","1,729,864",34
1/27/2017,2,0.0%,2,0.0%,266,0.0%,36.8%,"779,000",-20000 ( -2.5% ),98,-51 ( -34.2% ),"13,260,721,889","1,729,962",40
1/28/2017,2,0.0%,2,0.0%,266,0.0%,25.2%,"522,000",-257000 ( -33.0% ),67,-31 ( -31.6% ),"13,261,243,889","1,730,029",45
1/29/2017,3,0.0%,3,0.0%,381,0.0%,25.7%,"764,500",242500 ( 46.5% ),98,31 ( 46.3% ),"13,262,008,389","1,730,127",38
1/30/2017,3,0.0%,3,0.0%,652,0.0%,20.2%,"1,031,500",267000 ( 34.9% ),132,34 ( 34.7% ),"13,263,039,889","1,730,259",38
1/31/2017,2,0.0%,2,0.0%,540,0.0%,7.2%,"255,000",-776500 ( -75.3% ),39,-93 ( -70.5% ),"13,263,294,889","1,730,298",58
2/1/2017,1,0.0%,1,0.0%,90,0.0%,96.7%,"435,000",180000 ( 70.6% ),87,48 ( 123.1% ),"13,263,729,889","1,730,385",47
2/2/2017,1,0.0%,1,0.0%,128,0.0%,80.5%,"618,000",183000 ( 42.1% ),103,16 ( 18.4% ),"13,264,347,889","1,730,488",51
2/3/2017,1,0.0%,1,0.0%,94,0.0%,53.2%,"320,500",-297500 ( -48.1% ),50,-53 ( -51.5% ),"13,264,668,389","1,730,538",53
2/4/2017,1,0.0%,1,0.0%,112,0.0%,16.1%,"132,000",-188500 ( -58.8% ),18,-32 ( -64.0% ),"13,264,800,389","1,730,556",68
2/5/2017,1,0.0%,1,0.0%,112,0.0%,24.1%,"190,000",58000 ( 43.9% ),27,9 ( 50.0% ),"13,264,990,389","1,730,583",60
2/9/2017,2,0.0%,2,0.0%,138,0.0%,70.3%,"485,000",485000 ( 100.0% ),97,97 ( 100.0% ),"13,265,475,389","1,730,680",56
2/15/2017,1,0.0%,1,0.0%,386,0.0%,0.3%,"6,000",6000 ( 100.0% ),1,1 ( 100.0% ),"13,265,481,389","1,730,681",96
2/28/2017,1,0.0%,1,0.0%,386,0.0%,1.8%,"44,000",44000 ( 100.0% ),7,7 ( 100.0% ),"13,265,525,389","1,730,688",97
7/26/2017,1,0.0%,1,0.0%,118,0.0%,36.4%,"253,200",253200 ( 100.0% ),43,43 ( 100.0% ),"13,265,778,589","1,730,731",69
10/12/2017,1,0.0%,1,0.0%,206,0.0%,1.9%,"34,000",34000 ( 100.0% ),4,4 ( 100.0% ),"13,265,812,589","1,730,735",79
10/13/2017,1,0.0%,1,0.0%,206,0.0%,0.5%,"11,000",-23000 ( -67.6% ),1,-3 ( -75.0% ),"13,265,823,589","1,730,736",92
10/14/2017,1,0.0%,2,0.0%,412,0.0%,1.5%,"57,000",46000 ( 418.2% ),6,5 ( 500.0% ),"13,265,880,589","1,730,742",77
10/15/2017,1,0.0%,1,0.0%,206,0.0%,9.2%,"192,000",135000 ( 236.8% ),19,13 ( 216.7% ),"13,266,072,589","1,730,761",68
