'컨택트' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2/2/2017,509,9.5%,"2,223",13.3%,"343,390",12.5%,15.9%,"407,616,000",407604000 ( 3396700.0% ),"54,584",54582 ( 2729100.0% ),"448,158,800","59,414",3
2/3/2017,558,10.2%,"2,353",13.7%,"363,140",13.0%,16.8%,"512,632,832",105016832 ( 25.8% ),"61,006",6422 ( 11.8% ),"960,791,632","120,420",3
2/4/2017,605,10.1%,"2,414",13.5%,"374,088",12.8%,33.8%,"1,076,729,150",564096318 ( 110.0% ),"126,370",65364 ( 107.1% ),"2,037,520,782","246,790",3
2/5/2017,598,10.1%,"2,356",13.5%,"369,139",13.0%,30.2%,"946,606,900",-130122250 ( -12.1% ),"111,552",-14818 ( -11.7% ),"2,984,127,682","358,342",3
2/6/2017,546,10.6%,"2,327",14.5%,"377,277",14.3%,9.8%,"280,998,200",-665608700 ( -70.3% ),"36,897",-74655 ( -66.9% ),"3,265,125,882","395,239",3
2/7/2017,558,10.5%,"2,304",14.3%,"373,486",14.1%,9.2%,"258,802,100",-22196100 ( -7.9% ),"34,217",-2680 ( -7.3% ),"3,523,927,982","429,456",3
2/8/2017,483,9.6%,"1,910",11.5%,"304,403",11.1%,9.3%,"216,025,600",-42776500 ( -16.5% ),"28,406",-5811 ( -17.0% ),"3,739,953,582","457,862",4
2/9/2017,399,6.6%,949,5.6%,"140,038",5.0%,11.6%,"123,797,000",-92228600 ( -42.7% ),"16,178",-12228 ( -43.0% ),"3,863,750,582","474,040",6
2/10/2017,416,6.8%,965,5.6%,"140,362",5.0%,13.9%,"168,501,288",44704288 ( 36.1% ),"19,578",3400 ( 21.0% ),"4,032,251,870","493,618",6
2/11/2017,422,6.3%,868,4.8%,"124,030",4.2%,30.6%,"332,495,751",163994463 ( 97.3% ),"37,935",18357 ( 93.8% ),"4,364,747,621","531,553",5
2/12/2017,417,6.3%,829,4.7%,"121,062",4.2%,26.8%,"282,061,100",-50434651 ( -15.2% ),"32,438",-5497 ( -14.5% ),"4,646,808,721","563,991",7
2/13/2017,390,6.5%,855,5.1%,"126,018",4.6%,9.3%,"89,915,300",-192145800 ( -68.1% ),"11,734",-20704 ( -63.8% ),"4,736,724,021","575,725",6
2/14/2017,395,6.3%,841,5.0%,"124,147",4.5%,10.4%,"99,784,700",9869400 ( 11.0% ),"12,914",1180 ( 10.1% ),"4,836,508,721","588,639",6
2/15/2017,93,1.7%,149,0.9%,"20,280",0.7%,15.0%,"22,998,000",-76786700 ( -77.0% ),"3,032",-9882 ( -76.5% ),"4,859,506,721","591,671",13
2/16/2017,82,1.4%,123,0.7%,"18,882",0.7%,16.7%,"24,490,800",1492800 ( 6.5% ),"3,155",123 ( 4.1% ),"4,883,997,521","594,826",13
2/17/2017,77,1.3%,121,0.7%,"16,845",0.6%,21.9%,"32,283,300",7792500 ( 31.8% ),"3,682",527 ( 16.7% ),"4,916,280,821","598,508",13
2/18/2017,81,1.3%,127,0.7%,"18,808",0.6%,36.8%,"61,034,600",28751300 ( 89.1% ),"6,923",3241 ( 88.0% ),"4,977,315,421","605,431",10
2/19/2017,86,1.3%,134,0.8%,"19,595",0.7%,31.5%,"54,788,800",-6245800 ( -10.2% ),"6,181",-742 ( -10.7% ),"5,032,104,221","611,612",11
2/20/2017,76,1.3%,133,0.8%,"17,806",0.6%,16.4%,"22,638,900",-32149900 ( -58.7% ),"2,919",-3262 ( -52.8% ),"5,054,743,121","614,531",13
2/21/2017,82,1.4%,134,0.8%,"18,210",0.7%,14.9%,"20,836,100",-1802800 ( -8.0% ),"2,716",-203 ( -7.0% ),"5,075,579,221","617,247",15
2/22/2017,40,0.7%,54,0.3%,"7,042",0.2%,24.6%,"10,845,500",-9990600 ( -47.9% ),"1,734",-982 ( -36.2% ),"5,086,424,721","618,981",18
2/23/2017,38,0.6%,55,0.3%,"7,220",0.3%,15.5%,"8,819,500",-2026000 ( -18.7% ),"1,122",-612 ( -35.3% ),"5,095,244,221","620,103",22
2/24/2017,40,0.6%,57,0.3%,"7,346",0.3%,16.1%,"10,446,200",1626700 ( 18.4% ),"1,180",58 ( 5.2% ),"5,105,690,421","621,283",21
2/25/2017,43,0.6%,61,0.3%,"8,750",0.3%,31.1%,"24,002,400",13556200 ( 129.8% ),"2,717",1537 ( 130.3% ),"5,129,692,821","624,000",17
2/26/2017,39,0.6%,61,0.3%,"7,744",0.3%,29.9%,"20,654,400",-3348000 ( -13.9% ),"2,319",-398 ( -14.6% ),"5,150,347,221","626,319",18
2/27/2017,39,0.6%,56,0.3%,"7,679",0.3%,16.1%,"9,712,200",-10942200 ( -53.0% ),"1,234",-1085 ( -46.8% ),"5,160,059,421","627,553",19
2/28/2017,32,0.4%,46,0.3%,"6,566",0.2%,17.4%,"8,779,100",-933100 ( -9.6% ),"1,142",-92 ( -7.5% ),"5,168,838,521","628,695",21
3/1/2017,16,0.3%,22,0.1%,"3,578",0.1%,30.1%,"9,249,200",470100 ( 5.4% ),"1,076",-66 ( -5.8% ),"5,178,087,721","629,771",25
3/2/2017,12,0.2%,14,0.1%,"1,468",0.1%,23.2%,"2,762,500",-6486700 ( -70.1% ),341,-735 ( -68.3% ),"5,180,850,221","630,112",27
3/3/2017,10,0.2%,13,0.1%,"1,407",0.1%,23.2%,"2,860,500",98000 ( 3.5% ),326,-15 ( -4.4% ),"5,183,710,721","630,438",28
3/4/2017,10,0.2%,13,0.1%,"2,347",0.1%,22.9%,"4,655,500",1795000 ( 62.8% ),537,211 ( 64.7% ),"5,188,366,221","630,975",28
3/5/2017,12,0.2%,15,0.1%,"1,743",0.1%,22.9%,"3,387,000",-1268500 ( -27.2% ),400,-137 ( -25.5% ),"5,191,753,221","631,375",31
