'47 미터' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
7/19/2017,542,10.7%,"1,914",11.8%,"270,804",10.3%,26.6%,"535,406,300",532396300 ( 17687.6% ),"72,116",71686 ( 16671.2% ),"564,592,300","75,603",2
7/20/2017,605,10.7%,"1,894",10.3%,"252,814",8.4%,24.8%,"470,758,900",-64647400 ( -12.1% ),"62,644",-9472 ( -13.1% ),"1,035,351,200","138,247",3
7/21/2017,701,12.2%,"2,299",12.2%,"313,318",10.1%,24.7%,"633,263,832",162504932 ( 34.5% ),"77,370",14726 ( 23.5% ),"1,668,615,032","215,617",3
7/22/2017,733,11.9%,"2,699",13.6%,"388,842",12.0%,30.0%,"979,835,825",346571993 ( 54.7% ),"116,795",39425 ( 51.0% ),"2,648,450,857","332,412",3
7/23/2017,711,11.6%,"2,617",13.5%,"375,336",11.9%,28.7%,"908,432,100",-71403725 ( -7.3% ),"107,567",-9228 ( -7.9% ),"3,556,882,957","439,979",3
7/24/2017,622,11.2%,"2,597",14.1%,"373,010",12.4%,11.7%,"333,140,000",-575292100 ( -63.3% ),"43,729",-63838 ( -59.3% ),"3,890,022,957","483,708",3
7/25/2017,633,11.1%,"2,581",14.0%,"370,261",12.3%,10.7%,"299,187,400",-33952600 ( -10.2% ),"39,636",-4093 ( -9.4% ),"4,189,210,357","523,344",3
7/26/2017,364,6.6%,622,3.4%,"76,659",2.6%,17.4%,"81,798,800",-217388600 ( -72.7% ),"13,314",-26322 ( -66.4% ),"4,271,009,157","536,658",5
7/27/2017,355,6.7%,592,3.2%,"71,834",2.4%,11.3%,"59,752,300",-22046500 ( -27.0% ),"8,153",-5161 ( -38.8% ),"4,330,761,457","544,811",6
7/28/2017,339,6.4%,545,2.9%,"65,084",2.1%,13.6%,"72,326,100",12573800 ( 21.0% ),"8,849",696 ( 8.5% ),"4,403,087,557","553,660",6
7/29/2017,308,5.6%,428,2.2%,"53,953",1.7%,18.2%,"79,789,600",7463500 ( 10.3% ),"9,800",951 ( 10.7% ),"4,482,877,157","563,460",6
7/30/2017,318,5.8%,432,2.3%,"53,755",1.7%,17.6%,"76,690,100",-3099500 ( -3.9% ),"9,441",-359 ( -3.7% ),"4,559,567,257","572,901",6
7/31/2017,318,6.0%,471,2.5%,"59,349",2.0%,13.1%,"57,587,400",-19102700 ( -24.9% ),"7,760",-1681 ( -17.8% ),"4,617,154,657","580,661",6
8/1/2017,323,5.9%,473,2.5%,"60,039",2.0%,12.3%,"54,030,100",-3557300 ( -6.2% ),"7,384",-376 ( -4.8% ),"4,671,184,757","588,045",7
