'메리와 마녀의 꽃' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
12/7/2017,562,9.1%,"2,186",12.6%,"367,417",12.9%,10.9%,"293,485,000",288842700 ( 6222.0% ),"40,101",39526 ( 6874.1% ),"309,452,300","42,318",3
12/8/2017,605,9.3%,"2,232",12.5%,"374,834",12.8%,12.1%,"355,201,127",61716127 ( 21.0% ),"45,209",5108 ( 12.7% ),"664,653,427","87,527",3
12/9/2017,751,10.8%,"2,747",14.3%,"459,473",14.7%,25.5%,"926,394,212",571193085 ( 160.8% ),"117,124",71915 ( 159.1% ),"1,591,047,639","204,651",4
12/10/2017,743,10.8%,"2,692",14.4%,"448,883",14.8%,23.5%,"834,855,500",-91538712 ( -9.9% ),"105,338",-11786 ( -10.1% ),"2,425,903,139","309,989",4
12/11/2017,615,10.2%,"2,089",12.5%,"355,307",13.0%,7.1%,"175,123,300",-659732200 ( -79.0% ),"25,099",-80239 ( -76.2% ),"2,601,026,439","335,088",3
12/12/2017,598,9.7%,"1,993",12.1%,"340,593",12.6%,6.2%,"151,453,700",-23669600 ( -13.5% ),"21,252",-3847 ( -15.3% ),"2,752,480,139","356,340",3
12/13/2017,581,9.3%,"1,966",11.9%,"337,597",12.4%,7.4%,"173,743,900",22290200 ( 14.7% ),"24,937",3685 ( 17.3% ),"2,926,224,039","381,277",3
12/14/2017,416,6.8%,717,4.5%,"92,349",3.6%,14.6%,"90,389,300",-83354600 ( -48.0% ),"13,500",-11437 ( -45.9% ),"3,016,613,339","394,777",5
12/15/2017,427,7.0%,742,4.5%,"96,404",3.7%,18.0%,"122,770,100",32380800 ( 35.8% ),"17,323",3823 ( 28.3% ),"3,139,383,439","412,100",5
12/16/2017,506,8.0%,945,5.4%,"118,186",4.3%,35.1%,"320,520,200",197750100 ( 161.1% ),"41,468",24145 ( 139.4% ),"3,459,903,639","453,568",4
12/17/2017,512,8.2%,914,5.4%,"114,889",4.2%,34.7%,"309,844,000",-10676200 ( -3.3% ),"39,865",-1603 ( -3.9% ),"3,769,747,639","493,433",4
12/18/2017,404,7.1%,669,4.3%,"88,030",3.5%,9.1%,"55,168,300",-254675700 ( -82.2% ),"7,968",-31897 ( -80.0% ),"3,824,915,939","501,401",5
12/19/2017,403,6.8%,668,4.3%,"86,164",3.4%,10.1%,"58,720,900",3552600 ( 6.4% ),"8,705",737 ( 9.2% ),"3,883,636,839","510,106",7
12/20/2017,171,3.3%,211,1.3%,"25,478",1.0%,14.9%,"23,663,500",-35057400 ( -59.7% ),"3,800",-4905 ( -56.3% ),"3,907,300,339","513,906",6
12/21/2017,78,1.4%,87,0.5%,"11,396",0.4%,20.0%,"15,186,800",-8476700 ( -35.8% ),"2,284",-1516 ( -39.9% ),"3,922,487,139","516,190",10
