'발레리안: 천 개 행성의 도시' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
8/30/2017,614,10.7%,"2,317",13.4%,"421,810",15.0%,16.8%,"422,633,400",418633400 ( 10465.8% ),"70,846",70346 ( 14069.2% ),"520,538,400","80,567",4
8/31/2017,593,10.5%,"2,364",13.7%,"448,901",16.1%,8.9%,"306,544,000",-116089400 ( -27.5% ),"40,080",-30766 ( -43.4% ),"827,082,400","120,647",4
9/1/2017,583,10.2%,"2,349",13.3%,"448,755",15.7%,10.4%,"403,912,241",97368241 ( 31.8% ),"46,692",6612 ( 16.5% ),"1,230,994,641","167,339",4
9/2/2017,629,9.8%,"2,453",13.2%,"446,812",14.8%,24.2%,"931,941,067",528028826 ( 130.7% ),"108,271",61579 ( 131.9% ),"2,162,935,708","275,610",3
9/3/2017,622,9.8%,"2,385",13.1%,"436,548",14.8%,21.7%,"803,811,600",-128129467 ( -13.7% ),"94,528",-13743 ( -12.7% ),"2,966,747,308","370,138",3
9/4/2017,559,10.3%,"2,215",13.5%,"421,851",15.7%,5.5%,"179,284,200",-624527400 ( -77.7% ),"23,001",-71527 ( -75.7% ),"3,146,031,508","393,139",4
9/5/2017,570,10.2%,"2,176",13.3%,"410,910",15.4%,5.0%,"162,187,700",-17096500 ( -9.5% ),"20,730",-2271 ( -9.9% ),"3,308,219,208","413,869",4
9/6/2017,419,7.8%,"1,044",6.3%,"168,461",6.2%,6.3%,"77,347,300",-84840400 ( -52.3% ),"10,640",-10090 ( -48.7% ),"3,385,566,508","424,509",6
9/7/2017,401,6.8%,924,5.5%,"149,509",5.4%,5.8%,"63,275,600",-14071700 ( -18.2% ),"8,707",-1933 ( -18.2% ),"3,448,842,108","433,216",7
9/8/2017,411,6.8%,891,5.2%,"139,670",5.0%,7.8%,"88,946,700",25671100 ( 40.6% ),"10,886",2179 ( 25.0% ),"3,537,788,808","444,102",6
