'그레이트 월' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2/15/2017,593,10.6%,"3,088",18.4%,"585,951",21.1%,7.9%,"377,515,500",352525500 ( 1410.7% ),"46,451",44553 ( 2347.4% ),"405,105,500","48,549",3
2/16/2017,598,9.9%,"2,860",16.7%,"535,021",19.0%,9.3%,"407,649,200",30133700 ( 8.0% ),"49,801",3350 ( 7.2% ),"812,754,700","98,350",3
2/17/2017,569,9.3%,"2,666",15.2%,"492,178",17.0%,11.9%,"531,290,259",123641059 ( 30.3% ),"58,707",8906 ( 17.9% ),"1,344,044,959","157,057",3
2/18/2017,583,9.1%,"2,420",13.3%,"426,460",14.2%,26.4%,"1,035,449,099",504158840 ( 94.9% ),"112,413",53706 ( 91.5% ),"2,379,494,058","269,470",3
2/19/2017,585,9.2%,"2,364",13.3%,"414,018",14.2%,24.6%,"925,858,300",-109590799 ( -10.6% ),"101,656",-10757 ( -9.6% ),"3,305,352,358","371,126",3
2/20/2017,547,9.4%,"2,351",14.1%,"424,624",15.4%,7.5%,"258,180,100",-667678200 ( -72.1% ),"31,741",-69915 ( -68.8% ),"3,563,532,458","402,867",3
2/21/2017,545,9.1%,"2,298",13.7%,"413,334",15.0%,6.3%,"210,389,600",-47790500 ( -18.5% ),"26,100",-5641 ( -17.8% ),"3,773,922,058","428,967",4
2/22/2017,367,6.0%,"1,006",5.7%,"165,530",5.7%,9.6%,"109,081,300",-101308300 ( -48.2% ),"15,833",-10267 ( -39.3% ),"3,883,003,358","444,800",9
2/23/2017,345,5.6%,924,5.3%,"150,715",5.2%,6.1%,"71,990,300",-37091000 ( -34.0% ),"9,197",-6636 ( -41.9% ),"3,954,993,658","453,997",11
2/24/2017,334,5.2%,753,4.2%,"120,245",4.1%,6.6%,"70,464,500",-1525800 ( -2.1% ),"7,972",-1225 ( -13.3% ),"4,025,458,158","461,969",11
2/25/2017,312,4.5%,636,3.4%,"104,039",3.4%,13.4%,"125,758,900",55294400 ( 78.5% ),"13,905",5933 ( 74.4% ),"4,151,217,058","475,874",11
2/26/2017,311,4.6%,601,3.3%,"97,296",3.3%,13.2%,"113,944,800",-11814100 ( -9.4% ),"12,809",-1096 ( -7.9% ),"4,265,161,858","488,683",10
2/27/2017,296,4.8%,573,3.3%,"92,100",3.2%,5.0%,"35,836,900",-78107900 ( -68.5% ),"4,618",-8191 ( -63.9% ),"4,300,998,758","493,301",13
2/28/2017,217,3.0%,367,2.1%,"62,645",2.2%,5.2%,"24,708,400",-11128500 ( -31.1% ),"3,249",-1369 ( -29.6% ),"4,325,707,158","496,550",18
3/1/2017,10,0.2%,14,0.1%,"1,683",0.1%,24.2%,"3,112,800",-21595600 ( -87.4% ),407,-2842 ( -87.5% ),"4,328,819,958","496,957",30
