'카3: 새로운 도전' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
7/13/2017,530,10.9%,"1,181",7.5%,"163,251",6.3%,10.4%,"113,212,200",113212200 ( 100.0% ),"17,037",17037 ( 100.0% ),"156,858,200","21,801",3
7/14/2017,553,10.9%,"1,190",7.3%,"164,526",6.2%,11.4%,"134,365,558",21153358 ( 18.7% ),"18,730",1693 ( 9.9% ),"291,223,758","40,531",4
7/15/2017,800,14.9%,"2,178",12.4%,"311,088",10.9%,40.6%,"948,461,043",814095485 ( 605.9% ),"126,361",107631 ( 574.6% ),"1,239,684,801","166,892",2
7/16/2017,798,15.1%,"2,163",12.8%,"310,284",11.3%,39.3%,"922,140,200",-26320843 ( -2.8% ),"121,870",-4491 ( -3.6% ),"2,161,825,001","288,762",2
7/17/2017,488,10.6%,"1,080",7.0%,"147,693",5.8%,6.6%,"66,649,000",-855491200 ( -92.8% ),"9,753",-112117 ( -92.0% ),"2,228,474,001","298,515",5
7/18/2017,504,10.4%,"1,050",6.8%,"144,114",5.7%,7.1%,"67,338,000",689000 ( 1.0% ),"10,271",518 ( 5.3% ),"2,295,812,001","308,786",6
7/19/2017,441,8.7%,837,5.2%,"114,997",4.4%,8.5%,"63,700,100",-3637900 ( -5.4% ),"9,795",-476 ( -4.6% ),"2,359,512,101","318,581",6
7/20/2017,312,5.5%,463,2.5%,"59,479",2.0%,11.5%,"42,962,500",-20737600 ( -32.6% ),"6,815",-2980 ( -30.4% ),"2,402,474,601","325,396",10
7/21/2017,354,6.2%,530,2.8%,"67,158",2.2%,13.7%,"65,248,900",22286400 ( 51.9% ),"9,187",2372 ( 34.8% ),"2,467,723,501","334,583",9
7/22/2017,538,8.8%,"1,086",5.5%,"148,049",4.6%,32.2%,"360,646,600",295397700 ( 452.7% ),"47,606",38419 ( 418.2% ),"2,828,370,101","382,189",5
7/23/2017,525,8.6%,"1,025",5.3%,"138,838",4.4%,36.1%,"385,921,100",25274500 ( 7.0% ),"50,155",2549 ( 5.4% ),"3,214,291,201","432,344",5
7/24/2017,381,6.9%,641,3.5%,"82,988",2.7%,13.1%,"74,175,700",-311745400 ( -80.8% ),"10,893",-39262 ( -78.3% ),"3,288,466,901","443,237",6
7/25/2017,394,6.9%,643,3.5%,"83,182",2.8%,14.3%,"80,221,800",6046100 ( 8.2% ),"11,929",1036 ( 9.5% ),"3,368,688,701","455,166",6
7/26/2017,82,1.5%,92,0.5%,"10,244",0.3%,30.4%,"19,468,900",-60752900 ( -75.7% ),"3,111",-8818 ( -73.9% ),"3,388,157,601","458,277",10
7/27/2017,70,1.3%,79,0.4%,"8,904",0.3%,27.7%,"16,746,200",-2722700 ( -14.0% ),"2,468",-643 ( -20.7% ),"3,404,903,801","460,745",13
7/28/2017,67,1.3%,79,0.4%,"9,356",0.3%,28.2%,"20,511,500",3765300 ( 22.5% ),"2,634",166 ( 6.7% ),"3,425,415,301","463,379",9
7/29/2017,77,1.4%,95,0.5%,"11,148",0.4%,44.8%,"37,442,800",16931300 ( 82.5% ),"4,993",2359 ( 89.6% ),"3,462,858,101","468,372",9
7/30/2017,72,1.3%,87,0.5%,"10,360",0.3%,41.9%,"33,211,200",-4231600 ( -11.3% ),"4,340",-653 ( -13.1% ),"3,496,069,301","472,712",10
7/31/2017,70,1.3%,81,0.4%,"9,297",0.3%,39.9%,"25,383,200",-7828000 ( -23.6% ),"3,708",-632 ( -14.6% ),"3,521,452,501","476,420",9
8/1/2017,74,1.3%,89,0.5%,"10,094",0.3%,38.6%,"26,302,900",919700 ( 3.6% ),"3,893",185 ( 5.0% ),"3,547,755,401","480,313",9
8/2/2017,15,0.3%,19,0.1%,"2,448",0.1%,36.4%,"5,575,700",-20727200 ( -78.8% ),891,-3002 ( -77.1% ),"3,553,331,101","481,204",16
8/3/2017,13,0.2%,18,0.1%,"1,818",0.1%,40.6%,"4,864,200",-711500 ( -12.8% ),738,-153 ( -17.2% ),"3,558,195,301","481,942",16
8/4/2017,19,0.3%,26,0.1%,"2,613",0.1%,32.9%,"6,396,000",1531800 ( 31.5% ),859,121 ( 16.4% ),"3,564,591,301","482,801",14
8/5/2017,24,0.4%,29,0.2%,"3,114",0.1%,37.2%,"8,366,800",1970800 ( 30.8% ),"1,158",299 ( 34.8% ),"3,572,958,101","483,959",16
8/6/2017,24,0.4%,30,0.2%,"3,265",0.1%,37.6%,"8,964,200",597400 ( 7.1% ),"1,229",71 ( 6.1% ),"3,581,922,301","485,188",15
8/7/2017,22,0.4%,26,0.1%,"2,767",0.1%,19.8%,"3,432,700",-5531500 ( -61.7% ),549,-680 ( -55.3% ),"3,585,355,001","485,737",16
8/8/2017,18,0.3%,22,0.1%,"2,404",0.1%,22.0%,"3,394,500",-38200 ( -1.1% ),529,-20 ( -3.6% ),"3,588,749,501","486,266",18
8/9/2017,3,0.1%,5,0.0%,368,0.0%,33.2%,"796,000",-2598500 ( -76.6% ),122,-407 ( -76.9% ),"3,589,545,501","486,388",35
8/10/2017,3,0.1%,3,0.0%,279,0.0%,22.6%,"372,000",-424000 ( -53.3% ),63,-59 ( -48.4% ),"3,589,917,501","486,451",45
8/11/2017,4,0.1%,4,0.0%,525,0.0%,8.2%,"318,000",-54000 ( -14.5% ),43,-20 ( -31.7% ),"3,590,235,501","486,494",50
8/12/2017,6,0.1%,7,0.0%,958,0.0%,19.2%,"1,321,500",1003500 ( 315.6% ),184,141 ( 327.9% ),"3,591,557,001","486,678",32
8/13/2017,5,0.1%,5,0.0%,622,0.0%,38.6%,"1,696,000",374500 ( 28.3% ),240,56 ( 30.4% ),"3,593,253,001","486,918",25
8/14/2017,3,0.1%,3,0.0%,328,0.0%,21.3%,"453,000",-1243000 ( -73.3% ),70,-170 ( -70.8% ),"3,593,706,001","486,988",42
8/15/2017,5,0.1%,5,0.0%,599,0.0%,39.6%,"1,709,500",1256500 ( 277.4% ),237,167 ( 238.6% ),"3,595,415,501","487,225",29
8/16/2017,3,0.1%,3,0.0%,375,0.0%,30.1%,"612,000",-1097500 ( -64.2% ),113,-124 ( -52.3% ),"3,596,027,501","487,338",39
8/17/2017,2,0.0%,2,0.0%,161,0.0%,62.1%,"500,000",-112000 ( -18.3% ),100,-13 ( -11.5% ),"3,596,527,501","487,438",44
8/18/2017,1,0.0%,1,0.0%,32,0.0%,100.0%,"160,000",-340000 ( -68.0% ),32,-68 ( -68.0% ),"3,596,687,501","487,470",62
8/19/2017,2,0.0%,3,0.0%,262,0.0%,30.5%,"627,000",467000 ( 291.9% ),80,48 ( 150.0% ),"3,597,314,501","487,550",51
8/20/2017,2,0.0%,3,0.0%,262,0.0%,44.7%,"904,000",277000 ( 44.2% ),117,37 ( 46.3% ),"3,598,218,501","487,667",35
8/21/2017,1,0.0%,1,0.0%,67,0.0%,16.4%,"83,000",-821000 ( -90.8% ),11,-106 ( -90.6% ),"3,598,301,501","487,678",66
8/22/2017,2,0.0%,2,0.0%,107,0.0%,39.3%,"216,000",133000 ( 160.2% ),42,31 ( 281.8% ),"3,598,517,501","487,720",58
8/23/2017,1,0.0%,1,0.0%,40,0.0%,100.0%,"200,000",-16000 ( -7.4% ),40,-2 ( -4.8% ),"3,598,717,501","487,760",64
8/24/2017,1,0.0%,1,0.0%,32,0.0%,100.0%,"190,000",-10000 ( -5.0% ),32,-8 ( -20.0% ),"3,598,907,501","487,792",71
8/29/2017,1,0.0%,1,0.0%,76,0.0%,36.8%,"140,000",140000 ( 100.0% ),28,28 ( 100.0% ),"3,599,047,501","487,820",66
8/31/2017,1,0.0%,1,0.0%,79,0.0%,100.0%,"395,000",395000 ( 100.0% ),79,79 ( 100.0% ),"3,599,442,501","487,899",60
9/7/2017,1,0.0%,1,0.0%,164,0.0%,10.4%,"102,000",102000 ( 100.0% ),17,17 ( 100.0% ),"3,599,544,501","487,916",73
