'트리플 엑스 리턴즈' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2/8/2017,581,11.5%,"2,943",17.7%,"512,816",18.7%,13.4%,"536,597,600",536597600 ( 100.0% ),"68,598",68598 ( 100.0% ),"547,915,600","69,608",2
2/9/2017,541,9.0%,"2,469",14.6%,"417,169",15.0%,10.5%,"343,727,300",-192870300 ( -35.9% ),"43,816",-24782 ( -36.1% ),"891,642,900","113,424",3
2/10/2017,554,9.1%,"2,492",14.4%,"418,796",14.8%,11.8%,"432,633,449",88906149 ( 25.9% ),"49,555",5739 ( 13.1% ),"1,324,276,349","162,979",3
2/11/2017,590,8.9%,"2,420",13.4%,"389,825",13.2%,26.7%,"910,730,146",478096697 ( 110.5% ),"104,170",54615 ( 110.2% ),"2,235,006,495","267,149",3
2/12/2017,580,8.7%,"2,305",13.0%,"369,701",12.7%,27.4%,"882,426,100",-28304046 ( -3.1% ),"101,190",-2980 ( -2.9% ),"3,117,432,595","368,339",3
2/13/2017,542,9.1%,"2,227",13.4%,"372,684",13.6%,7.9%,"227,658,100",-654768000 ( -74.2% ),"29,366",-71824 ( -71.0% ),"3,345,090,695","397,705",3
2/14/2017,546,8.8%,"2,200",13.0%,"366,266",13.3%,8.3%,"237,228,500",9570400 ( 4.2% ),"30,333",967 ( 3.3% ),"3,582,319,195","428,038",3
2/15/2017,311,5.6%,640,3.8%,"91,546",3.3%,7.4%,"51,332,000",-185896500 ( -78.4% ),"6,815",-23518 ( -77.5% ),"3,633,651,195","434,853",8
2/16/2017,275,4.6%,525,3.1%,"76,442",2.7%,6.8%,"39,208,200",-12123800 ( -23.6% ),"5,193",-1622 ( -23.8% ),"3,672,859,395","440,046",9
2/17/2017,285,4.7%,552,3.2%,"78,205",2.7%,7.7%,"51,954,100",12745900 ( 32.5% ),"6,054",861 ( 16.6% ),"3,724,813,495","446,100",9
2/18/2017,272,4.2%,475,2.6%,"62,775",2.1%,16.6%,"91,178,900",39224800 ( 75.5% ),"10,425",4371 ( 72.2% ),"3,815,992,395","456,525",9
2/19/2017,275,4.3%,448,2.5%,"59,525",2.0%,14.7%,"76,093,200",-15085700 ( -16.5% ),"8,748",-1677 ( -16.1% ),"3,892,085,595","465,273",9
2/20/2017,259,4.5%,436,2.6%,"61,670",2.2%,6.1%,"28,340,400",-47752800 ( -62.8% ),"3,770",-4978 ( -56.9% ),"3,920,425,995","469,043",9
2/21/2017,250,4.2%,429,2.6%,"59,564",2.2%,5.8%,"25,856,600",-2483800 ( -8.8% ),"3,432",-338 ( -9.0% ),"3,946,282,595","472,475",13
2/22/2017,16,0.3%,23,0.1%,"2,515",0.1%,19.8%,"2,462,000",-23394600 ( -90.5% ),498,-2934 ( -85.5% ),"3,948,744,595","472,973",28
2/23/2017,10,0.2%,12,0.1%,"1,511",0.1%,6.9%,"837,000",-1625000 ( -66.0% ),104,-394 ( -79.1% ),"3,949,581,595","473,077",50
2/24/2017,10,0.2%,13,0.1%,"1,491",0.1%,11.7%,"1,519,000",682000 ( 81.5% ),175,71 ( 68.3% ),"3,951,100,595","473,252",41
2/25/2017,9,0.1%,13,0.1%,"1,725",0.1%,14.4%,"2,309,500",790500 ( 52.0% ),249,74 ( 42.3% ),"3,953,410,095","473,501",38
2/26/2017,10,0.1%,13,0.1%,"1,638",0.1%,8.5%,"1,388,500",-921000 ( -39.9% ),139,-110 ( -44.2% ),"3,954,798,595","473,640",45
2/27/2017,9,0.1%,11,0.1%,"1,476",0.1%,4.9%,"555,500",-833000 ( -60.0% ),72,-67 ( -48.2% ),"3,955,354,095","473,712",56
2/28/2017,6,0.1%,8,0.0%,"1,079",0.0%,7.3%,"595,500",40000 ( 7.2% ),79,7 ( 9.7% ),"3,955,949,595","473,791",57
3/9/2017,5,0.1%,5,0.0%,919,0.0%,17.1%,"1,168,000",1168000 ( 100.0% ),157,157 ( 100.0% ),"3,957,117,595","473,948",40
3/10/2017,5,0.1%,5,0.0%,"1,147",0.0%,31.8%,"2,753,500",1585500 ( 135.7% ),365,208 ( 132.5% ),"3,959,871,095","474,313",27
3/11/2017,2,0.0%,2,0.0%,586,0.0%,24.7%,"1,093,000",-1660500 ( -60.3% ),145,-220 ( -60.3% ),"3,960,964,095","474,458",48
3/12/2017,2,0.0%,2,0.0%,557,0.0%,11.7%,"487,000",-606000 ( -55.4% ),65,-80 ( -55.2% ),"3,961,451,095","474,523",53
