'리얼' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
6/28/2017,970,19.8%,"4,097",26.2%,"713,783",28.0%,20.6%,"887,028,600",875820600 ( 7814.2% ),"146,965",145564 ( 10390.0% ),"917,878,600","150,856",2
6/29/2017,918,18.5%,"3,805",24.2%,"661,538",25.8%,8.7%,"419,672,400",-467356200 ( -52.7% ),"57,733",-89232 ( -60.7% ),"1,337,551,000","208,589",2
6/30/2017,859,16.7%,"3,469",21.6%,"593,451",22.7%,7.9%,"379,787,874",-39884526 ( -9.5% ),"46,591",-11142 ( -19.3% ),"1,717,338,874","255,180",3
7/1/2017,735,13.4%,"2,826",16.5%,"465,106",16.7%,14.6%,"550,755,256",170967382 ( 45.0% ),"67,807",21216 ( 45.5% ),"2,268,094,130","322,987",3
7/2/2017,679,12.4%,"2,571",15.3%,"415,118",15.3%,12.2%,"428,498,400",-122256856 ( -22.2% ),"50,734",-17073 ( -25.2% ),"2,696,592,530","373,721",3
7/3/2017,634,13.6%,"2,401",15.8%,"351,582",14.1%,6.3%,"159,148,000",-269350400 ( -62.9% ),"21,996",-28738 ( -56.6% ),"2,855,740,530","395,717",3
7/4/2017,635,13.2%,"2,347",15.4%,"343,794",13.8%,5.8%,"144,161,600",-14986400 ( -9.4% ),"20,030",-1966 ( -8.9% ),"2,999,902,130","415,747",3
7/5/2017,353,8.2%,614,3.9%,"76,827",3.0%,14.1%,"67,192,100",-76969500 ( -53.4% ),"10,820",-9210 ( -46.0% ),"3,067,094,230","426,567",3
7/6/2017,313,7.1%,503,3.2%,"62,127",2.4%,9.6%,"41,591,700",-25600400 ( -38.1% ),"5,955",-4865 ( -45.0% ),"3,108,685,930","432,522",5
7/7/2017,313,6.9%,473,2.9%,"58,889",2.2%,9.6%,"42,265,000",673300 ( 1.6% ),"5,625",-330 ( -5.5% ),"3,150,950,930","438,147",5
7/8/2017,240,5.0%,335,2.0%,"42,799",1.5%,13.5%,"43,563,400",1298400 ( 3.1% ),"5,774",149 ( 2.6% ),"3,194,514,330","443,921",6
7/9/2017,228,4.8%,315,1.9%,"40,717",1.5%,11.1%,"34,498,900",-9064500 ( -20.8% ),"4,509",-1265 ( -21.9% ),"3,229,013,230","448,430",7
