'너의 췌장을 먹고 싶어' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
10/25/2017,196,3.6%,903,5.4%,"128,158",4.7%,30.4%,"223,629,700",205414700 ( 1127.7% ),"38,923",36261 ( 1362.2% ),"263,705,200","44,164",3
10/26/2017,201,3.8%,904,5.4%,"130,412",4.8%,15.0%,"152,235,000",-71394700 ( -31.9% ),"19,506",-19417 ( -49.9% ),"415,940,200","63,670",3
10/27/2017,218,4.0%,940,5.5%,"134,344",4.8%,22.1%,"247,873,700",95638700 ( 62.8% ),"29,630",10124 ( 51.9% ),"663,813,900","93,300",3
10/28/2017,213,3.8%,975,5.4%,"137,465",4.7%,38.4%,"441,380,300",193506600 ( 78.1% ),"52,788",23158 ( 78.2% ),"1,105,194,200","146,088",3
10/29/2017,218,3.9%,985,5.6%,"137,523",4.8%,38.4%,"442,659,000",1278700 ( 0.3% ),"52,875",87 ( 0.2% ),"1,547,853,200","198,963",3
10/30/2017,196,3.9%,940,5.8%,"136,434",5.1%,14.2%,"151,344,200",-291314800 ( -65.8% ),"19,389",-33486 ( -63.3% ),"1,699,197,400","218,352",3
10/31/2017,200,3.9%,929,5.7%,"135,245",5.1%,14.9%,"155,660,700",4316500 ( 2.9% ),"20,128",739 ( 3.8% ),"1,854,858,100","238,480",3
11/1/2017,189,3.7%,901,5.5%,"133,354",5.0%,15.8%,"163,485,500",7824800 ( 5.0% ),"21,004",876 ( 4.4% ),"2,018,343,600","259,484",3
11/2/2017,182,3.4%,576,3.4%,"83,581",3.0%,13.6%,"89,061,400",-74424100 ( -45.5% ),"11,352",-9652 ( -46.0% ),"2,107,405,000","270,836",6
11/3/2017,187,3.5%,598,3.4%,"86,051",3.0%,19.2%,"142,242,300",53180900 ( 59.7% ),"16,539",5187 ( 45.7% ),"2,249,647,300","287,375",6
11/4/2017,196,3.3%,576,3.1%,"79,392",2.6%,38.0%,"253,803,000",111560700 ( 78.4% ),"30,180",13641 ( 82.5% ),"2,503,450,300","317,555",5
11/5/2017,207,3.6%,583,3.2%,"80,958",2.8%,34.6%,"236,049,400",-17753600 ( -7.0% ),"27,992",-2188 ( -7.2% ),"2,739,499,700","345,547",5
11/6/2017,177,3.5%,582,3.5%,"89,837",3.3%,10.0%,"70,666,100",-165383300 ( -70.1% ),"8,995",-18997 ( -67.9% ),"2,810,165,800","354,542",5
