'명탐정 코난:진홍의 연가' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
8/2/2017,546,10.4%,"1,129",6.1%,"148,904",5.0%,63.3%,"645,190,000",638854000 ( 10082.9% ),"94,241",93185 ( 8824.3% ),"664,845,000","96,959",4
8/3/2017,582,10.5%,"1,198",6.5%,"158,566",5.3%,34.2%,"374,427,600",-270762400 ( -42.0% ),"54,243",-39998 ( -42.4% ),"1,039,272,600","151,202",4
8/4/2017,557,10.1%,"1,162",6.2%,"152,814",5.1%,28.0%,"326,395,300",-48032300 ( -12.8% ),"42,806",-11437 ( -21.1% ),"1,365,667,900","194,008",4
8/5/2017,521,9.2%,"1,096",5.8%,"141,624",4.6%,44.1%,"477,159,000",150763700 ( 46.2% ),"62,418",19612 ( 45.8% ),"1,842,826,900","256,426",4
8/6/2017,510,9.1%,"1,027",5.5%,"131,006",4.4%,42.4%,"424,340,500",-52818500 ( -11.1% ),"55,506",-6912 ( -11.1% ),"2,267,167,400","311,932",4
8/7/2017,445,8.5%,937,5.2%,"120,700",4.2%,20.6%,"173,505,800",-250834700 ( -59.1% ),"24,919",-30587 ( -55.1% ),"2,440,673,200","336,851",5
8/8/2017,456,8.7%,933,5.2%,"119,462",4.1%,20.8%,"171,625,000",-1880800 ( -1.1% ),"24,796",-123 ( -0.5% ),"2,612,298,200","361,647",5
8/9/2017,246,4.4%,359,1.9%,"45,004",1.5%,28.2%,"89,130,200",-82494800 ( -48.1% ),"12,704",-12092 ( -48.8% ),"2,701,428,400","374,351",7
8/10/2017,166,2.9%,209,1.1%,"26,585",0.9%,31.3%,"58,470,900",-30659300 ( -34.4% ),"8,329",-4375 ( -34.4% ),"2,759,899,300","382,680",9
8/11/2017,166,2.9%,209,1.1%,"26,427",0.9%,28.9%,"59,447,600",976700 ( 1.7% ),"7,633",-696 ( -8.4% ),"2,819,346,900","390,313",9
8/12/2017,169,2.8%,209,1.1%,"27,243",0.9%,44.2%,"93,201,900",33754300 ( 56.8% ),"12,054",4421 ( 57.9% ),"2,912,548,800","402,367",9
8/13/2017,169,2.8%,203,1.1%,"26,420",0.8%,44.6%,"91,411,100",-1790800 ( -1.9% ),"11,789",-265 ( -2.2% ),"3,003,959,900","414,156",9
8/14/2017,168,2.9%,209,1.1%,"26,489",0.9%,28.9%,"53,776,300",-37634800 ( -41.2% ),"7,659",-4130 ( -35.0% ),"3,057,736,200","421,815",9
8/15/2017,112,2.0%,133,0.7%,"16,176",0.5%,58.1%,"70,093,100",16316800 ( 30.3% ),"9,392",1733 ( 22.6% ),"3,127,829,300","431,207",10
