'히든 피겨스' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
3/23/2017,419,8.5%,"1,241",7.8%,"169,411",6.5%,9.3%,"117,138,800",113591800 ( 3202.5% ),"15,834",15457 ( 4100.0% ),"243,723,600","31,076",4
3/24/2017,413,8.2%,"1,256",7.7%,"170,581",6.4%,12.5%,"177,781,061",60642261 ( 51.8% ),"21,300",5466 ( 34.5% ),"421,504,661","52,376",4
3/25/2017,436,7.9%,"1,122",6.5%,"148,730",5.3%,30.0%,"373,358,372",195577311 ( 110.0% ),"44,551",23251 ( 109.2% ),"794,863,033","96,927",4
3/26/2017,448,8.1%,"1,099",6.5%,"145,901",5.3%,29.0%,"354,333,200",-19025172 ( -5.1% ),"42,356",-2195 ( -4.9% ),"1,149,196,233","139,283",4
3/27/2017,424,8.8%,"1,289",8.3%,"180,801",7.1%,10.1%,"135,567,800",-218765400 ( -61.7% ),"18,345",-24011 ( -56.7% ),"1,284,764,033","157,628",4
3/28/2017,447,8.9%,"1,297",8.3%,"181,144",7.1%,10.1%,"135,417,700",-150100 ( -0.1% ),"18,363",18 ( 0.1% ),"1,420,181,733","175,991",4
3/29/2017,356,6.9%,713,4.4%,"95,552",3.6%,21.4%,"121,064,400",-14353300 ( -10.6% ),"20,436",2073 ( 11.3% ),"1,541,246,133","196,427",5
3/30/2017,324,6.4%,679,4.2%,"91,264",3.4%,13.6%,"91,961,000",-29103400 ( -24.0% ),"12,382",-8054 ( -39.4% ),"1,633,207,133","208,809",5
3/31/2017,351,6.7%,739,4.4%,"98,911",3.6%,18.9%,"152,744,900",60783900 ( 66.1% ),"18,709",6327 ( 51.1% ),"1,785,952,033","227,518",5
4/1/2017,350,6.1%,706,4.1%,"93,297",3.3%,35.9%,"281,831,500",129086600 ( 84.5% ),"33,452",14743 ( 78.8% ),"2,067,783,533","260,970",5
4/2/2017,340,6.2%,700,4.1%,"93,287",3.4%,28.4%,"223,360,000",-58471500 ( -20.7% ),"26,517",-6935 ( -20.7% ),"2,291,143,533","287,487",5
4/3/2017,356,6.8%,794,5.1%,"110,097",4.3%,9.0%,"73,050,300",-150309700 ( -67.3% ),"9,860",-16657 ( -62.8% ),"2,364,193,833","297,347",5
