'원라인' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
3/29/2017,613,11.8%,"2,376",14.6%,"366,240",13.7%,14.6%,"305,148,800",305148800 ( 100.0% ),"53,333",53333 ( 100.0% ),"387,492,800","63,221",4
3/30/2017,594,11.6%,"2,309",14.3%,"351,829",13.2%,8.7%,"222,913,700",-82235100 ( -26.9% ),"30,533",-22800 ( -42.8% ),"610,406,500","93,754",4
3/31/2017,589,11.3%,"2,228",13.4%,"337,446",12.3%,12.4%,"336,022,913",113109213 ( 50.7% ),"41,698",11165 ( 36.6% ),"946,429,413","135,452",4
4/1/2017,584,10.1%,"1,908",11.0%,"268,776",9.4%,32.0%,"707,181,120",371158207 ( 110.5% ),"86,002",44304 ( 106.2% ),"1,653,610,533","221,454",4
4/2/2017,558,10.1%,"1,838",10.9%,"257,251",9.3%,27.0%,"572,810,800",-134370320 ( -19.0% ),"69,577",-16425 ( -19.1% ),"2,226,421,333","291,031",4
4/3/2017,554,10.7%,"1,877",12.0%,"258,576",10.0%,9.5%,"181,142,200",-391668600 ( -68.4% ),"24,601",-44976 ( -64.6% ),"2,407,563,533","315,632",4
4/4/2017,551,10.3%,"1,863",12.0%,"257,384",10.0%,8.5%,"159,543,600",-21598600 ( -11.9% ),"21,754",-2847 ( -11.6% ),"2,567,107,133","337,386",4
4/5/2017,398,8.5%,"1,068",6.5%,"138,846",5.1%,10.3%,"103,658,400",-55885200 ( -35.0% ),"14,339",-7415 ( -34.1% ),"2,670,765,533","351,725",7
4/6/2017,347,6.5%,736,4.5%,"93,901",3.5%,10.7%,"73,909,200",-29749200 ( -28.7% ),"10,056",-4283 ( -29.9% ),"2,744,674,733","361,781",7
4/7/2017,350,6.4%,729,4.3%,"93,538",3.4%,12.7%,"93,173,200",19264000 ( 26.1% ),"11,864",1808 ( 18.0% ),"2,837,847,933","373,645",7
4/8/2017,349,5.6%,689,3.9%,"90,093",3.1%,23.5%,"177,451,000",84277800 ( 90.5% ),"21,191",9327 ( 78.6% ),"3,015,298,933","394,836",7
4/9/2017,340,5.5%,671,3.9%,"86,136",3.0%,20.7%,"148,323,000",-29128000 ( -16.4% ),"17,863",-3328 ( -15.7% ),"3,163,621,933","412,699",7
4/10/2017,332,6.3%,703,4.6%,"91,021",3.6%,6.8%,"45,354,700",-102968300 ( -69.4% ),"6,180",-11683 ( -65.4% ),"3,208,976,633","418,879",7
4/11/2017,346,6.4%,718,4.6%,"95,829",3.8%,6.4%,"44,535,800",-818900 ( -1.8% ),"6,140",-40 ( -0.6% ),"3,253,512,433","425,019",7
4/12/2017,100,2.0%,153,1.0%,"19,002",0.8%,5.3%,"7,248,000",-37287800 ( -83.7% ),"1,007",-5133 ( -83.6% ),"3,260,760,433","426,026",13
4/13/2017,88,1.7%,129,0.8%,"15,794",0.6%,9.1%,"8,647,000",1399000 ( 19.3% ),"1,431",424 ( 42.1% ),"3,269,407,433","427,457",14
4/14/2017,80,1.5%,120,0.7%,"14,153",0.5%,5.2%,"5,703,000",-2944000 ( -34.0% ),731,-700 ( -48.9% ),"3,275,110,433","428,188",19
4/15/2017,69,1.2%,99,0.6%,"11,143",0.4%,9.1%,"8,361,000",2658000 ( 46.6% ),"1,019",288 ( 39.4% ),"3,283,471,433","429,207",21
4/16/2017,62,1.1%,90,0.5%,"10,575",0.4%,8.6%,"7,406,500",-954500 ( -11.4% ),909,-110 ( -10.8% ),"3,290,877,933","430,116",21
4/17/2017,69,1.4%,103,0.7%,"12,157",0.5%,3.8%,"3,242,500",-4164000 ( -56.2% ),465,-444 ( -48.8% ),"3,294,120,433","430,581",22
4/18/2017,84,1.6%,114,0.8%,"13,799",0.6%,10.8%,"7,851,000",4608500 ( 142.1% ),"1,488",1023 ( 220.0% ),"3,301,971,433","432,069",10
4/19/2017,69,1.3%,100,0.7%,"11,577",0.5%,9.1%,"6,038,500",-1812500 ( -23.1% ),"1,049",-439 ( -29.5% ),"3,308,009,933","433,118",13
4/20/2017,20,0.4%,20,0.1%,"2,785",0.1%,21.1%,"2,630,500",-3408000 ( -56.4% ),587,-462 ( -44.0% ),"3,310,640,433","433,705",21
4/21/2017,3,0.1%,4,0.0%,631,0.0%,14.9%,"516,000",-2114500 ( -80.4% ),94,-493 ( -84.0% ),"3,311,156,433","433,799",53
4/22/2017,13,0.2%,13,0.1%,"1,798",0.1%,13.7%,"1,326,500",810500 ( 157.1% ),247,153 ( 162.8% ),"3,312,482,933","434,046",40
4/23/2017,4,0.1%,4,0.0%,615,0.0%,8.0%,"471,500",-855000 ( -64.5% ),49,-198 ( -80.2% ),"3,312,954,433","434,095",64
4/24/2017,5,0.1%,7,0.0%,"1,011",0.0%,11.8%,"725,500",254000 ( 53.9% ),119,70 ( 142.9% ),"3,313,679,933","434,214",46
4/25/2017,3,0.1%,6,0.0%,796,0.0%,11.7%,"467,500",-258000 ( -35.6% ),93,-26 ( -21.8% ),"3,314,147,433","434,307",62
4/26/2017,4,0.1%,4,0.0%,585,0.0%,5.3%,"155,000",-312500 ( -66.8% ),31,-62 ( -66.7% ),"3,314,302,433","434,338",74
4/27/2017,4,0.1%,4,0.0%,585,0.0%,5.1%,"150,000",-5000 ( -3.2% ),30,-1 ( -3.2% ),"3,314,452,433","434,368",70
4/28/2017,4,0.1%,4,0.0%,585,0.0%,4.8%,"140,000",-10000 ( -6.7% ),28,-2 ( -6.7% ),"3,314,592,433","434,396",61
4/29/2017,5,0.1%,5,0.0%,685,0.0%,4.8%,"165,000",25000 ( 17.9% ),33,5 ( 17.9% ),"3,314,757,433","434,429",75
4/30/2017,4,0.1%,4,0.0%,585,0.0%,6.3%,"190,000",25000 ( 15.2% ),37,4 ( 12.1% ),"3,314,947,433","434,466",69
5/1/2017,6,0.1%,6,0.0%,780,0.0%,4.0%,"157,000",-33000 ( -17.4% ),31,-6 ( -16.2% ),"3,315,104,433","434,497",65
5/2/2017,5,0.1%,5,0.0%,680,0.0%,5.3%,"180,000",23000 ( 14.6% ),36,5 ( 16.1% ),"3,315,284,433","434,533",68
5/3/2017,5,0.1%,5,0.0%,680,0.0%,5.4%,"185,000",5000 ( 2.8% ),37,1 ( 2.8% ),"3,315,469,433","434,570",68
5/4/2017,5,0.1%,5,0.0%,680,0.0%,5.7%,"195,000",10000 ( 5.4% ),39,2 ( 5.4% ),"3,315,664,433","434,609",63
5/5/2017,5,0.1%,5,0.0%,680,0.0%,4.4%,"150,000",-45000 ( -23.1% ),30,-9 ( -23.1% ),"3,315,814,433","434,639",68
5/6/2017,4,0.1%,4,0.0%,585,0.0%,5.1%,"150,000",0 ( 0.0% ),30,0 ( 0.0% ),"3,315,964,433","434,669",64
5/7/2017,4,0.1%,4,0.0%,585,0.0%,6.5%,"190,000",40000 ( 26.7% ),38,8 ( 26.7% ),"3,316,154,433","434,707",55
5/8/2017,4,0.1%,4,0.0%,585,0.0%,6.0%,"175,000",-15000 ( -7.9% ),35,-3 ( -7.9% ),"3,316,329,433","434,742",52
5/9/2017,4,0.1%,4,0.0%,585,0.0%,6.0%,"175,000",0 ( 0.0% ),35,0 ( 0.0% ),"3,316,504,433","434,777",60
7/22/2017,1,0.0%,1,0.0%,92,0.0%,100.0%,"920,000",920000 ( 100.0% ),92,92 ( 100.0% ),"3,317,424,433","434,869",44
9/1/2017,1,0.0%,1,0.0%,108,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),"3,317,424,433","434,869",103
9/2/2017,1,0.0%,1,0.0%,96,0.0%,95.8%,"828,000",828000 ( 100.0% ),92,92 ( 100.0% ),"3,318,252,433","434,961",54
11/11/2017,1,0.0%,1,0.0%,87,0.0%,100.0%,"783,000",783000 ( 100.0% ),87,87 ( 100.0% ),"3,319,035,433","435,048",62
11/21/2017,1,0.0%,1,0.0%,224,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),"3,319,035,433","435,048",158
