'터닝메카드W: 블랙미러의 부활' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
1/18/2017,500,9.1%,"1,249",7.3%,"176,985",6.4%,28.3%,"334,154,700",332554700 ( 20784.7% ),"50,159",49959 ( 24979.5% ),"347,570,700","51,883",4
1/19/2017,483,8.5%,"1,197",7.0%,"171,215",6.1%,16.1%,"189,852,600",-144302100 ( -43.2% ),"27,622",-22537 ( -44.9% ),"537,423,300","79,505",5
1/20/2017,490,8.7%,"1,192",6.9%,"171,201",6.1%,11.1%,"145,186,700",-44665900 ( -23.5% ),"18,988",-8634 ( -31.3% ),"682,610,000","98,493",5
1/21/2017,570,9.7%,"1,487",8.3%,"220,556",7.5%,44.2%,"747,597,000",602410300 ( 414.9% ),"97,501",78513 ( 413.5% ),"1,430,207,000","195,994",5
1/22/2017,567,9.7%,"1,471",8.4%,"218,404",7.6%,37.0%,"626,538,700",-121058300 ( -16.2% ),"80,707",-16794 ( -17.2% ),"2,056,745,700","276,701",5
1/23/2017,428,8.0%,"1,023",6.1%,"142,725",5.2%,6.9%,"68,650,500",-557888200 ( -89.0% ),"9,910",-70797 ( -87.7% ),"2,125,396,200","286,611",5
1/24/2017,438,8.0%,"1,023",6.1%,"141,181",5.1%,7.7%,"75,048,900",6398400 ( 9.3% ),"10,875",965 ( 9.7% ),"2,200,445,100","297,486",5
1/25/2017,323,5.4%,480,2.8%,"61,716",2.2%,9.9%,"40,966,900",-34082000 ( -45.4% ),"6,112",-4763 ( -43.8% ),"2,241,412,000","303,598",9
1/26/2017,326,5.4%,481,2.7%,"60,895",2.1%,11.4%,"48,032,300",7065400 ( 17.2% ),"6,920",808 ( 13.2% ),"2,289,444,300","310,518",9
1/27/2017,412,6.4%,612,3.3%,"78,044",2.6%,24.3%,"148,641,200",100608900 ( 209.5% ),"18,976",12056 ( 174.2% ),"2,438,085,500","329,494",6
1/28/2017,362,5.7%,513,2.8%,"63,189",2.1%,16.9%,"86,230,000",-62411200 ( -42.0% ),"10,653",-8323 ( -43.9% ),"2,524,315,500","340,147",8
1/29/2017,401,6.1%,589,3.1%,"74,442",2.5%,30.4%,"180,520,900",94290900 ( 109.3% ),"22,616",11963 ( 112.3% ),"2,704,836,400","362,763",6
1/30/2017,392,6.0%,567,3.1%,"71,418",2.4%,45.1%,"252,698,700",72177800 ( 40.0% ),"32,217",9601 ( 42.5% ),"2,957,535,100","394,980",6
1/31/2017,315,5.3%,432,2.5%,"53,777",1.9%,11.2%,"42,473,000",-210225700 ( -83.2% ),"6,020",-26197 ( -81.3% ),"3,000,008,100","401,000",9
2/1/2017,195,3.6%,251,1.5%,"31,349",1.1%,6.1%,"13,028,500",-29444500 ( -69.3% ),"1,912",-4108 ( -68.2% ),"3,013,036,600","402,912",10
2/2/2017,134,2.5%,160,1.0%,"18,468",0.7%,6.6%,"8,467,000",-4561500 ( -35.0% ),"1,212",-700 ( -36.6% ),"3,021,503,600","404,124",15
2/3/2017,142,2.6%,170,1.0%,"20,258",0.7%,7.8%,"11,317,400",2850400 ( 33.7% ),"1,575",363 ( 30.0% ),"3,032,821,000","405,699",12
2/4/2017,188,3.1%,225,1.3%,"28,150",1.0%,29.1%,"62,431,500",51114100 ( 451.6% ),"8,184",6609 ( 419.6% ),"3,095,252,500","413,883",10
2/5/2017,196,3.3%,237,1.4%,"29,597",1.0%,30.3%,"68,822,800",6391300 ( 10.2% ),"8,972",788 ( 9.6% ),"3,164,075,300","422,855",10
2/6/2017,99,1.9%,111,0.7%,"13,260",0.5%,4.5%,"4,193,500",-64629300 ( -93.9% ),598,-8374 ( -93.3% ),"3,168,268,800","423,453",17
2/7/2017,116,2.2%,134,0.8%,"15,583",0.6%,6.2%,"6,093,600",1900100 ( 45.3% ),962,364 ( 60.9% ),"3,174,362,400","424,415",15
2/8/2017,74,1.5%,86,0.5%,"10,345",0.4%,6.7%,"4,524,500",-1569100 ( -25.7% ),693,-269 ( -28.0% ),"3,178,886,900","425,108",19
2/9/2017,16,0.3%,17,0.1%,"1,867",0.1%,8.0%,"975,500",-3549000 ( -78.4% ),150,-543 ( -78.4% ),"3,179,862,400","425,258",45
2/10/2017,16,0.3%,19,0.1%,"2,226",0.1%,8.0%,"1,404,000",428500 ( 43.9% ),177,27 ( 18.0% ),"3,181,266,400","425,435",31
2/11/2017,40,0.6%,45,0.2%,"5,588",0.2%,22.6%,"10,230,400",8826400 ( 628.7% ),"1,264",1087 ( 614.1% ),"3,191,496,800","426,699",19
2/12/2017,39,0.6%,43,0.2%,"5,319",0.2%,27.8%,"11,878,700",1648300 ( 16.1% ),"1,481",217 ( 17.2% ),"3,203,375,500","428,180",19
2/13/2017,16,0.3%,19,0.1%,"2,323",0.1%,5.6%,"913,200",-10965500 ( -92.3% ),129,-1352 ( -91.3% ),"3,204,288,700","428,309",39
2/14/2017,18,0.3%,20,0.1%,"2,394",0.1%,10.9%,"1,683,500",770300 ( 84.4% ),260,131 ( 101.6% ),"3,205,972,200","428,569",33
2/15/2017,9,0.2%,11,0.1%,977,0.0%,9.6%,"689,700",-993800 ( -59.0% ),94,-166 ( -63.8% ),"3,206,661,900","428,663",52
2/16/2017,1,0.0%,1,0.0%,137,0.0%,16.1%,"171,000",-518700 ( -75.2% ),22,-72 ( -76.6% ),"3,206,832,900","428,685",72
2/17/2017,4,0.1%,4,0.0%,433,0.0%,14.5%,"490,000",319000 ( 186.5% ),63,41 ( 186.4% ),"3,207,322,900","428,748",61
2/18/2017,1,0.0%,1,0.0%,180,0.0%,3.3%,"39,000",-451000 ( -92.0% ),6,-57 ( -90.5% ),"3,207,361,900","428,754",100
2/19/2017,4,0.1%,6,0.0%,606,0.0%,4.8%,"229,000",190000 ( 487.2% ),29,23 ( 383.3% ),"3,207,590,900","428,783",73
2/20/2017,1,0.0%,1,0.0%,59,0.0%,10.2%,"52,000",-177000 ( -77.3% ),6,-23 ( -79.3% ),"3,207,642,900","428,789",80
2/21/2017,2,0.0%,2,0.0%,195,0.0%,2.1%,"36,000",-16000 ( -30.8% ),4,-2 ( -33.3% ),"3,207,678,900","428,793",91
2/22/2017,1,0.0%,2,0.0%,118,0.0%,7.6%,"80,000",44000 ( 122.2% ),9,5 ( 125.0% ),"3,207,758,900","428,802",82
2/23/2017,1,0.0%,1,0.0%,59,0.0%,1.7%,"5,000",-75000 ( -93.8% ),1,-8 ( -88.9% ),"3,207,763,900","428,803",96
2/24/2017,1,0.0%,1,0.0%,59,0.0%,11.9%,"62,000",57000 ( 1140.0% ),7,6 ( 600.0% ),"3,207,825,900","428,810",81
2/25/2017,1,0.0%,3,0.0%,177,0.0%,12.4%,"191,000",129000 ( 208.1% ),22,15 ( 214.3% ),"3,208,016,900","428,832",72
2/26/2017,1,0.0%,3,0.0%,177,0.0%,5.6%,"92,000",-99000 ( -51.8% ),10,-12 ( -54.5% ),"3,208,108,900","428,842",88
2/27/2017,1,0.0%,1,0.0%,59,0.0%,3.4%,"20,000",-72000 ( -78.3% ),2,-8 ( -80.0% ),"3,208,128,900","428,844",100
2/28/2017,2,0.0%,4,0.0%,430,0.0%,1.6%,"55,000",35000 ( 175.0% ),7,5 ( 250.0% ),"3,208,183,900","428,851",97
3/1/2017,1,0.0%,2,0.0%,118,0.0%,11.9%,"122,000",67000 ( 121.8% ),14,7 ( 100.0% ),"3,208,305,900","428,865",75
3/2/2017,1,0.0%,1,0.0%,59,0.0%,3.4%,"18,000",-104000 ( -85.2% ),2,-12 ( -85.7% ),"3,208,323,900","428,867",90
3/3/2017,1,0.0%,1,0.0%,59,0.0%,3.4%,"18,000",0 ( 0.0% ),2,0 ( 0.0% ),"3,208,341,900","428,869",110
3/4/2017,1,0.0%,1,0.0%,59,0.0%,3.4%,"18,000",0 ( 0.0% ),2,0 ( 0.0% ),"3,208,359,900","428,871",102
3/5/2017,1,0.0%,2,0.0%,118,0.0%,5.1%,"52,000",34000 ( 188.9% ),6,4 ( 200.0% ),"3,208,411,900","428,877",97
3/6/2017,1,0.0%,1,0.0%,59,0.0%,3.4%,"18,000",-34000 ( -65.4% ),2,-4 ( -66.7% ),"3,208,429,900","428,879",83
3/7/2017,1,0.0%,3,0.0%,537,0.0%,1.1%,"24,000",6000 ( 33.3% ),6,4 ( 200.0% ),"3,208,453,900","428,885",84
3/8/2017,1,0.0%,2,0.0%,358,0.0%,2.2%,"48,000",24000 ( 100.0% ),8,2 ( 33.3% ),"3,208,501,900","428,893",76
3/9/2017,1,0.0%,1,0.0%,179,0.0%,0.6%,"6,000",-42000 ( -87.5% ),1,-7 ( -87.5% ),"3,208,507,900","428,894",107
3/10/2017,1,0.0%,4,0.0%,716,0.0%,0.7%,"50,000",44000 ( 733.3% ),5,4 ( 400.0% ),"3,208,557,900","428,899",82
3/11/2017,1,0.0%,5,0.0%,895,0.0%,4.1%,"288,000",238000 ( 476.0% ),37,32 ( 640.0% ),"3,208,845,900","428,936",64
3/12/2017,2,0.0%,7,0.0%,"1,013",0.0%,3.8%,"308,000",20000 ( 6.9% ),38,1 ( 2.7% ),"3,209,153,900","428,974",60
3/14/2017,1,0.0%,1,0.0%,179,0.0%,1.1%,"10,000",10000 ( 100.0% ),2,2 ( 100.0% ),"3,209,163,900","428,976",101
3/15/2017,1,0.0%,1,0.0%,179,0.0%,0.6%,"10,000",0 ( 0.0% ),1,-1 ( -50.0% ),"3,209,173,900","428,977",104
3/16/2017,2,0.0%,3,0.0%,540,0.0%,1.5%,"48,000",38000 ( 380.0% ),8,7 ( 700.0% ),"3,209,221,900","428,985",84
3/17/2017,1,0.0%,3,0.0%,537,0.0%,0.9%,"42,000",-6000 ( -12.5% ),5,-3 ( -37.5% ),"3,209,263,900","428,990",87
3/18/2017,2,0.0%,5,0.0%,775,0.0%,5.5%,"324,000",282000 ( 671.4% ),43,38 ( 760.0% ),"3,209,587,900","429,033",61
3/19/2017,2,0.0%,5,0.0%,775,0.0%,3.5%,"212,000",-112000 ( -34.6% ),27,-16 ( -37.2% ),"3,209,799,900","429,060",71
3/21/2017,1,0.0%,1,0.0%,179,0.0%,0.6%,"10,000",10000 ( 100.0% ),1,1 ( 100.0% ),"3,209,809,900","429,061",113
3/22/2017,1,0.0%,1,0.0%,179,0.0%,0.6%,"10,000",0 ( 0.0% ),1,0 ( 0.0% ),"3,209,819,900","429,062",110
3/23/2017,1,0.0%,2,0.0%,358,0.0%,0.6%,"20,000",10000 ( 100.0% ),2,1 ( 100.0% ),"3,209,839,900","429,064",111
3/24/2017,1,0.0%,1,0.0%,179,0.0%,2.2%,"26,000",6000 ( 30.0% ),4,2 ( 100.0% ),"3,209,865,900","429,068",105
3/25/2017,1,0.0%,5,0.0%,895,0.0%,3.8%,"268,000",242000 ( 930.8% ),34,30 ( 750.0% ),"3,210,133,900","429,102",73
3/26/2017,1,0.0%,4,0.0%,716,0.0%,2.0%,"114,000",-154000 ( -57.5% ),14,-20 ( -58.8% ),"3,210,247,900","429,116",93
