'스머프: 비밀의 숲' 일자별 통계정보,,,,,,,,,,,,,,
날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
4/28/2017,384,7.6%,657,3.9%,"83,674",3.1%,10.8%,"65,677,100",65059100 ( 10527.4% ),"9,077",8974 ( 8712.6% ),"78,642,100","10,633",6
4/29/2017,545,10.0%,"1,210",6.8%,"161,986",5.6%,42.7%,"516,485,700",450808600 ( 686.4% ),"69,137",60060 ( 661.7% ),"595,127,800","79,770",4
4/30/2017,607,11.2%,"1,366",7.7%,"182,649",6.3%,43.8%,"606,133,100",89647400 ( 17.4% ),"80,084",10947 ( 15.8% ),"1,201,260,900","159,854",4
5/1/2017,537,10.2%,"1,176",6.8%,"157,035",5.6%,26.5%,"283,685,000",-322448100 ( -53.2% ),"41,692",-38392 ( -47.9% ),"1,484,945,900","201,546",4
5/2/2017,508,8.1%,998,5.9%,"134,971",4.9%,17.2%,"151,245,900",-132439100 ( -46.7% ),"23,224",-18468 ( -44.3% ),"1,636,191,800","224,770",5
5/3/2017,428,6.9%,685,3.7%,"86,575",2.9%,47.8%,"311,594,200",160348300 ( 106.0% ),"41,381",18157 ( 78.2% ),"1,947,786,000","266,151",7
5/4/2017,422,6.7%,642,3.5%,"82,224",2.8%,38.7%,"210,098,600",-101495600 ( -32.6% ),"31,826",-9555 ( -23.1% ),"2,157,884,600","297,977",7
5/5/2017,488,7.1%,856,4.5%,"113,916",3.7%,45.5%,"394,813,200",184714600 ( 87.9% ),"51,877",20051 ( 63.0% ),"2,552,697,800","349,854",5
5/6/2017,421,6.3%,676,3.6%,"84,650",2.8%,24.3%,"154,270,100",-240543100 ( -60.9% ),"20,561",-31316 ( -60.4% ),"2,706,967,900","370,415",7
5/7/2017,416,6.3%,643,3.5%,"79,221",2.7%,19.9%,"119,137,100",-35133000 ( -22.8% ),"15,744",-4817 ( -23.4% ),"2,826,105,000","386,159",7
5/8/2017,233,4.2%,296,1.7%,"35,836",1.3%,4.2%,"9,753,600",-109383500 ( -91.8% ),"1,501",-14243 ( -90.5% ),"2,835,858,600","387,660",9
5/9/2017,247,4.0%,318,1.7%,"37,533",1.3%,47.7%,"131,901,700",122148100 ( 1252.3% ),"17,896",16395 ( 1092.3% ),"2,967,760,300","405,556",8
5/10/2017,75,1.5%,81,0.5%,"9,454",0.3%,10.9%,"5,556,000",-126345700 ( -95.8% ),"1,033",-16863 ( -94.2% ),"2,973,316,300","406,589",12
5/11/2017,72,1.3%,77,0.5%,"8,723",0.3%,4.6%,"2,597,000",-2959000 ( -53.3% ),398,-635 ( -61.5% ),"2,975,913,300","406,987",24
5/12/2017,65,1.2%,69,0.4%,"8,238",0.3%,6.8%,"3,867,000",1270000 ( 48.9% ),559,161 ( 40.5% ),"2,979,780,300","407,546",17
5/13/2017,201,3.3%,240,1.3%,"28,550",1.0%,22.7%,"47,745,600",43878600 ( 1134.7% ),"6,475",5916 ( 1058.3% ),"3,027,525,900","414,021",10
5/14/2017,198,3.2%,238,1.3%,"27,875",1.0%,23.7%,"50,097,700",2352100 ( 4.9% ),"6,594",119 ( 1.8% ),"3,077,623,600","420,615",9
5/15/2017,56,1.1%,59,0.4%,"7,043",0.3%,8.0%,"3,619,000",-46478700 ( -92.8% ),566,-6028 ( -91.4% ),"3,081,242,600","421,181",17
5/16/2017,59,1.1%,61,0.4%,"7,178",0.3%,5.9%,"2,583,500",-1035500 ( -28.6% ),422,-144 ( -25.4% ),"3,083,826,100","421,603",20
5/17/2017,16,0.3%,19,0.1%,"1,804",0.1%,18.2%,"1,955,500",-628000 ( -24.3% ),329,-93 ( -22.0% ),"3,085,781,600","421,932",22
5/18/2017,10,0.2%,10,0.1%,898,0.0%,26.1%,"1,340,000",-615500 ( -31.5% ),234,-95 ( -28.9% ),"3,087,121,600","422,166",30
5/19/2017,8,0.1%,8,0.0%,834,0.0%,39.9%,"2,389,000",1049000 ( 78.3% ),333,99 ( 42.3% ),"3,089,510,600","422,499",26
5/20/2017,27,0.4%,34,0.2%,"4,028",0.1%,22.2%,"6,474,000",4085000 ( 171.0% ),893,560 ( 168.2% ),"3,095,984,600","423,392",18
5/21/2017,30,0.5%,37,0.2%,"4,855",0.2%,26.4%,"9,625,900",3151900 ( 48.7% ),"1,282",389 ( 43.6% ),"3,105,610,500","424,674",14
5/22/2017,4,0.1%,4,0.0%,317,0.0%,15.1%,"285,000",-9340900 ( -97.0% ),48,-1234 ( -96.3% ),"3,105,895,500","424,722",51
5/23/2017,6,0.1%,6,0.0%,581,0.0%,12.4%,"387,000",102000 ( 35.8% ),72,24 ( 50.0% ),"3,106,282,500","424,794",53
5/24/2017,5,0.1%,5,0.0%,354,0.0%,13.8%,"276,000",-111000 ( -28.7% ),49,-23 ( -31.9% ),"3,106,558,500","424,843",63
5/25/2017,3,0.1%,3,0.0%,215,0.0%,69.3%,"1,033,000",757000 ( 274.3% ),149,100 ( 204.1% ),"3,107,591,500","424,992",35
5/26/2017,5,0.1%,6,0.0%,284,0.0%,30.3%,"450,500",-582500 ( -56.4% ),86,-63 ( -42.3% ),"3,108,042,000","425,078",46
5/27/2017,11,0.2%,12,0.1%,"1,069",0.0%,26.1%,"1,967,000",1516500 ( 336.6% ),279,193 ( 224.4% ),"3,110,009,000","425,357",32
5/28/2017,11,0.2%,13,0.1%,"1,104",0.0%,32.4%,"2,604,500",637500 ( 32.4% ),358,79 ( 28.3% ),"3,112,613,500","425,715",24
5/29/2017,2,0.0%,3,0.0%,99,0.0%,14.1%,"96,000",-2508500 ( -96.3% ),14,-344 ( -96.1% ),"3,112,709,500","425,729",81
5/30/2017,4,0.1%,6,0.0%,558,0.0%,6.3%,"139,000",43000 ( 44.8% ),35,21 ( 150.0% ),"3,112,848,500","425,764",70
5/31/2017,3,0.1%,4,0.0%,278,0.0%,9.4%,"142,000",3000 ( 2.2% ),26,-9 ( -25.7% ),"3,112,990,500","425,790",64
6/1/2017,3,0.1%,4,0.0%,425,0.0%,6.4%,"127,000",-15000 ( -10.6% ),27,1 ( 3.8% ),"3,113,117,500","425,817",65
6/2/2017,4,0.1%,4,0.0%,316,0.0%,9.2%,"193,000",66000 ( 52.0% ),29,2 ( 7.4% ),"3,113,310,500","425,846",63
6/3/2017,6,0.1%,11,0.1%,"1,469",0.1%,12.1%,"914,000",721000 ( 373.6% ),178,149 ( 513.8% ),"3,114,224,500","426,024",35
6/4/2017,6,0.1%,11,0.1%,"1,469",0.1%,12.5%,"839,500",-74500 ( -8.2% ),183,5 ( 2.8% ),"3,115,064,000","426,207",27
6/5/2017,3,0.1%,3,0.0%,134,0.0%,47.0%,"433,000",-406500 ( -48.4% ),63,-120 ( -65.6% ),"3,115,497,000","426,270",46
6/6/2017,2,0.0%,3,0.0%,102,0.0%,78.4%,"563,000",130000 ( 30.0% ),80,17 ( 27.0% ),"3,116,060,000","426,350",46
6/7/2017,4,0.1%,5,0.0%,760,0.0%,18.7%,"732,000",169000 ( 30.0% ),142,62 ( 77.5% ),"3,116,792,000","426,492",33
6/8/2017,3,0.1%,4,0.0%,425,0.0%,2.6%,"58,000",-674000 ( -92.1% ),11,-131 ( -92.3% ),"3,116,850,000","426,503",75
6/9/2017,4,0.1%,6,0.0%,719,0.0%,11.7%,"412,000",354000 ( 610.3% ),84,73 ( 663.6% ),"3,117,262,000","426,587",47
6/10/2017,3,0.1%,10,0.1%,"1,064",0.0%,16.2%,"860,000",448000 ( 108.7% ),172,88 ( 104.8% ),"3,118,122,000","426,759",37
6/11/2017,3,0.1%,10,0.1%,"1,064",0.0%,16.5%,"958,000",98000 ( 11.4% ),176,4 ( 2.3% ),"3,119,080,000","426,935",31
6/12/2017,2,0.0%,3,0.0%,405,0.0%,33.6%,"718,000",-240000 ( -25.1% ),136,-40 ( -22.7% ),"3,119,798,000","427,071",29
6/13/2017,4,0.1%,6,0.0%,795,0.0%,16.9%,"668,000",-50000 ( -7.0% ),134,-2 ( -1.5% ),"3,120,466,000","427,205",39
6/14/2017,3,0.1%,6,0.0%,639,0.0%,3.0%,"101,000",-567000 ( -84.9% ),19,-115 ( -85.8% ),"3,120,567,000","427,224",68
6/15/2017,2,0.0%,2,0.0%,214,0.0%,2.3%,"24,000",-77000 ( -76.2% ),5,-14 ( -73.7% ),"3,120,591,000","427,229",79
6/16/2017,3,0.1%,5,0.0%,604,0.0%,2.0%,"50,000",26000 ( 108.3% ),12,7 ( 140.0% ),"3,120,641,000","427,241",75
6/17/2017,3,0.0%,8,0.0%,997,0.0%,13.4%,"608,000",558000 ( 1116.0% ),134,122 ( 1016.7% ),"3,121,249,000","427,375",43
6/18/2017,3,0.0%,8,0.0%,997,0.0%,13.3%,"630,000",22000 ( 3.6% ),133,-1 ( -0.7% ),"3,121,879,000","427,508",41
6/19/2017,1,0.0%,1,0.0%,32,0.0%,9.4%,"15,000",-615000 ( -97.6% ),3,-130 ( -97.7% ),"3,121,894,000","427,511",76
6/20/2017,2,0.0%,3,0.0%,390,0.0%,2.1%,"32,000",17000 ( 113.3% ),8,5 ( 166.7% ),"3,121,926,000","427,519",79
